PSU,CASEID,CASENO,STRATIF,RECNO,VERSION,PSUWGT,NATWGT,RATWGT,DRINKING,ALCTEST,VEHNO,OCUPANTS,DRPRES,MONDRIVE,MILEVEH,MILETOT,DRTRAIN,LASTRAIN,FREQDRIV,TYPEOP,BMCSREG,DRCLASS,ACCTYPE,AVOIDMAN,RELFACT,VIOCHAR1,VIOCHAR2,LSTATUS,LTYPCOMP,LREST,PREVSPD,PREVOTH,PREVDWI,PREVSUS,PREVACC,FEDAID,CLASTRAF,ROADFUNC,LANES,LANEWIDT,MEDIANT,MEDIANW,ACCESS,TRAFFLOW,SHOULDLT,SHOULDRT,ALIGNMNT,SLOPE,SUPELEV,CURVE,GRADE,PROFILE,SURTYPE,SURCOND,SPLIMIT,RESTRICT,TRAFCONT,TRCTLFCT,TRUCKSYS,ENVRF
11,083C,83,C,4,9,12.750,229.347,238.125,0,C,1,1,1,U,U,U,U,U,U,0,0,0,88,U,19,5,0,6,3,U,0,0,0,0,U,5,8,16,1,148,0,0,3,0,0,0,1,2,98,0,1,1,5,1,0,0,0,0,U,0
11,083C,83,C,4,9,12.750,229.347,238.125,0,C,2,2,1,48,U,80,1,2,2,0,0,0,89,7,1,0,0,5,3,U,0,0,0,1,U,3,6,13,2,123,0,0,3,0,3,3,1,2,98,0,2,1,2,1,40,0,0,0,0,0
11,083C,83,C,4,9,12.750,229.347,238.125,0,C,3,1,1,61,194,50,0,0,1,0,0,0,98,1,1,0,0,5,3,U,0,0,0,0,U,3,6,13,2,125,0,0,3,0,3,4,1,2,98,0,2,1,2,1,40,0,0,0,0,0
11,084D,84,D,4,9,38.000,683.544,672.351,0,C,1,1,1,61,490,40,0,0,2,0,0,0,82,1,9,0,0,5,3,U,0,0,0,0,U,5,8,16,2,115,3,7,3,1,0,0,1,2,98,0,-2,2,2,2,25,0,20,6,0,0
11,084D,84,D,4,9,38.000,683.544,672.351,0,C,2,2,1,61,1,12,1,3,2,0,0,0,83,3,1,0,0,5,3,1,0,0,0,0,U,3,6,13,5,106,0,0,3,0,0,0,1,2,98,0,1,1,2,2,45,0,0,0,0,0
11,085E,85,E,4,9,115.000,2068.620,2111.818,0,C,1,1,1,U,U,U,U,U,U,0,0,0,20,4,98,98,0,5,3,U,2,0,0,0,U,3,6,13,5,121,0,0,3,0,0,0,1,2,98,0,1,1,1,1,40,0,0,0,0,0
11,085E,85,E,4,9,115.000,2068.620,2111.818,0,C,2,1,1,61,160,95,1,3,1,0,0,0,21,1,31,0,0,5,3,U,1,0,0,0,U,3,6,13,5,121,0,0,3,0,0,0,1,2,98,0,1,1,1,1,40,0,0,0,0,0
11,086B,86,B,4,9,5.500,98.934,99.398,1,C,1,1,1,2,2,110,0,0,3,0,0,0,2,2,4,0,0,5,2,U,0,0,0,0,U,3,6,14,4,137,0,0,3,0,0,0,3,3,1,80,2,2,2,1,35,0,41,6,0,0
11,087C,87,C,4,9,12.750,229.347,238.125,0,C,1,1,1,U,U,U,U,U,U,0,0,0,20,1,98,98,0,5,3,U,2,0,0,0,U,3,6,13,2,137,3,10,3,1,0,2,1,2,98,0,-2,1,2,1,35,0,1,3,0,0
11,087C,87,C,4,9,12.750,229.347,238.125,0,C,2,1,1,61,320,180,0,0,1,0,0,0,21,1,1,0,0,5,3,U,0,0,0,0,U,3,6,13,2,137,3,10,3,1,0,2,1,2,98,0,-2,1,2,1,35,0,1,3,0,0
