PSU,CASEID,CASENO,STRATIF,VERSION,VEHNO,ACCSEQ1,OBJCONT1,DOF1,GAD1,SHL1,SVL1,TDD1,EXTENT1,ACCSEQ2,OBJCONT2,DOF2,GAD2,SHL2,SVL2,TDD2,EXTENT2,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,SDVL,SDVC1,SDVC2,SDVC3,SDVC4,SDVC5,SDVC6,SDVD,DOCCDC,TOWRES,WHEELBAS,NATWGT,PSUWGT
1,8G,8,G,2,1,1,44,12,F,D,E,W,1,2,31,0,T,D,D,O,3,59,6,1,0,1,3,6,0,,,,,,,,,0,1,1098,958.92,12
1,9E,9,E,2,1,1,2,1,R,D,E,W,3,3,51,8,L,B,E,W,3,,,,,,,,,86,0,10,5,3,1,0,-48,0,1,1160,271.694,3.4
1,9E,9,E,2,2,1,1,10,F,D,E,W,1,,,,,,,,,63,6,9,7,6,5,4,0,,,,,,,,,0,0,1049,271.694,3.4
1,9E,9,E,2,3,2,1,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1024,271.694,3.4
1,10H,10,H,2,1,1,2,1,R,Y,E,W,2,,,,,,,,,78,3,4,6,8,5,0,3,,,,,,,,,0,1,1240,1358.47,17
1,10H,10,H,2,2,1,1,10,F,D,E,W,1,,,,,,,,,68,0,0,2,2,5,9,0,,,,,,,,,0,0,1215,1358.47,17
1,12E,12,E,2,1,1,2,12,L,D,E,S,2,,,,,,,,,208,0,0,0,4,1,0,-12,,,,,,,,,0,0,1315,271.694,3.4
1,12E,12,E,2,2,1,1,2,F,D,E,W,1,,,,,,,,,62,4,1,1,1,2,5,0,,,,,,,,,0,1,1010,271.694,3.4
1,14C,14,C,2,1,2,60,12,F,R,E,W,3,4,42,U,9,9,9,9,U,57,1,9,17,28,28,26,0,,,,,,,,,1,1,1012,79.91,1
1,15D,15,D,2,1,2,51,9,L,P,A,N,4,1,53,U,9,9,9,9,U,55,0,1,4,12,21,2,-7,,,,,,,,,0,1,966,133.4497,1.67
1,16F,16,F,2,1,1,2,12,F,L,E,W,2,,,,,,,,,69,13,5,3,1,0,0,0,,,,,,,,,0,1,1081,573.83371,7.181
