PSUWGT,NATWGT,PSU,AOPSVEH,CASEID,CASENO,STRATIF,VERSION,VEHNO,MODELYR,MAKE,MODEL,BODYTYPE,VIN,TOWPAR,TRAVELSP,DRINKDRG,ALCTEST,SPLIMIT,MANEUVER,ACCTYPE,DRPRES,OCUPANTS,OCCFORMS,CURBWGT,TOWHITCH,DOCTRAJ,CONDTREE,ROLLOVER,FOVERIDE,ROVERIDE,ANGTHIS,ANGOTHER,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVCONFID,INSPTYPE,VINLNGTH,VINJSER,VINJURED,DRIVE,VTREAT,OTVEHWGT,OTBDYTYP,VAIS,CARGOWGT
5.75,28.7845,10,0,84C,84,C,2,3,86,20,16,4,1G1JD69P0G,1,0,0,C,25,1,98,1,1,1,24,0,0,0,0,0,0,0,15,6,U,U,U,U,0,1,17,0,0,2,0,22,3,0,0
2.17,87.12333,11,0,1A,1,A,2,1,85,7,16,5,1B3BX48D9F,1,U,0,C,55,7,98,1,2,2,25,0,0,0,0,0,0,100,23,3,30,10,-29,496,1,1,17,1,2,2,1,36,31,3,0
2.17,87.12333,11,0,1A,1,A,2,2,81,23,473,31,1GTCC14D9B,1,U,0,C,55,9,98,1,1,1,36,0,0,0,0,0,0,23,100,3,22,-22,-3,1104,1,2,17,0,1,8,6,25,5,1,1
2.66,106.79634,11,0,2C,2,C,2,1,89,20,19,2,1G1LW14W1K,1,U,0,C,45,4,2,1,1,1,26,0,0,1,0,0,0,998,998,1,28,-27,-5,722,1,1,17,0,1,2,3,998,98,2,0
23.6,947.5164,11,,3E,3,E,2,1,86,20,472,20,1GCCM15E9G,1,U,0,C,25,1,89,1,1,1,34,0,0,0,0,0,0,180,285,3,14,-10,10,300,1,2,17,0,1,8,4,21,6,1,0
23.6,947.5164,11,,3E,3,E,2,2,83,12,13,6,1FABP1045D,1,U,0,C,50,4,88,1,1,1,21,0,0,0,0,0,0,285,180,3,22,-19,-11,388,1,1,17,0,1,2,4,34,20,1,0
3.5378,142.0391322,11,,4C,4,C,2,1,88,21,5,2,1G3EV11C8J,1,U,1,C,55,1,6,1,1,1,34,0,0,0,0,0,0,998,998,1,13,-13,2,212,1,1,17,0,1,2,6,998,98,1,0
95.76,3844.66824,11,,5G,5,G,2,1,89,22,31,3,KL2TN2164K,1,U,0,C,45,6,1,1,3,3,22,0,0,2,0,0,0,998,998,6,U,U,U,U,0,2,17,0,0,2,0,998,98,0,0
144.97,5820.40053,11,0,6H,6,H,2,1,80,20,15,5,1X685A6200,1,U,0,C,55,7,2,1,1,1,25,0,0,2,2,0,0,998,998,5,U,U,U,U,0,1,13,0,1,2,6,998,98,1,0
3.5378,142.0391322,11,0,7C,7,C,2,1,86,13,2,2,1LNBP98F4G,1,U,0,C,25,1,7,1,1,1,38,0,0,1,0,0,0,998,998,1,8,3,-8,135,1,1,17,0,1,1,4,998,98,1,0
41.097,1650.003453,11,,8F,8,F,2,1,79,22,9,2,2S87Y9L100,1,U,1,D,55,9,20,1,2,2,35,0,0,0,0,U,0,10,90,4,U,U,U,U,0,0,13,0,1,1,4,N,N,2,0
41.097,1650.003453,11,,8F,8,F,2,2,U,U,U,65,9999999999,0,0,U,U,55,1,21,,,,,,,,,,,,,,,,,,,,U,N,N,8,N,N,N,N,
95.76,3844.66824,11,,9G,9,G,2,1,83,20,13,4,1G1AB68C4D,1,U,0,C,40,U,56,1,1,1,22,0,0,0,0,0,0,10,270,6,U,U,U,U,0,0,17,0,0,1,0,N,N,0,U
95.76,3844.66824,11,,9G,9,G,2,2,86,47,31,3,YS3AC36D6G,0,U,0,C,40,7,57,1,2,0,27,0,0,0,0,0,0,270,10,6,U,U,U,U,0,2,17,N,N,2,N,22,4,N,0
95.76,3844.66824,11,,9G,9,G,2,3,87,12,4,2,1FABP6034H,1,U,0,C,40,9,98,1,1,1,31,0,0,0,0,0,0,270,325,6,U,U,U,U,0,1,17,0,1,1,0,22,4,1,0
95.76,3844.66824,11,,9G,9,G,2,4,84,12,13,3,1FABP0757E,1,U,0,C,40,1,98,1,2,2,21,0,0,0,0,0,0,270,270,6,U,U,U,U,0,1,17,0,0,2,0,31,6,0,0
95.76,3844.66824,11,,9G,9,G,2,5,86,20,17,6,2G1AW35R7G,0,U,0,C,40,U,98,1,2,0,31,0,0,0,0,0,0,270,270,6,U,U,U,U,0,0,17,N,N,2,N,N,N,N,U
95.76,3844.66824,11,,9G,9,G,2,6,89,14,15,4,1MEPM37X2K,0,U,0,C,40,U,98,1,1,0,26,0,0,0,0,0,0,270,275,6,U,U,U,U,0,0,17,N,N,U,N,N,N,N,U
4.31,173.04219,11,,10D,10,D,2,1,84,20,13,5,1G1AB68C4E,1,U,0,C,55,U,2,1,1,1,23,0,0,0,0,0,0,998,998,1,10,-10,-2,78,1,1,17,0,1,1,4,998,98,1,0
2.66,106.79634,11,0,11C,11,C,2,1,80,12,32,3,GCFBAE5300,1,U,0,C,35,1,87,1,2,2,18,0,0,0,0,0,0,270,180,1,28,-14,-24,230,2,1,12,1,2,2,3,38,31,3,0
2.66,106.79634,11,0,11C,11,C,2,2,81,12,473,31,1FTEF25FXB,1,U,0,C,25,1,86,1,1,1,38,0,0,0,0,0,0,270,180,1,15,-12,10,866,1,1,17,0,1,8,6,18,3,1,0
2.66,106.79634,11,,12C,12,C,2,1,88,12,881,68,2FDLF47MXJ,0,U,0,C,35,U,20,,,,,,,,,,,,,,,,,,,,17,N,N,8,N,N,N,N,
2.66,106.79634,11,,12C,12,C,2,2,89,18,3,4,1G4CW54C7K,1,U,0,C,35,U,22,1,1,1,33,0,0,0,0,0,0,90,90,4,U,U,U,U,0,1,17,0,1,1,U,N,68,7,0
2.66,106.79634,11,,12C,12,C,2,3,85,12,13,3,1FABP3196F,1,U,0,C,35,2,98,1,1,1,21,0,0,0,0,0,0,270,57,5,U,U,U,U,0,1,17,0,0,2,0,33,4,0,0
2.66,106.79634,11,,12C,12,C,2,4,86,49,32,4,JT2AE82E1G,1,U,0,C,35,0,98,1,1,1,21,0,0,0,0,0,0,269,85,1,26,-24,9,252,2,1,17,0,1,2,4,33,4,1,0
35.4,1421.2746,11,0,13E,13,E,2,1,89,23,470,14,1GKCT18Z2K,1,U,0,C,55,1,2,1,1,1,32,0,0,0,4,0,0,997,997,5,U,U,U,U,0,1,17,0,1,8,4,998,98,2,0
163.5,6564.3615,11,0,14H,14,H,2,1,88,41,35,4,JM1BF2227J,U,U,0,C,10,2,86,1,1,0,22,0,0,0,0,0,0,270,0,1,8,-7,4,82,4,1,17,N,N,2,N,20,3,N,0
163.5,6564.3615,11,0,14H,14,H,2,2,80,41,35,3,FA4US58800,1,U,0,C,40,1,87,1,1,1,20,0,0,0,0,0,0,0,270,1,9,-6,-7,67,4,1,11,0,0,2,0,22,4,0,0
72,2890.728,11,,15G,15,G,2,1,88,22,31,3,KL2TX2167J,1,U,1,C,45,U,7,1,3,3,24,0,0,0,U,0,0,997,997,5,U,U,U,U,0,1,17,0,0,2,0,998,98,0,0
2.66,106.79634,11,,16C,16,C,2,1,85,20,32,4,1Y1SK1941F,1,U,1,C,55,1,1,1,2,2,22,0,0,0,0,0,0,100,90,1,33,-33,0,491,2,1,17,0,2,2,4,998,98,1,0
2.66,106.79634,11,,17C,17,C,2,1,86,12,15,4,1FABP22X4G,1,U,0,C,55,U,7,1,1,1,24,0,0,1,2,0,0,998,998,1,23,-23,4,481,1,1,17,0,1,2,3,998,98,1,0
2.66,106.79634,11,,18C,18,C,2,1,85,20,474,21,1GCEG25H2F,0,U,1,D,25,U,80,1,1,0,40,0,0,0,0,0,0,238,90,1,12,-9,-8,365,3,1,17,N,N,8,N,32,4,N,1
2.66,106.79634,11,,18C,18,C,2,2,79,14,11,4,9W34L63700,1,U,0,C,35,1,81,1,1,1,32,0,0,0,0,0,0,90,238,1,14,-14,3,249,3,1,11,1,1,1,3,40,21,4,0
2.66,106.79634,11,0,19C,19,C,2,1,75,21,1,2,3J57KM3100,1,U,0,C,55,U,88,1,3,3,38,0,0,0,0,0,0,45,270,6,U,U,U,U,0,0,12,0,0,1,0,N,N,0,U
2.66,106.79634,11,0,19C,19,C,2,2,85,12,13,3,1FABP0424F,1,U,0,C,45,U,89,1,1,1,21,0,0,0,4,0,0,997,997,5,U,U,U,U,0,1,17,0,1,2,4,998,98,1,0
72,2890.728,11,,20G,20,G,2,1,89,35,43,2,JN1GB24P3K,1,U,0,C,0,U,87,1,1,1,27,0,0,0,0,0,0,90,0,6,U,U,U,U,0,0,17,0,0,2,0,N,N,0,0
72,2890.728,11,,20G,20,G,2,2,86,21,1,4,1G3GR69A7G,0,U,0,C,25,U,86,1,2,0,33,0,0,0,0,0,0,0,90,6,U,U,U,U,0,0,17,N,N,1,N,N,N,N,U
2.66,106.79634,11,,21C,21,C,2,1,85,12,473,31,9999999999,0,U,0,C,40,U,20,1,1,0,U,0,0,0,0,0,0,90,100,6,U,U,U,U,0,0,U,N,N,8,N,N,N,N,U
2.66,106.79634,11,,21C,21,C,2,2,86,12,13,3,1FABP01J8G,1,0,0,C,40,1,21,1,1,1,22,0,0,1,0,0,0,998,998,1,19,-19,0,291,1,2,17,0,1,2,3,998,98,1,0
30.9,1240.6041,11,0,22F,22,F,2,1,84,12,15,4,2FABP22R8E,1,U,0,C,40,U,83,1,2,2,24,0,0,0,0,0,0,280,180,6,U,U,U,U,0,1,17,0,2,2,4,24,2,1,0
30.9,1240.6041,11,0,22F,22,F,2,2,84,18,12,2,1G4AT2708E,1,U,0,C,25,1,82,1,1,1,24,0,0,0,0,0,0,180,280,6,U,U,U,U,0,1,17,1,1,2,3,24,4,3,0
8.63,346.48587,11,,23D,23,D,2,1,83,21,17,4,1G3AJ19RXD,1,U,0,C,U,U,88,1,2,2,28,0,0,0,0,0,0,U,U,6,U,U,U,U,0,0,17,1,2,2,3,N,N,3,U
8.63,346.48587,11,,23D,23,D,2,2,82,14,13,3,1MEBP6321C,1,U,0,C,45,U,89,1,1,1,20,0,0,0,0,0,0,U,U,6,U,U,U,U,0,0,17,0,0,2,0,N,N,0,U
4.72,189.50328,11,,24C,24,C,2,1,85,20,16,2,9999999999,1,U,0,C,55,U,3,1,1,1,24,0,0,1,0,0,0,998,998,6,U,U,U,U,0,0,U,0,1,2,3,N,N,2,0
41.1,1650.1239,11,0,25E,25,E,2,1,77,2,405,14,J7A16MN000,0,U,1,10,35,U,21,1,1,0,40,0,0,0,0,0,0,U,U,6,U,U,U,U,0,0,13,N,N,8,N,N,N,N,U
41.1,1650.1239,11,0,25E,25,E,2,2,88,14,36,3,3MABM1157J,1,0,0,C,35,U,20,1,2,2,22,0,0,0,0,0,0,U,U,6,U,U,U,U,0,0,17,0,2,2,4,N,N,1,U
152,6102.6479999,11,,26G,26,G,2,1,88,12,13,3,1FAPP2194J,1,U,0,C,0,U,U,1,1,1,22,0,0,0,0,0,0,U,U,6,U,U,U,U,0,0,17,0,1,2,U,N,N,7,U
152,6102.6479999,11,,26G,26,G,2,2,89,14,17,6,1MEBM5849K,1,U,1,4,35,U,U,1,4,4,32,0,0,0,0,0,0,U,U,6,U,U,U,U,0,0,17,0,2,2,U,N,N,7,U
3.25,130.48425,11,0,29A,29,A,2,1,85,21,17,6,2G3AJ35E9F,1,U,0,C,55,3,86,1,1,1,29,0,0,0,0,0,0,108,234,1,11,-10,5,447,1,2,17,0,1,2,0,16,3,1,0
3.25,130.48425,11,0,29A,29,A,2,2,88,20,33,3,JG1MR2157J,1,U,0,C,45,U,87,1,2,2,16,0,0,0,0,0,0,234,108,1,24,-12,-21,284,1,1,17,1,2,2,1,29,6,6,0
4.72,189.50328,11,0,30C,30,C,2,1,75,22,2,2,2P47R5P100,1,U,0,C,25,U,50,1,1,1,46,0,0,0,0,0,0,350,180,1,12,-11,-4,429,1,2,13,0,1,1,4,22,3,1,0
4.72,189.50328,11,0,30C,30,C,2,2,87,12,13,3,2FAPP2095H,1,U,0,C,25,U,51,1,1,1,22,0,0,0,0,0,0,180,350,1,24,-24,4,315,1,1,17,1,1,2,3,46,2,3,0
8.63,346.48587,11,0,31D,31,D,2,1,79,12,473,31,F26SLEG300,1,U,0,C,50,1,68,1,2,2,42,0,0,0,0,0,0,255,90,4,U,U,U,U,0,1,11,0,2,8,0,22,3,1,5
8.63,346.48587,11,0,31D,31,D,2,2,83,14,13,3,2MEBP5143D,1,U,0,C,50,1,69,1,1,1,22,0,0,0,0,0,0,90,255,4,U,U,U,U,0,1,17,0,1,2,3,42,31,2,0
82.2,3300.2478,11,0,32E,32,E,2,1,89,37,31,3,JHMED9369K,1,U,1,7,35,9,32,1,2,2,19,0,0,0,0,0,0,12,0,5,U,U,U,U,0,2,17,0,0,U,4,31,6,0,0
82.2,3300.2478,11,0,32E,32,E,2,2,88,37,32,4,JHGCA553XJ,0,U,0,C,35,1,32,1,1,0,26,0,0,0,0,0,U,0,12,6,U,U,U,U,0,2,17,N,N,2,N,19,3,N,0
82.2,3300.2478,11,0,32E,32,E,2,3,86,14,17,6,1MEBP88U9G,0,U,0,C,35,1,98,1,1,0,31,0,0,0,0,0,U,0,10,6,U,U,U,U,0,2,17,N,N,2,N,19,3,N,0
4.72,189.50328,11,0,33C,33,C,2,1,85,12,3,3,1FABP28M2F,1,U,0,C,55,3,2,1,2,2,31,0,1,0,4,0,0,997,997,5,U,U,U,U,0,1,17,0,2,1,4,998,98,1,0
8.63,346.48587,11,0,34D,34,D,2,1,78,12,12,6,8X94T22100,1,U,1,C,25,U,11,1,1,1,29,0,0,0,0,4,0,0,0,6,U,U,U,U,0,1,11,0,1,1,3,998,98,2,0
9.44,379.00656,11,0,35C,35,C,2,1,86,12,473,31,2FTHF25Y6G,1,U,0,C,65,98,7,1,2,2,38,0,1,0,4,0,0,997,997,5,U,U,U,U,0,1,17,0,2,8,4,998,98,1,2
3.5,140.5215,11,0,36B,36,B,2,1,78,12,9,3,8T11Y16500,1,U,1,D,55,1,68,1,1,1,24,0,0,0,0,0,0,195,90,1,17,-6,-16,263,1,1,11,1,1,1,1,21,5,2,2
3.5,140.5215,11,0,36B,36,B,2,2,82,20,13,5,1G1AB68C4C,1,U,0,C,55,3,69,1,1,1,21,0,1,0,0,0,0,90,195,1,21,-20,7,822,1,2,17,0,1,1,3,24,3,2,0
9.44,379.00656,11,0,37C,37,C,2,1,86,22,5,2,1G2PG9790G,1,97,0,C,50,1,1,1,1,1,25,0,1,0,4,0,0,997,997,5,U,U,U,U,0,1,17,1,1,1,3,998,98,3,0
41.1,1650.1239,11,0,38E,38,E,2,1,77,18,7,2,4E37C71400,1,U,0,C,55,1,45,1,1,1,36,0,0,0,0,0,0,70,0,4,U,U,U,U,0,1,12,0,0,1,0,N,65,0,0
41.1,1650.1239,11,0,38E,38,E,2,2,86,7,473,31,9999999999,1,U,0,C,55,98,44,1,1,1,44,1,1,0,4,0,0,997,997,5,U,U,U,U,0,2,U,0,1,8,4,998,98,2,30
41.1,1650.1239,11,0,38E,38,E,2,3,77,23,881,65,TJJ9O7V600,0,U,0,C,55,U,98,,,,,,,,,,,,,,,,,,,,13,N,N,8,N,N,N,N,
9.44,379.00656,11,0,39C,39,C,2,1,77,20,1,2,1D37U71400,1,U,1,10,40,1,86,1,1,1,38,0,0,0,0,0,0,90,180,1,15,-13,8,200,4,1,13,0,1,1,0,34,20,1,0
9.44,379.00656,11,0,39C,39,C,2,2,88,12,472,20,1FMCA11U5J,1,U,0,C,45,1,87,1,3,3,34,0,0,0,2,0,0,180,90,1,16,-8,-14,487,4,1,17,0,3,8,3,38,2,2,0
152,6102.6479999,11,0,40G,40,G,2,1,86,18,2,4,1G4HR6939G,1,U,0,C,35,1,98,1,1,1,32,0,0,0,0,0,0,75,325,6,U,U,U,U,0,1,17,0,1,1,6,35,31,1,1
152,6102.6479999,11,0,40G,40,G,2,2,84,12,473,31,1FTCF15Y1E,0,U,0,C,35,8,98,1,1,0,35,0,0,0,0,0,0,325,75,6,U,U,U,U,0,2,17,N,N,8,N,32,4,N,10
4.72,189.50328,11,0,41C,41,C,2,1,88,12,13,3,1FABP1795J,1,U,1,33,25,U,6,1,1,1,23,0,1,0,0,0,0,998,998,1,17,-17,3,240,1,1,17,0,1,2,4,998,98,1,0
217,8712.3329999,11,0,42H,42,H,2,1,78,20,9,2,1Q87D8L500,1,U,1,U,30,7,86,1,1,1,35,0,0,0,0,0,0,0,90,5,U,U,U,U,0,1,13,0,0,1,0,37,4,0,1
217,8712.3329999,11,0,42H,42,H,2,2,79,20,2,4,1L69G91200,1,U,0,C,25,1,87,1,1,1,37,0,0,0,0,0,0,90,0,5,U,U,U,U,0,2,13,0,0,1,0,35,2,0,0
4.72,189.50328,11,0,45C,45,C,2,1,86,22,16,2,1G2JD2705G,1,65,0,0,55,8,1,1,1,1,24,0,1,0,0,0,0,998,998,1,18,-18,3,284,1,1,17,0,1,2,3,998,98,2,0
8.63,346.48587,11,0,46D,46,D,2,1,80,7,34,3,4H24KA4300,1,U,0,C,25,10,1,1,1,1,20,0,0,1,0,0,0,998,998,1,26,-26,0,545,1,1,13,0,1,2,3,998,98,2,0
41.1,1650.1239,11,0,47E,47,E,2,1,82,18,15,4,1G4AB69R7C,1,U,0,C,25,1,88,1,1,1,26,0,0,0,0,0,0,0,270,1,16,-10,-12,424,1,2,17,0,1,2,0,30,2,1,0
41.1,1650.1239,11,0,47E,47,E,2,2,85,14,4,2,1MEBP92W3F,1,U,0,C,25,1,89,1,1,1,30,0,0,0,0,0,0,270,0,1,13,-9,10,276,1,1,17,0,1,1,4,26,4,2,0
152,6102.6479999,11,0,48G,48,G,2,1,88,37,31,3,JHMED6355J,1,U,0,C,25,1,88,1,1,1,19,0,0,0,0,0,0,0,277,1,10,-5,-9,34,1,1,17,0,0,U,0,27,2,0,0
152,6102.6479999,11,0,48G,48,G,2,2,85,12,3,2,1FABP26A6F,1,U,0,C,25,1,89,1,2,2,27,0,0,0,0,0,0,277,0,1,7,-6,4,134,1,1,17,0,0,1,0,19,3,0,0
41.1,1650.1239,11,0,50E,50,E,2,1,86,12,473,31,2FTEF15N0G,1,U,0,C,35,1,89,1,1,1,36,0,0,0,0,0,0,180,270,3,14,0,14,253,1,1,17,0,1,8,4,44,31,1,4
41.1,1650.1239,11,0,50E,50,E,2,2,86,12,473,31,2FTHF26H2G,1,U,0,C,45,3,88,1,1,1,44,0,0,0,0,0,0,270,180,3,12,-12,0,339,1,1,17,0,1,8,0,36,31,1,2
3.86,154.97514,11,0,51C,51,C,2,1,89,12,18,3,1ZVBT20C0K,1,U,0,C,25,1,82,1,2,2,27,0,1,0,0,0,0,315,45,1,18,-11,14,176,1,1,17,0,0,2,0,22,5,0,0
3.86,154.97514,11,0,51C,51,C,2,2,85,7,8,5,1B3BZ18A8F,1,U,0,C,50,8,83,1,1,1,22,0,1,0,0,0,0,45,315,1,22,-17,-14,855,1,1,17,0,1,2,3,27,3,2,0
6.27,251.73423,11,0,52D,52,D,2,1,83,14,6,4,1MEBP95F5D,1,U,0,C,35,1,6,1,2,2,30,0,0,1,0,0,0,998,998,1,32,-32,0,1358,2,1,17,1,2,1,3,998,98,3,0
58.4,2344.7016,11,0,53F,53,F,2,1,82,12,13,3,1FABP0520C,1,U,1,C,55,8,1,1,1,1,20,0,0,0,0,0,0,998,998,1,11,-11,3,96,1,1,17,0,1,2,4,998,98,1,0
2.17,87.12333,11,0,54A,54,A,2,1,88,7,477,31,1B7FN64X8J,1,U,0,0,45,98,3,1,2,2,31,0,1,1,0,0,0,998,998,5,U,U,U,U,0,1,17,1,2,8,1,998,98,5,0
3.86,154.97514,11,0,55C,55,C,2,1,87,20,33,5,JG1MR6156H,1,U,0,C,55,9,2,1,2,2,16,0,0,0,2,0,0,997,997,5,U,U,U,U,0,1,17,0,2,2,4,998,98,1,1
3.86,154.97514,11,0,56C,56,C,2,1,78,18,15,4,4B69A8W100,1,U,0,C,35,1,68,1,1,1,33,0,0,0,0,0,0,112,350,1,9,-3,-9,43,1,1,13,0,0,1,0,28,2,0,0
3.86,154.97514,11,1,56C,56,C,2,2,88,6,17,2,1C3YJ41K3J,1,U,0,C,35,8,69,1,4,4,28,0,0,0,0,0,0,350,112,1,10,-10,4,291,1,1,17,0,1,2,4,33,4,1,0
41.1,1650.1239,11,0,57E,57,E,2,1,87,12,472,20,1FMCA11U1H,1,U,0,C,45,9,1,1,1,1,32,0,0,1,0,0,0,998,998,6,U,U,U,U,0,2,17,0,1,8,4,998,98,1,1
152,6102.6479999,11,0,58G,58,G,2,1,85,12,13,5,1FABP1322F,0,U,0,C,40,1,88,1,1,0,21,0,0,0,0,0,0,20,290,1,8,-7,-3,134,1,1,17,N,N,2,N,19,3,N,0
152,6102.6479999,11,0,58G,58,G,2,2,86,20,31,3,J81RF7773G,1,U,0,C,40,1,89,1,1,1,19,0,0,0,0,0,0,290,20,1,9,-3,8,4,1,1,17,0,1,2,4,21,5,1,0
3.86,154.97514,11,0,59C,59,C,2,1,82,20,9,3,1G1AP8716C,1,U,0,C,45,1,20,1,1,1,30,0,0,0,0,0,0,90,90,1,21,-21,0,90,1,1,17,0,1,1,0,26,2,1,0
3.86,154.97514,11,0,59C,59,C,2,2,85,18,18,2,1G4NJ27U1F,1,0,0,C,45,1,22,1,4,4,26,0,0,0,0,0,0,90,90,1,22,22,0,884,1,1,17,0,1,2,4,30,3,1,0
217,8712.3329999,11,0,60H,60,H,2,1,84,12,15,2,2FABP19R4E,1,U,0,C,45,3,20,1,1,1,24,0,0,0,0,0,0,0,0,1,14,-14,0,104,1,2,17,0,0,2,0,21,3,0,0
217,8712.3329999,11,0,60H,60,H,2,2,84,20,13,3,1G1AB08C9E,0,0,0,C,45,1,21,1,1,0,21,0,0,0,0,0,0,0,0,1,16,16,0,259,1,1,17,N,N,1,N,24,2,N,U
6.27,251.73423,11,0,61D,61,D,2,1,80,12,11,2,0W81C17400,1,U,0,C,45,1,45,1,1,1,33,0,0,0,0,0,0,350,0,4,U,U,U,U,0,1,11,0,1,1,4,N,65,1,0
6.27,251.73423,11,0,61D,61,D,2,2,88,82,898,65,9999999999,0,U,0,C,45,1,44,,,,,,,,,,,,,,,,,,,,U,N,N,8,N,N,N,N,
2.17,87.12333,11,0,62A,62,A,2,1,85,14,13,6,1MEBP6049F,1,U,0,C,0,1,87,1,1,1,22,0,0,0,0,0,0,80,0,1,33,6,-33,775,1,1,17,1,1,2,1,32,2,3,0
2.17,87.12333,11,0,62A,62,A,2,2,78,20,10,2,1Z37U8K500,1,U,0,C,45,9,86,1,1,1,32,0,0,0,0,0,0,0,80,1,23,-22,-4,668,1,2,13,0,1,1,4,22,6,1,0
3.86,154.97514,11,0,63C,63,C,2,1,86,20,13,3,1G1TB08C6G,1,U,0,C,55,U,8,1,1,1,21,0,0,1,0,0,0,998,998,1,21,-21,4,413,1,1,17,1,1,1,3,998,98,3,0
6.27,251.73423,11,0,64D,64,D,2,1,89,12,3,3,1FABP41E9K,1,U,1,C,55,9,64,1,2,2,28,0,1,0,0,0,0,100,270,5,U,U,U,U,0,1,17,0,1,1,6,42,31,1,0
6.27,251.73423,11,0,64D,64,D,2,2,72,20,473,31,CCE242F300,1,U,1,C,55,9,65,1,2,2,42,0,1,0,4,0,0,997,997,5,U,U,U,U,0,2,10,0,2,8,4,998,98,2,7
3.86,154.97514,11,0,65C,65,C,2,1,87,20,473,31,1GCDR14Z8H,1,U,1,D,40,1,1,1,1,1,36,0,0,2,0,0,0,998,998,5,U,U,U,U,0,1,17,0,1,8,4,998,98,1,1
2.33,93.54717,11,0,66B,66,B,2,1,65,12,398,2,5W66X10600,1,U,1,D,55,1,50,1,1,1,35,0,0,0,0,0,0,0,180,6,U,U,U,U,0,1,11,0,1,U,U,25,3,2,0
2.33,93.54717,11,0,66B,66,B,2,2,80,12,9,3,0X10A19300,1,U,U,3,55,1,51,1,2,2,25,0,0,0,0,0,0,180,0,6,U,U,U,U,0,1,11,2,2,1,1,35,2,6,0
1.3,52.1937,11,0,67C,67,C,2,1,85,14,6,4,1MEBP8933F,1,U,0,C,35,8,98,1,1,1,29,0,0,0,0,0,0,250,270,4,U,U,U,U,0,1,17,0,1,1,4,N,65,1,0
1.3,52.1937,11,0,67C,67,C,2,2,78,12,881,65,R90UUBE600,0,U,0,C,35,U,98,,,,,,,,,,,,,,,,,,,,11,N,N,8,N,N,N,N,
1.98,79.49502,11,0,68D,68,D,2,1,84,7,11,6,1B3BD49C0E,1,U,0,C,55,2,13,1,2,2,25,0,0,0,0,0,0,998,998,5,U,U,U,U,0,1,17,0,0,2,4,998,98,0,2
1.98,79.49502,11,0,69D,69,D,2,1,80,7,473,31,D14ANAS100,1,U,1,14,55,7,20,1,2,2,39,0,0,0,0,0,0,20,0,1,12,-12,2,273,1,1,13,0,0,8,U,32,10,U,1
1.98,79.49502,11,0,69D,69,D,2,2,80,20,7,10,1W80KAK400,1,0,0,C,55,1,22,1,1,1,32,0,0,0,0,0,0,0,20,1,15,14,-3,229,1,1,13,0,1,1,4,39,31,1,0
12.1,485.8029,11,0,70F,70,F,2,1,82,9,11,6,1P3BP49DXC,1,U,0,C,25,8,8,1,1,1,25,0,0,U,0,0,0,998,998,1,14,-14,-2,203,1,1,17,0,1,2,4,998,98,1,0
34,1365.066,11,0,71G,71,G,2,1,88,12,473,31,1FTEX15Y1J,1,U,0,C,45,1,68,1,2,2,42,0,0,0,0,0,0,199,90,1,15,-13,-8,732,1,1,17,0,2,8,0,30,3,1,1
34,1365.066,11,0,71G,71,G,2,2,82,20,9,3,1G1AS8718C,1,U,0,C,45,1,69,1,2,2,30,0,0,0,0,0,0,90,199,1,22,-17,14,635,1,1,17,0,1,1,0,42,31,1,0
34,1365.066,11,0,71G,71,G,2,3,85,12,473,31,1FTFF25N5F,0,U,0,C,45,1,98,1,1,0,39,0,0,0,0,0,0,0,278,1,6,-6,0,222,1,1,17,N,N,8,N,42,31,N,2
47,1887.003,11,0,72H,72,H,2,1,81,18,15,2,1G4AB3755B,1,U,0,C,55,1,2,1,2,2,25,0,0,0,0,0,0,235,0,6,U,U,U,U,0,1,17,0,0,2,0,998,98,0,0
1,40.149,11,0,73B,73,B,2,1,79,21,2,4,3N69Y9M200,1,75,0,C,55,9,7,1,3,3,36,0,1,1,0,0,0,998,998,1,21,-10,18,823,1,1,13,2,3,1,1,998,98,6,0
1.3,52.1937,11,0,74C,74,C,2,1,88,35,477,30,1N6ND11S4J,1,U,0,C,55,1,1,1,2,2,27,0,0,1,0,0,0,998,998,1,14,-14,0,304,1,1,17,0,2,8,3,998,98,2,0
1.98,79.49502,11,0,75D,75,D,2,1,77,12,8,2,7K91L12100,1,U,U,C,35,U,88,1,2,2,30,0,0,0,0,0,0,265,0,5,U,U,U,U,0,1,11,0,1,1,4,28,3,7,0
1.98,79.49502,11,0,75D,75,D,2,2,83,14,3,3,1MEBP79A1D,1,U,0,C,30,U,89,1,1,1,28,1,0,0,0,0,0,0,265,5,U,U,U,U,0,1,17,0,1,1,0,30,2,1,0
9.5,381.4155,11,0,76E,76,E,2,1,79,12,473,31,F10BLFE700,1,U,1,16,45,9,20,1,1,1,35,0,0,0,0,0,0,98,90,6,U,U,U,U,0,1,11,0,0,8,0,20,3,0,2
9.5,381.4155,11,0,76E,76,E,2,2,88,37,31,3,JHMED6351J,1,U,0,C,45,1,21,1,2,2,20,0,0,0,0,0,0,90,98,6,U,U,U,U,0,1,17,0,2,U,4,35,31,1,0
9.5,381.4155,11,0,76E,76,E,2,3,83,12,13,3,1FABP0756D,0,U,0,C,45,U,98,1,1,0,20,0,0,0,0,0,0,270,77,6,U,U,U,U,0,2,17,N,N,2,N,20,3,N,0
