PSUWGT,NATWGT,PSU,AOPSVEH,CASEID,CASENO,STRATIF,VERSION,VEHNO,MODELYR,MAKE,MODEL,BODYTYPE,VIN,TOWPAR,TRAVELSP,DRINKDRG,ALCTEST,SPLIMIT,MANEUVER,ACCTYPE,DRPRES,OCUPANTS,OCCFORMS,CURBWGT,TOWHITCH,DOCTRAJ,CONDTREE,ROLLOVER,FOVERIDE,ROVERIDE,ANGTHIS,ANGOTHER,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVCONFID,INSPTYPE,VINLNGTH,VINJSER,VINJURED,DRIVE,VTREAT,OTVEHWGT,OTBDYTYP,VAIS,CARGOWGT
12,958.92,1,,8G,8,G,2,1,86,52,477,30,9999999999,1,U,0,C,45,6,2,1,1,1,29,0,1,0,2,0,0,998,998,5,U,U,U,U,0,1,U,0,0,8,0,998,98,0,3
3.4,271.694,1,,9E,9,E,2,1,80,12,473,31,F10ECJG800,1,U,1,D,45,1,83,1,1,1,34,0,0,0,0,0,0,74,335,5,U,U,U,U,0,1,11,0,1,8,0,30,6,1,0
3.4,271.694,1,,9E,9,E,2,2,86,20,17,6,2G1AW35R4G,1,0,0,C,45,1,82,1,1,1,30,0,0,0,0,0,0,335,74,5,U,U,U,U,0,2,17,0,1,2,4,34,31,1,0
3.4,271.694,1,,9E,9,E,2,3,88,37,32,4,9999999999,0,U,0,C,45,U,98,1,1,0,24,0,0,0,0,U,0,270,73,6,U,U,U,U,0,2,U,N,N,2,N,34,31,N,U
17,1358.47,1,,10H,10,H,2,1,76,18,2,4,4P39J6H500,1,U,0,C,35,1,68,1,1,1,45,0,0,0,0,0,0,214,90,1,9,-7,-5,249,1,1,13,0,0,1,0,40,4,0,0
17,1358.47,1,,10H,10,H,2,2,84,19,3,4,1G6AM6988E,0,U,0,C,35,U,69,1,1,0,40,0,0,0,0,0,0,90,214,1,10,-6,8,284,1,1,17,N,N,1,N,45,4,N,0
3.4,271.694,1,,11E,11,E,2,1,86,9,U,9,9999999999,1,U,0,C,40,1,2,1,3,3,U,0,0,1,0,0,0,998,998,6,U,U,U,U,0,0,U,0,3,U,4,N,N,1,0
3.4,271.694,1,0,12E,12,E,2,1,89,23,473,31,2GTEC14ZXK,1,U,0,C,35,U,69,1,1,1,37,0,0,0,0,0,0,68,195,5,U,U,U,U,0,1,17,0,1,8,4,30,3,1,0
3.4,271.694,1,0,12E,12,E,2,2,82,20,9,3,1G1AP8718C,1,U,0,C,35,1,68,1,1,1,30,0,0,0,0,0,0,195,68,5,U,U,U,U,0,1,17,0,1,1,0,37,31,1,0
12,958.92,1,0,13G,13,G,2,1,85,20,U,4,9999999999,1,0,0,C,35,U,21,1,1,1,U,0,0,0,0,0,U,0,0,6,U,U,U,U,0,0,U,0,0,U,0,N,N,0,U
12,958.92,1,0,13G,13,G,2,2,81,7,U,39,9999999999,0,U,0,C,35,U,20,1,1,0,U,0,1,0,0,U,0,0,0,6,U,U,U,U,0,0,U,N,N,8,N,N,N,N,0
1,79.91,1,,14C,14,C,2,1,82,20,17,3,1G1AE77G1C,1,U,0,C,30,8,2,1,3,3,24,0,1,0,0,0,0,998,998,5,U,U,U,U,0,1,17,0,3,2,3,998,98,2,0
1.67,133.4497,1,,15D,15,D,2,1,81,9,8,3,1P3BL24B9B,1,U,0,C,35,6,2,1,1,1,22,0,0,1,0,0,0,998,998,1,17,0,17,214,1,1,17,0,1,2,4,998,98,1,0
7.181,573.83371,1,,16F,16,F,2,1,82,20,1,4,1G1AW69K3C,1,U,0,C,35,U,69,1,1,1,32,0,0,0,0,0,0,197,347,1,15,-15,3,138,1,1,17,0,1,1,0,19,4,7,0
7.181,573.83371,1,,16F,16,F,2,2,81,41,35,4,JM1BD221XB,1,U,0,C,35,U,68,1,1,1,19,0,0,0,0,0,0,347,197,1,24,-23,-8,687,1,1,17,1,1,2,3,32,4,3,0
20.04,1601.3964,1,,17G,17,G,2,1,87,12,473,40,2FDKF3710H,0,U,0,C,45,U,45,1,1,0,U,0,0,0,0,0,0,U,U,6,U,U,U,U,0,2,17,N,N,8,N,U,14,N,0
20.04,1601.3964,1,,17G,17,G,2,2,85,20,470,14,9999999999,1,U,0,C,45,U,47,1,1,1,U,0,0,0,0,U,U,U,U,6,U,U,U,U,0,0,U,0,1,8,U,N,N,7,U
20.04,1601.3964,1,,17G,17,G,2,3,76,13,1,4,9999999999,0,U,0,C,45,U,98,1,2,0,52,0,0,0,0,0,0,U,U,6,U,U,U,U,0,0,U,N,N,1,N,N,N,N,U
1,79.91,1,,18D,18,D,2,1,80,35,35,5,HN10155500,1,U,1,D,55,U,1,1,2,2,20,0,0,1,0,0,0,998,998,1,26,-26,0,536,1,1,10,1,2,2,3,998,98,3,0
1,79.91,1,,19D,19,D,2,1,82,12,13,5,2FABP0642C,1,U,1,D,40,U,1,1,2,2,21,0,0,0,0,0,0,998,998,1,17,-17,0,244,2,1,17,1,2,2,3,998,98,3,0
8.1,647.271,1,,20E,20,E,2,1,88,12,477,30,9999999999,1,U,0,C,0,1,2,1,2,2,27,0,0,0,0,0,0,998,998,6,U,U,U,U,0,2,U,0,1,8,4,998,98,1,1
1.6,127.856,1,,21C,21,C,2,1,87,20,470,14,1GNCT18R5H,1,U,0,C,45,U,64,1,1,1,31,0,0,0,0,0,0,28,270,1,19,-10,-17,255,1,1,17,0,1,8,3,27,2,2,0
1.6,127.856,1,,21C,21,C,2,2,87,6,17,2,3C3CJ41K5H,1,U,0,C,45,4,65,1,2,2,27,0,0,0,0,0,0,270,28,1,22,-19,11,962,1,1,17,0,2,2,4,31,14,1,0
1.6,127.856,1,,21C,21,C,2,3,85,49,U,4,9999999999,0,U,0,C,45,U,98,1,2,0,U,0,0,0,0,0,0,271,23,6,U,U,U,U,0,0,U,N,N,U,N,N,N,N,U
8.1,647.271,1,,22E,22,E,2,1,88,20,473,31,1GCDK14K1J,1,U,0,C,30,7,65,1,1,1,42,0,0,0,0,0,0,30,170,5,U,U,U,U,0,1,17,0,1,8,4,35,2,1,2
8.1,647.271,1,,22E,22,E,2,2,76,20,9,2,1Q87D6N500,1,U,1,16,30,9,64,1,3,3,35,0,0,0,0,0,0,170,30,5,U,U,U,U,0,2,13,0,3,1,5,42,31,1,0
10.8,863.028,1,,23F,23,F,2,1,79,20,2,4,1L69L91100,1,U,0,C,35,8,83,1,1,1,37,0,0,0,0,0,0,346,255,3,13,-12,-4,282,1,1,13,0,1,1,4,37,4,1,0
10.8,863.028,1,,23F,23,F,2,2,89,12,16,4,2FABP73F7K,1,U,0,C,35,1,82,1,1,1,37,0,0,0,0,0,0,255,346,3,12,-4,12,189,1,2,17,0,0,1,0,37,4,0,0
30,2397.3,1,,24G,24,G,2,1,86,9,U,6,9999999999,0,U,0,C,35,U,68,1,2,0,U,0,0,0,0,0,0,122,12,6,U,U,U,U,0,0,U,N,N,U,N,N,N,N,U
30,2397.3,1,,24G,24,G,2,2,89,12,13,3,1FAPP9199K,1,U,0,C,35,1,69,1,4,4,23,0,0,0,0,0,0,12,122,6,U,U,U,U,0,2,17,0,0,2,0,U,6,0,0
1.6,127.856,1,,25C,25,C,2,1,86,14,15,2,1MEBP72SXG,1,U,1,3,40,U,1,1,1,1,24,0,0,1,0,0,0,998,998,1,20,-19,4,330,1,1,17,0,1,2,4,998,98,2,U
16.2,1294.542,1,,26E,26,E,2,1,87,18,12,2,1G4JT1112H,1,U,0,C,35,U,86,1,1,1,23,0,0,0,0,0,0,180,288,4,U,U,U,U,0,1,17,0,1,2,3,N,69,2,U
16.2,1294.542,1,,26E,26,E,2,2,79,U,U,69,9999999999,0,U,0,C,35,U,87,,,,,,,,,,,,,,,,,,,,U,N,N,8,N,N,N,N,
1.6,127.856,1,,28C,28,C,2,1,77,20,473,31,CCV1471100,1,U,0,C,55,1,64,1,1,1,39,0,0,0,0,0,0,189,96,5,U,U,U,U,0,1,13,0,0,8,0,24,4,0,4
1.6,127.856,1,,28C,28,C,2,2,88,9,11,4,1P3BP46D3J,1,U,0,C,55,U,65,1,3,3,24,0,0,0,0,0,0,96,189,5,U,U,U,U,0,1,17,0,1,2,4,39,31,1,U
9.8,783.118,1,0,29F,29,F,2,1,65,12,3,2,5707A15400,1,U,0,C,55,1,22,1,3,3,29,0,0,0,0,0,0,335,0,6,U,U,U,U,0,1,11,0,3,1,4,U,9,1,0
9.8,783.118,1,0,29F,29,F,2,2,89,18,U,9,9999999999,0,U,0,C,55,U,20,1,1,0,U,0,0,0,0,0,0,0,335,6,U,U,U,U,0,0,U,N,N,U,N,N,N,N,U
2,159.82,1,,30D,30,D,2,1,86,7,7,4,1B3BG26P5G,1,U,0,C,55,U,82,1,2,2,36,0,0,0,0,0,0,312,44,1,12,-6,11,324,1,1,17,0,2,1,4,19,4,1,U
2,159.82,1,,30D,30,D,2,2,81,49,38,4,JT2AL21E6B,1,U,0,C,55,4,83,1,3,3,19,0,0,0,0,0,0,44,312,1,20,-17,-10,395,1,1,17,2,3,2,3,36,4,4,U
1,79.91,1,0,31B,31,B,2,1,82,7,12,2,1B3BV41B2C,1,U,1,U,55,U,2,1,2,2,25,0,1,0,0,0,0,998,998,5,U,U,U,U,0,1,17,2,2,2,1,998,98,4,U
6.7,535.397,1,0,32E,32,E,2,1,85,22,U,9,9999999999,0,U,0,C,40,U,78,1,2,0,U,0,0,0,0,0,0,67,180,6,U,U,U,U,0,0,U,N,N,U,N,N,N,N,U
