PSU,CASEID,CASENO,STRATIF,RECNO,VERSION,VEHNO,HITRUN,OCCFORMS,VEHROLE,TOWAWAY,MODELYR,MAKE,MODEL,REGISTRA,VIN,BODYTYPE,TOWHITCH,SEATCAP,TCAXLE1,TCAXLE2,TCAXLE3,TCAXLE4,TCTIRE1,TCTIRE2,TCTIRE3,TCTIRE4,TCCOND1,TCCOND2,TCCOND3,TCCOND4,LMIRROR,RMIRROR,OVERRIDE,REARTURN,CABCONF,AXLESP,AXLEST1,AXLEST2,AXLEST3,TRAILER1,TRAILER2,TRAILER3,MAXWIDTH,MAXLEN,BRAKETY,GVWR,VEHSEQ1,VEHSEQ2,OBJCONT1,OBJCONT2,DOF1,DOF2,GAD1,GAD2,SHL1,SHL2,SVL1,SVL2,TDD1,TDD2,EXTENT1,EXTENT2,ACCSEQ1,ACCSEQ2,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,SDVL,SDVC1,SDVC2,SDVC3,SDVC4,SDVC5,SDVC6,SDVD,DOCCDC,SPECUSE,ODOMETER,PCINTEG,DPCOMPNT,DPINTRSN,DOCOMPNT,DOINTRSN,PPCOMPNT,PPINTRSN,POCOMPNT,POINTRSN,STEERSEP,STEERDEF,FIRE,IMPTYPE,OTHROLE,ROLLOVER,JACKNIFE,HAZCARGO,CURBWGT,CARGOWGT,SOURCWGT,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,TRAVELSP,VINLNGTH,VINJSER,VINJURED,VTREAT,DRIVE,OTVEHWGT,OTBDYTYP,VAIS,WHEELSHT,WHEELLNG
58,220C,220,C,3,9,1,0,2,2,2,84,12,15,N,1FABP22R8E,4,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,2,,90,,L,,Y,,A,,W,,04,,1,,69,2,8,14,18,20,2,6,,,,,,,,,1,N,46,3,7,4,97,3,0,0,0,0,1,1,0,2,1,0,0,N,24,0,0,1,22,-11,19,609,5,17,1,2,3,2,24,50,3,U,U
58,220C,220,C,3,9,2,0,1,1,2,79,49,78,N,RN4,50,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,12,,F,,D,,E,,W,,02,,1,,58,15,10,7,5,4,5,0,,,,,,,,,1,N,62,1,1,2,0,0,0,0,0,0,1,0,0,1,2,0,0,N,24,0,0,1,23,-23,-4,358,35,10,0,0,0,8,24,4,0,U,U
58,221D,221,D,3,9,1,0,1,1,1,79,20,88,N,9999999999,71,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U,N,N,N,N,N,N,N,N,N,N,N,N,N,1,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,N,U,U,U,U,U,U,U,U,U,U,U,U,0,4,1,0,0,N,U,U,U,6,U,U,U,U,55,17,0,0,U,8,26,4,0,U,U
58,221D,221,D,3,9,2,0,1,2,2,87,22,18,N,1GZNW51L0H,4,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,12,,F,,D,,M,,W,,01,,1,,,,,,,,,,,,,,,,,,1,N,U,1,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,N,26,0,0,6,U,U,U,U,55,17,0,0,0,2,U,71,0,U,U
58,222B,222,B,3,9,1,0,1,1,1,82,86,84,N,9999999999,75,U,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U,N,N,N,N,N,N,N,N,N,N,N,N,N,1,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,N,U,U,U,U,U,U,U,U,U,U,U,U,0,1,2,0,1,N,U,U,U,6,U,U,U,U,45,17,0,0,U,8,32,40,0,U,U
58,222B,222,B,3,9,2,0,1,2,2,86,12,72,N,1FMCA11S8G,40,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,10,,L,,D,,A,,W,,03,,1,,169,0,1,1,10,8,0,-2,,,,,,,,,1,N,51,7,7,3,97,2,4,2,0,0,1,0,0,2,1,0,0,N,32,0,0,6,U,U,U,U,25,17,1,1,3,8,U,75,3,U,U
58,223C,223,C,3,9,1,0,1,2,2,68,21,1,N,336678,1,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,5,3,R,R,Y,B,E,E,W,N,02,01,1,2,70,0,0,3,6,2,0,57,,,,,,,,,1,N,245,1,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,N,35,0,0,3,8,6,-5,82,20,13,0,0,0,1,21,3,0,116.0,U
58,223C,223,C,3,9,2,0,3,1,1,85,12,13,N,1FABP319SF,3,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,U,U,9,9,9,9,9,9,9,9,99,99,1,2,,,,,,,,,,,,,,,,,1,N,U,U,U,U,U,U,U,U,U,U,U,U,0,1,2,0,0,N,21,0,0,3,13,-13,3,242,35,17,0,1,4,2,35,1,1,U,U
58,224D,224,D,3,9,1,0,3,1,1,81,49,32,N,JT2TE72D3B,2,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,2,,U,,9,,9,,9,,9,,99,,1,,,,,,,,,,,,,,,,,,1,N,U,U,U,U,U,U,U,U,U,U,U,U,0,1,2,0,0,N,22,0,0,3,6,-4,-4,46,5,17,0,0,0,1,22,5,0,U,U
58,224D,224,D,3,9,2,0,1,3,2,86,12,13,N,1FABP3695G,5,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,2,1,69,1,0,10,T,L,D,P,Y,E,O,W,03,02,2,1,,,,,,,,,46,0,1,1,3,2,0,-10,1,N,8,1,8,2,23,1,8,2,23,1,1,0,0,5,6,2,0,N,22,0,0,7,U,U,U,U,35,17,0,0,0,2,998,98,0,U,U
58,225B,225,B,3,9,1,0,2,1,1,78,20,2,N,1N47U8,4,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,2,,U,,9,,9,,9,,9,,99,,1,,,,,,,,,,,,,,,,,,1,N,U,U,U,U,U,U,U,U,U,U,U,U,0,1,3,0,0,N,38,0,0,3,11,-11,0,245,40,13,0,0,0,1,23,3,0,U,U
58,225B,225,B,3,9,2,0,1,2,2,85,22,12,N,1G2JB770XF,3,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,6,,B,,Y,,E,,W,,01,,1,,58,7,7,7,4,1,0,0,,,,,,,,,1,N,33,7,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,N,23,0,0,3,18,18,0,204,0,17,0,1,4,1,38,4,1,U,U
58,226C,226,C,3,9,1,0,2,1,2,86,49,78,N,JT4RN50R4G,50,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,2,,12,,F,,D,,E,,W,,02,,1,,59,13,10,9,9,9,3,0,,,,,,,,,1,N,18,1,1,1,0,0,0,0,0,0,2,0,0,1,3,0,0,N,28,0,0,8,U,U,U,U,35,17,0,0,0,8,33,4,0,U,U
58,226C,226,C,3,9,2,0,2,2,U,86,19,3,N,1G6CD6987G,4,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,U,,9,,9,,9,,9,,99,,1,,,,,,,,,,,,,,,,,,1,N,U,U,U,U,U,U,U,U,U,U,U,U,0,4,1,0,0,N,33,U,U,8,U,U,U,U,0,17,0,1,U,1,28,50,7,U,U
58,227B,227,B,3,9,1,0,3,1,2,85,7,72,N,2B6FK13G3F,40,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,2,,1,,F,,R,,E,,E,,06,,1,,66,2,1,2,2,3,6,0,,,,,,,,,1,N,17,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,N,40,1,2,1,12,-9,-8,189,15,17,0,3,4,8,28,4,1,U,U
58,227B,227,B,3,9,2,0,1,1,2,82,21,17,N,1G3AJ19R6C,4,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,11,,F,,D,,E,,W,,02,,1,,61,8,11,15,20,11,6,0,,,,,,,,,1,N,111,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,N,28,0,0,1,18,-17,6,564,45,17,0,1,U,2,40,40,7,U,U
58,228C,228,C,3,9,1,0,1,2,2,71,30,32,N,111,2,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,2,,2,,R,,Y,,E,,W,,04,,1,,111,0,4,8,8,4,0,-3,,,,,,,,,1,N,239,8,11,0,98,1,7,2,23,2,1,1,0,3,1,0,0,N,18,0,0,1,23,-15,-18,146,45,10,0,1,0,1,27,4,2,94.5,95.3
58,228C,228,C,3,9,2,0,3,1,2,86,21,17,N,1G3AM19R5G,4,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,71,,F,,D,,E,,W,,04,,1,,63,11,12,11,11,11,14,0,,,,,,,,,1,N,8,1,1,1,0,0,0,0,0,0,1,0,0,1,2,0,0,N,27,0,0,1,15,-11,10,727,45,17,0,3,U,2,18,2,7,U,U
58,229D,229,D,3,9,1,0,1,1,2,86,41,37,N,JM1GC2216G,4,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,71,1,0,F,U,R,F,E,D,E,W,05,02,1,3,58,1,1,2,3,4,6,0,,,,,,,,,2,N,43,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,N,24,0,0,1,12,-12,-4,159,20,17,0,1,6,2,20,3,1,U,U
58,229D,229,D,3,9,2,0,2,1,2,81,12,13,N,1FABP052XB,3,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,12,3,F,R,Z,B,E,E,W,W,01,01,1,2,59,0,0,3,5,6,8,0,,,,,,,,,1,N,88,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,N,20,0,0,1,14,-14,2,177,20,17,0,0,0,2,24,4,0,U,U
58,230A,230,A,3,9,1,0,1,1,2,72,12,10,N,2A35,2,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,2,1,69,52,0,U,T,9,D,9,D,9,O,9,03,99,2,1,,,,,,,,,,,,,,,,,1,N,115,7,8,3,97,2,0,0,0,0,1,1,0,5,6,4,0,N,37,0,0,7,U,U,U,U,75,11,1,1,1,1,998,98,7,U,U
58,231C,231,C,3,9,1,0,1,1,2,85,35,77,N,1N6ND06S4F,51,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,3,2,33,32,12,12,F,R,Y,D,E,E,W,S,02,01,3,2,61,3,9,10,3,2,2,0,,,,,,,,,2,N,45,1,1,0,0,0,0,0,0,0,U,1,0,1,6,0,0,N,31,2,2,1,16,-16,0,288,35,17,0,1,4,8,998,98,1,U,U
58,232B,232,B,3,9,1,0,2,3,2,79,14,3,N,9F14,3,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,49,89,0,L,U,D,F,A,D,W,W,03,02,1,2,,,,,,,,,,,,,,,,,1,N,56,7,7,3,21,3,11,0,98,2,1,0,0,2,1,0,0,N,28,0,0,8,U,U,U,U,10,11,1,2,3,1,40,2,3,100.8,U
58,232B,232,B,3,9,2,0,3,1,2,74,21,1,N,3J57K4,2,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,U,,9,,9,,9,,9,,99,,1,,,,,,,,,,,,,,,,,,1,N,U,U,U,U,U,U,U,U,U,U,U,U,0,1,2,0,0,N,40,U,U,8,U,U,U,U,45,13,0,3,5,1,28,3,7,112.0,116.0
58,233C,233,C,3,9,1,0,3,1,2,73,21,3,N,3V39U3,4,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,2,,U,,9,,9,,9,,9,,99,,1,,,,,,,,,,,,,,,,,,1,N,179,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,N,47,0,0,3,25,-24,9,1367,10,13,0,2,4,1,36,2,1,127.0,U
58,233C,233,C,3,9,2,0,1,3,2,83,18,2,N,1G4AN3742D,2,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,62,6,R,B,Y,Z,E,E,W,W,04,01,1,2,76,5,21,28,25,18,12,10,,,,,,,,,1,N,75,8,3,2,98,2,7,4,97,3,1,0,0,3,1,0,0,N,36,0,0,3,33,-11,-31,1003,45,17,0,1,4,1,47,4,1,U,U
58,233C,233,C,3,9,3,0,1,2,1,85,20,70,N,1G8CS18B8F,56,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,2,,U,,9,,9,,9,,9,,99,,2,,,,,,,,,,,,,,,,,,1,N,U,U,U,U,U,U,U,U,U,U,U,U,0,2,3,0,0,N,29,U,U,8,U,U,U,U,10,17,0,0,0,8,36,2,0,U,U
58,234D,234,D,3,9,1,0,1,2,2,87,34,35,N,WBAAB6407H,2,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,2,,10,,L,,Y,,A,,W,,03,,1,,96,0,1,2,7,8,2,29,,,,,,,,,1,N,6,1,7,2,22,1,0,0,0,0,1,0,0,2,1,0,0,N,27,0,0,1,15,-8,13,101,30,17,0,1,0,1,39,40,1,U,U
58,234D,234,D,3,9,2,0,1,1,2,76,20,74,N,CGL256,40,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,1,,F,,Z,,E,,W,,03,,1,,75,0,0,0,3,4,14,0,,,,,,,,,1,N,167,1,1,1,0,0,0,0,0,0,1,1,0,1,2,0,0,N,39,12,2,1,8,-7,-4,254,25,13,0,1,0,8,27,2,1,U,U
