PSUWGT,NATWGT,RATWGT,PSU,AOPSVEH,CASEID,CASENO,STRATIF,VERSION,VEHNO,MODELYR,MAKE,MODEL,BODYTYPE,VIN,TOWPAR,TRAVELSP,DRINKDRG,ALCTEST,SPLIMIT,MANEUVER,ACCTYPE,DRPRES,OCUPANTS,OCCFORMS,CURBWGT,TOWHITCH,DOCTRAJ,CONDTREE,ROLLOVER,FOVERIDE,ROVERIDE,ANGTHIS,ANGOTHER,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVCONFID,INSPTYPE,VINLNGTH,VINJSER,VINJURED,DRIVE,VTREAT,OTVEHWGT,OTBDYTYP,VAIS,CARGOWGT
16.000,1278.56,1791.8635279,1,0,27H,27,H,3,1,77,12,11,4,7E81L26400,1,U,0,C,40,U,4,1,1,1,33,0,1,2,0,0,0,998,998,5,U,U,U,U,0,1,11,0,0,1,0,998,98,0,U
2.000,159.82,212.80507259,1,0,28E,28,E,3,1,87,19,3,4,1G6DW51Y2H,1,U,0,C,35,9,7,1,1,1,40,0,0,0,0,0,0,998,998,5,U,U,U,U,0,1,17,0,1,2,3,998,98,2,0
2.000,159.82,193.61375748,1,0,29F,29,F,3,1,83,9,13,10,1P7EM44CXD,1,U,1,C,35,U,1,1,1,1,23,0,0,1,0,0,0,998,998,5,U,U,U,U,0,1,17,0,1,2,4,998,98,1,U
18.000,1438.38,1973.4980356,1,0,30G,30,G,3,1,87,49,32,4,JT2AE82E0H,1,U,0,C,30,1,87,1,1,1,21,0,0,0,0,0,0,77,354,6,U,U,U,U,0,1,17,0,0,2,0,U,2,0,0
18.000,1438.38,1973.4980356,1,0,30G,30,G,3,2,88,35,U,2,9999999999,1,U,0,C,30,2,86,1,2,2,U,0,0,0,0,0,0,354,77,6,U,U,U,U,0,2,U,0,0,U,0,21,4,0,0
16.000,1278.56,1791.8635279,1,0,31H,31,H,3,1,84,20,U,31,9999999999,1,U,0,C,35,3,98,1,1,1,U,0,0,0,0,U,0,327,326,6,U,U,U,U,0,0,U,0,0,8,0,N,N,0,U
16.000,1278.56,1791.8635279,1,0,31H,31,H,3,2,86,12,3,2,1FABP26A2G,0,0,0,C,35,1,98,1,1,0,27,0,0,0,0,0,U,326,326,6,U,U,U,U,0,2,17,N,N,1,N,20,4,N,0
16.000,1278.56,1791.8635279,1,0,31H,31,H,3,3,85,46,39,4,1XMDM9537F,0,0,0,C,35,1,98,1,2,0,20,0,0,0,0,0,0,326,326,6,U,U,U,U,0,1,17,N,N,2,N,27,2,N,0
2.000,159.82,212.80507259,1,1,32E,32,E,3,1,90,9,17,4,1P3XP48D5L,1,U,0,C,35,U,82,1,1,1,25,0,1,0,0,0,0,125,223,1,18,-6,17,221,1,1,17,0,0,2,4,45,4,0,0
2.000,159.82,212.80507259,1,0,32E,32,E,3,2,75,9,4,4,P43K5D1100,1,U,0,C,35,3,83,1,1,1,45,0,1,0,0,0,0,223,125,1,10,-10,-4,403,1,1,12,0,0,1,0,25,4,0,0
4.000,319.64,387.22751496,1,0,33F,33,F,3,1,80,20,15,5,1X687AT200,1,U,0,C,55,7,9,1,1,1,25,0,1,0,4,0,0,997,997,5,U,U,U,U,0,1,13,0,0,2,4,998,98,0,0
4.000,319.64,425.61014518,1,1,34E,34,E,3,1,90,41,44,2,1YVGD31B0L,1,U,0,C,45,8,32,1,1,1,26,0,0,0,0,0,0,277,277,1,11,-11,0,76,1,1,17,0,0,2,0,27,4,0,0
4.000,319.64,425.61014518,1,0,34E,34,E,3,2,86,20,17,4,2G1AW19R1G,1,U,0,C,45,U,32,1,2,2,27,0,0,0,0,0,0,277,277,1,10,10,0,178,1,1,17,0,2,2,4,26,2,1,U
6.000,479.46,657.83267853,1,0,35G,35,G,3,1,89,37,33,2,JHMBA4130K,1,U,1,23,30,7,6,1,1,1,25,0,0,0,0,0,0,998,998,5,U,U,U,U,0,1,17,0,1,2,6,998,98,1,0
2.500,199.775,272.42370801,1,0,36C,36,C,3,1,89,20,470,14,1GNCT18Z2K,1,45,0,C,30,3,14,1,2,2,34,0,1,1,0,0,0,998,998,1,20,-20,1,685,1,1,17,0,2,8,4,998,98,1,0
6.000,479.46,580.84127244,1,0,37F,37,F,3,1,81,20,473,31,2GCGK24M7B,0,U,0,C,40,U,28,1,1,0,43,0,0,0,0,0,0,354,347,5,U,U,U,U,0,1,17,N,N,8,N,30,4,N,2
6.000,479.46,580.84127244,1,0,37F,37,F,3,2,85,12,6,4,1FABP3939F,1,U,0,C,40,1,29,1,1,1,30,0,0,0,0,0,1,347,354,5,U,U,U,U,0,1,17,0,1,1,4,43,31,1,0
4.000,319.64,387.22751496,1,0,38F,38,F,3,1,85,22,17,6,2G2AG35R9F,1,U,0,C,40,U,51,1,3,3,30,0,0,0,0,4,0,313,118,1,13,-13,2,290,1,1,17,0,3,2,6,26,5,1,0
4.000,319.64,387.22751496,1,0,38F,38,F,3,2,88,9,8,5,1P3BM18D9J,1,U,0,C,40,1,50,1,1,1,26,0,0,0,0,1,0,118,313,1,17,-13,-11,178,1,1,17,0,1,2,4,30,6,1,0
6.000,479.46,580.84127244,1,0,39F,39,F,3,1,85,22,18,2,1G2NE27U2F,1,U,0,C,40,9,28,1,3,3,25,0,0,0,0,0,0,171,178,1,8,-8,0,123,1,1,17,0,0,2,0,18,5,0,0
6.000,479.46,580.84127244,1,1,39F,39,F,3,2,80,30,36,5,17A0914600,1,U,0,C,40,1,29,1,2,2,18,0,0,0,0,0,0,178,171,1,11,11,-2,88,1,1,10,0,1,2,4,25,2,1,0
6.000,479.46,580.84127244,1,0,40F,40,F,3,1,87,6,35,3,JJECC54N5H,0,0,0,C,30,U,21,1,2,0,23,0,0,0,0,0,1,296,290,5,U,U,U,U,0,2,17,N,N,1,N,20,2,N,0
6.000,479.46,580.84127244,1,0,40F,40,F,3,2,84,46,39,2,1XMDC9600E,1,U,0,C,30,8,20,1,1,1,20,0,0,0,0,4,0,290,296,5,U,U,U,U,0,1,17,0,1,2,4,23,3,1,0
10.000,799.1,1064.0253629,1,0,41E,41,E,3,1,79,22,2,2,2L37A9P200,0,0,0,C,40,1,98,1,1,0,36,0,0,0,0,0,1,199,198,5,U,U,U,U,0,2,13,N,N,1,N,33,4,N,U
10.000,799.1,1064.0253629,1,1,41E,41,E,3,2,87,22,2,4,1G2HX543XH,1,U,0,C,40,1,21,1,1,1,33,0,0,0,0,5,1,198,200,5,U,U,U,U,0,2,17,0,1,1,4,27,3,1,0
10.000,799.1,1064.0253629,1,0,41E,41,E,3,3,89,12,18,3,1ZVBT21C1K,1,U,0,C,40,3,20,1,1,1,27,0,1,0,0,4,0,200,198,5,U,U,U,U,0,2,17,0,0,2,0,33,4,0,U
6.000,479.46,657.83267853,1,0,42G,42,G,3,1,87,7,11,4,1B3BD36D2H,1,U,0,C,40,4,20,1,1,1,24,0,0,0,0,0,0,271,270,1,22,-22,2,330,1,1,17,0,0,2,0,43,6,0,0
6.000,479.46,657.83267853,1,0,42G,42,G,3,2,89,18,3,6,1G4BR81Y6K,0,0,0,C,40,1,21,1,6,0,43,0,0,0,0,0,0,270,271,1,12,12,0,335,1,2,17,N,N,1,N,24,4,N,U
24.000,1917.84,2687.7952919,1,0,43H,43,H,3,1,80,21,1,2,3R47AAZ400,1,U,0,C,45,1,3,1,1,1,33,0,1,0,0,0,0,998,998,5,U,U,U,U,0,1,13,0,1,1,0,998,98,1,0
6.000,479.46,638.41521776,1,0,44E,44,E,3,1,83,14,4,2,1MEBP9234D,1,U,0,C,45,1,83,1,1,1,31,0,0,0,0,0,0,333,244,1,20,-17,-11,1073,1,1,17,0,1,1,4,32,3,2,0
6.000,479.46,638.41521776,1,1,44E,44,E,3,2,90,22,9,3,1G2FS23T8L,1,U,0,C,45,1,82,1,1,1,32,0,1,0,0,0,0,244,333,1,19,-10,17,279,1,1,17,0,1,1,4,31,2,1,0
2.000,159.82,193.61375748,1,0,45F,45,F,3,1,68,20,1,4,133698B100,1,U,0,C,40,4,69,1,1,1,32,0,0,0,0,0,0,276,29,4,U,U,U,U,0,1,13,0,1,1,4,N,65,1,0
2.000,159.82,193.61375748,1,0,45F,45,F,3,2,90,84,898,65,1HSSCZWN6L,0,U,0,C,40,U,68,,,,,,,,,,,,,,,,,,,,17,N,N,8,N,N,N,N,
2.000,159.82,193.61375748,1,0,46F,46,F,3,1,84,14,15,2,2MEBP72R8E,1,U,0,C,30,1,89,1,1,1,24,0,0,0,0,0,0,210,292,1,12,-4,12,125,1,1,17,0,1,2,4,25,5,1,0
