PSU,CASEID,CASENO,STRATIF,AOPSCASE,VERSION,VEHFORMS,MONTH,YEAR,TIME,EVENTS,ATREAT,AAIS,ALCDRUG,AINJSER,AINJURED,DAYWEEK,PSUWGT,NATWGT
1,89E,89,E,0,2,2,12,89,2358,1,3,2,2,0,3,6,4.5,359.595
1,92E,92,E,0,2,1,12,89,500,1,3,1,2,0,1,3,6,479.46
1,93G,93,G,0,2,2,12,89,1055,1,0,0,2,0,0,6,24,1917.84
1,94E,94,E,0,2,2,12,89,1135,2,4,2,2,0,3,3,4.5,359.595
1,95F,95,F,0,2,1,12,89,1928,1,4,1,2,0,1,1,6.45,515.4195
1,96D,96,D,0,2,2,12,89,1530,3,3,2,2,0,3,6,1.5,119.865
1,97G,97,G,0,2,1,12,89,1440,1,0,0,2,0,0,1,18,1438.38
2,1F,1,F,0,2,2,1,89,1445,2,4,0,2,0,0,5,16.3,399.676
2,3H,3,H,0,2,1,1,89,1000,1,0,0,2,0,0,1,55,1348.6
2,4D,4,D,0,2,1,1,89,1415,2,4,2,2,0,1,4,2.31,56.6412
2,5F,5,F,0,2,2,1,89,2010,1,4,1,2,0,2,6,16.3,399.676
2,6F,6,F,0,2,1,1,89,2245,4,0,1,1,0,1,3,16.3,399.676
2,7C,7,C,0,2,1,1,89,1715,1,3,3,2,1,1,6,2.6775,65.6523
2,8D,8,D,0,2,2,1,89,2200,3,3,3,2,1,2,7,4.0425,99.1221
2,9F,9,F,0,2,3,1,89,2121,3,4,1,U,0,3,7,28.525,699.433
2,10H,10,H,0,2,1,1,89,2122,1,0,0,2,0,0,7,96.25,2360.05
2,11D,11,D,0,2,2,1,89,1915,3,4,1,2,0,2,6,2.31,56.6412
2,12E,12,E,0,2,2,1,89,1005,3,4,1,2,0,1,5,12.8,313.856
2,13D,13,D,0,2,1,1,89,418,1,4,2,1,0,2,1,2.31,56.6412
2,14D,14,D,0,2,1,1,89,317,2,3,2,1,0,1,7,2.31,56.6412
2,15E,15,E,0,2,1,1,89,1130,1,U,7,2,0,1,7,12.8,313.856
2,16C,16,C,0,2,1,1,89,400,2,3,2,2,0,1,4,1.53,37.5156
