PSU,CASEID,CASENO,STRATIF,VERSION,ACCSEQ,VEHNUM,CLASS1,GADEV1,OBJCONT,CLASS2,GADEV2,NATWGT,PSUWGT,RATWGT
6,42C,42,C,3,1,1,2,T,31,0,N,23.135191612,4.840,18.734669872
6,43F,43,F,3,1,1,1,F,71,0,0,156.78394165,32.800,128.74731647
6,44E,44,E,3,1,1,22,L,2,9,F,156.54499316,32.750,118.66124666
6,44E,44,E,3,2,2,9,U,71,0,0,156.54499316,32.750,118.66124666
6,45H,45,H,3,1,1,5,F,2,1,B,836.5,175.000,751.80516713
6,45H,45,H,3,2,1,5,B,3,5,F,836.5,175.000,751.80516713
6,45H,45,H,3,3,3,5,U,71,0,0,836.5,175.000,751.80516713
6,46C,46,C,3,1,1,4,F,2,1,L,23.135191612,4.840,18.734669872
6,47E,47,E,3,1,1,3,F,2,3,R,125.23599453,26.200,94.92899733
6,48C,48,C,3,1,1,1,R,31,0,N,23.135191612,4.840,18.734669872
6,49E,49,E,3,1,1,4,L,2,18,F,125.23599453,26.200,94.92899733
6,49E,49,E,3,2,1,4,F,71,0,0,125.23599453,26.200,94.92899733
6,49E,49,E,3,3,1,4,F,43,0,0,125.23599453,26.200,94.92899733
6,49E,49,E,3,4,1,4,F,58,0,0,125.23599453,26.200,94.92899733
6,50D,50,D,3,1,1,2,F,2,1,L,34.702791977,7.260,29.920680231
6,51E,51,E,3,1,1,3,F,2,5,L,125.23599453,26.200,94.92899733
6,51E,51,E,3,2,1,3,R,2,5,L,125.23599453,26.200,94.92899733
6,51E,51,E,3,3,1,3,F,57,0,0,125.23599453,26.200,94.92899733
6,52E,52,E,3,1,1,1,F,2,1,B,156.54499316,32.750,118.66124666
6,52E,52,E,3,2,2,1,F,3,2,F,156.54499316,32.750,118.66124666
6,52E,52,E,3,3,3,2,F,4,2,L,156.54499316,32.750,118.66124666
6,53G,53,G,3,1,1,1,F,2,22,B,621.4,130.000,555.84030727
6,54E,54,E,3,1,1,4,F,2,15,B,250.47198906,52.400,189.85799466
6,55G,55,G,3,1,1,4,F,54,0,0,994.24,208.000,889.34449163
6,56C,56,C,3,1,1,5,F,2,2,R,11.567595806,2.420,9.367334936
6,57E,57,E,3,1,1,9,F,2,2,B,62.617997265,13.100,47.464498665
6,58C,58,C,3,1,1,13,F,45,0,0,11.567595806,2.420,9.367334936
6,58C,58,C,3,2,1,13,F,42,0,0,11.567595806,2.420,9.367334936
6,59F,59,F,3,1,1,3,L,2,2,F,78.391970825,16.400,64.373658235
6,59F,59,F,3,2,1,3,L,2,2,R,78.391970825,16.400,64.373658235
6,59F,59,F,3,3,2,2,9,71,0,0,78.391970825,16.400,64.373658235
6,60E,60,E,3,1,1,22,F,54,0,0,250.47198906,52.400,189.85799466
6,60E,60,E,3,2,1,22,F,2,13,B,250.47198906,52.400,189.85799466
6,60E,60,E,3,3,2,13,F,54,0,0,250.47198906,52.400,189.85799466
6,61F,61,F,3,1,1,3,F,71,0,0,313.5678833,65.600,257.49463294
6,62D,62,D,3,1,1,15,R,63,0,0,17.351395988,3.630,14.960340115
6,62D,62,D,3,2,1,15,R,63,0,0,17.351395988,3.630,14.960340115
6,62D,62,D,3,3,1,15,T,31,0,N,17.351395988,3.630,14.960340115
6,63F,63,F,3,1,1,3,F,72,0,0,78.391970825,16.400,64.373658235
6,63F,63,F,3,2,1,3,F,59,0,0,78.391970825,16.400,64.373658235
6,64C,64,C,3,1,1,3,F,2,4,L,40.486585321,8.470,32.785672276
6,64C,64,C,3,2,2,4,R,71,0,0,40.486585321,8.470,32.785672276
6,64C,64,C,3,3,2,4,R,71,0,0,40.486585321,8.470,32.785672276
6,64C,64,C,3,4,1,3,U,71,0,0,40.486585321,8.470,32.785672276
6,65F,65,F,3,1,1,1,F,54,0,0,274.37189789,57.400,225.30780382
6,65F,65,F,3,2,1,1,R,54,0,0,274.37189789,57.400,225.30780382
6,67F,67,F,3,1,1,1,F,2,1,F,235.17591248,49.200,193.12097471
6,68C,68,C,3,1,1,1,F,2,13,B,17.351393709,3.630,14.051002404
6,69E,69,E,3,1,1,2,F,42,0,0,93.926995897,19.650,71.196747998
6,70C,70,C,3,1,1,1,L,2,3,F,18.114606667,3.790,14.669045385
6,70C,70,C,3,2,1,1,L,2,3,R,18.114606667,3.790,14.669045385
6,70C,70,C,3,3,1,1,F,51,0,0,18.114606667,3.790,14.669045385
6,71D,71,D,3,1,1,3,F,54,0,0,27.17191,5.684,23.427568333
6,71D,71,D,3,2,1,3,R,31,0,N,27.17191,5.684,23.427568333
6,72E,72,E,3,1,1,1,F,2,5,R,116.45104286,24.362,88.269996002
6,72E,72,E,3,2,1,1,L,2,5,R,116.45104286,24.362,88.269996002
6,73F,73,F,3,1,1,1,9,31,0,N,203.789325,42.634,167.34704105
6,74C,74,C,3,1,1,2,F,2,22,L,23.449883333,4.906,18.989504394
6,75D,75,D,3,1,1,3,F,52,0,0,35.174825,7.359,30.327666192
6,76D,76,D,3,1,1,2,F,64,0,0,35.174825,7.359,30.327666192
6,78C,78,C,3,1,1,1,L,2,1,F,25.648948889,5.366,20.770287882
6,78C,78,C,3,2,1,1,L,2,1,R,25.648948889,5.366,20.770287882
6,78C,78,C,3,3,1,1,R,51,0,0,25.648948889,5.366,20.770287882
6,79D,79,D,3,1,1,3,F,42,0,0,38.473423333,8.049,33.171711305
6,80E,80,E,3,1,1,15,9,2,1,9,164.8861,34.495,124.9838132
6,81F,81,F,3,1,1,4,F,2,2,F,288.550675,60.366,236.95108492
6,82A,82,A,3,1,1,2,F,42,0,0,34.416,7.200,33.790490099
6,82A,82,A,3,2,1,2,L,31,0,N,34.416,7.200,33.790490099
6,83E,83,E,3,1,1,1,L,2,15,F,142.18906667,29.747,107.77944137
6,83E,83,E,3,2,1,1,L,2,15,R,142.18906667,29.747,107.77944137
6,83E,83,E,3,3,2,15,9,72,0,0,142.18906667,29.747,107.77944137
6,83E,83,E,3,4,1,1,U,59,0,0,142.18906667,29.747,107.77944137
6,84E,84,E,3,1,1,1,L,2,1,F,142.18906667,29.747,107.77944137
6,85F,85,F,3,1,1,4,F,52,0,0,248.83086667,52.057,204.33410464
6,86D,86,D,3,1,1,2,F,2,4,B,41.030723333,8.584,35.376610427
6,87E,87,E,3,1,1,2,F,2,1,R,175.84595714,36.788,133.29139485
6,87E,87,E,3,2,1,2,R,2,1,L,175.84595714,36.788,133.29139485
6,88E,88,E,3,1,1,2,F,2,2,B,175.84595714,36.788,133.29139485
6,88E,88,E,3,2,1,2,B,3,14,F,175.84595714,36.788,133.29139485
6,88E,88,E,3,3,3,14,B,4,3,F,175.84595714,36.788,133.29139485
6,90B,90,B,3,1,1,2,F,2,1,R,12.986390909,2.717,14.396037987
6,90B,90,B,3,2,2,1,R,51,0,0,12.986390909,2.717,14.396037987
6,91B,91,B,3,1,1,3,R,68,0,0,12.986390909,2.717,14.396037987
6,91B,91,B,3,2,1,3,F,57,0,0,12.986390909,2.717,14.396037987
6,91B,91,B,3,3,1,3,F,71,0,0,12.986390909,2.717,14.396037987
6,92E,92,E,3,1,1,1,F,2,2,R,102.03592857,21.346,77.343326312
6,93F,93,F,3,1,1,1,L,2,2,B,178.562875,37.356,146.63166862
6,94C,94,C,3,1,1,2,F,2,1,F,22.411826666,4.689,18.148895452
6,95E,95,E,3,1,1,3,F,2,2,L,144.07602857,30.141,109.2097602
6,96E,96,E,3,1,1,20,L,2,5,F,144.07602857,30.141,109.2097602
6,97G,97,G,3,1,1,1,F,2,21,B,504.2661,105.495,451.06440935
6,98E,98,E,3,1,1,3,F,2,1,R,101.53573571,21.242,76.964179673
6,99E,99,E,3,1,1,1,F,2,1,R,101.53573571,21.242,76.964179673
6,100F,100,F,3,1,1,1,F,71,0,0,177.6875375,37.173,145.91286188
6,100F,100,F,3,2,2,4,B,71,0,0,177.6875375,37.173,145.91286188
6,101G,101,G,3,1,1,2,F,2,2,B,355.375075,74.346,317.88186496
6,102A,102,A,3,1,1,1,F,2,5,F,11.064613636,2.315,10.863514573
6,102A,102,A,3,2,2,5,R,71,0,0,11.064613636,2.315,10.863514573
6,102A,102,A,3,3,1,1,R,2,5,L,11.064613636,2.315,10.863514573
6,103C,103,C,3,1,1,13,F,2,1,R,13.523416667,2.829,10.95114106
6,103C,103,C,3,2,1,13,L,2,1,R,13.523416667,2.829,10.95114106
6,104D,104,D,3,1,1,1,L,68,0,0,20.285125,4.244,17.489795604
6,104D,104,D,3,2,1,1,T,31,0,N,20.285125,4.244,17.489795604
6,105F,105,F,3,1,1,3,F,2,1,L,152.1384375,31.828,124.9325368
6,106D,106,D,3,1,1,9,9,2,5,9,34.416,7.200,29.673408742
6,106D,106,D,3,2,1,9,F,3,2,F,34.416,7.200,29.673408742
6,107D,107,D,3,1,1,1,F,51,0,0,20.963486667,4.386,18.074677723
6,108E,108,E,3,1,1,1,F,51,0,0,89.843514286,18.796,68.101465236
6,108E,108,E,3,2,1,1,F,51,0,0,89.843514286,18.796,68.101465236
6,109F,109,F,3,1,1,3,F,2,1,F,157.22615,32.892,129.11044765
6,110C,110,C,3,1,1,5,F,2,2,F,21.988265555,4.600,17.805899477
6,111E,111,E,3,1,1,1,F,2,4,L,141.35313571,29.572,107.14580495
6,111E,111,E,3,2,2,4,F,71,0,0,141.35313571,29.572,107.14580495
6,112E,112,E,3,1,1,2,F,2,15,R,141.35313571,29.572,107.14580495
6,113F,113,F,3,1,1,1,F,51,0,0,247.3679875,51.751,203.13282238
6,114A,114,A,3,1,1,1,F,2,15,R,16.110555454,3.370,15.81774653
6,114A,114,A,3,2,2,15,F,56,0,0,16.110555454,3.370,15.81774653
6,114A,114,A,3,3,2,15,L,56,0,0,16.110555454,3.370,15.81774653
6,114A,114,A,3,4,1,1,B,3,2,F,16.110555454,3.370,15.81774653
6,114A,114,A,3,5,2,15,R,31,0,N,16.110555454,3.370,15.81774653
6,115D,115,D,3,1,1,5,F,88,0,0,29.536018333,6.179,25.465897972
6,115D,115,D,3,2,1,5,F,51,0,0,29.536018333,6.179,25.465897972
6,115D,115,D,3,3,1,5,F,51,0,0,29.536018333,6.179,25.465897972
6,116F,116,F,3,1,1,5,F,2,2,L,221.5201375,46.343,181.90717077
6,116F,116,F,3,2,2,2,R,71,0,0,221.5201375,46.343,181.90717077
6,117G,117,G,3,1,1,2,F,2,1,F,443.040275,92.686,396.29810523
6,117G,117,G,3,2,2,1,R,3,3,L,443.040275,92.686,396.29810523
6,117G,117,G,3,3,1,2,B,4,14,B,443.040275,92.686,396.29810523
6,118B,118,B,3,1,1,3,F,71,0,0,15.303387273,3.202,16.964539728
6,119C,119,C,3,1,1,1,F,2,1,F,18.70414,3.913,15.146444171
6,119C,119,C,3,2,1,1,F,3,1,F,18.70414,3.913,15.146444171
6,120E,120,E,3,1,1,4,9,2,2,9,120.2409,25.155,91.14271115
6,121F,121,F,3,1,1,4,R,2,1,F,210.421575,44.021,172.79329008
6,122E,122,E,3,1,1,15,F,2,1,R,84.967914286,17.776,64.405756018
6,123E,123,E,3,1,1,4,F,2,2,L,84.967914286,17.776,64.405756018
6,123E,123,E,3,2,2,2,R,3,2,L,84.967914286,17.776,64.405756018
6,123E,123,E,3,3,1,4,R,2,2,L,84.967914286,17.776,64.405756018
6,123E,123,E,3,4,1,4,F,50,0,0,84.967914286,17.776,64.405756018
6,123E,123,E,3,5,1,4,F,68,0,0,84.967914286,17.776,64.405756018
6,123E,123,E,3,6,2,2,F,71,0,0,84.967914286,17.776,64.405756018
6,124F,124,F,3,1,1,1,L,64,0,0,148.69385,31.107,122.10392188
6,124F,124,F,3,2,1,1,F,2,1,L,148.69385,31.107,122.10392188
6,124F,124,F,3,3,1,1,R,64,0,0,148.69385,31.107,122.10392188
6,125G,125,G,3,1,1,2,F,2,15,R,297.3877,62.215,266.01234398
6,125G,125,G,3,2,2,15,L,31,0,N,297.3877,62.215,266.01234398
6,125G,125,G,3,3,2,15,9,71,0,0,297.3877,62.215,266.01234398
6,125G,125,G,3,4,2,15,9,71,0,0,297.3877,62.215,266.01234398
6,126E,126,E,3,1,1,3,F,2,4,L,284.84702857,59.591,215.91430576
6,126E,126,E,3,2,2,4,9,71,0,0,284.84702857,59.591,215.91430576
6,126E,126,E,3,3,2,4,9,71,0,0,284.84702857,59.591,215.91430576
6,127E,127,E,3,1,1,5,L,2,3,L,328.29722857,68.681,248.84959673
6,128D,128,D,3,1,1,1,F,2,3,R,49.218066667,10.297,42.435722039
6,128D,128,D,3,2,1,1,L,2,3,R,49.218066667,10.297,42.435722039
6,129E,129,E,3,1,1,22,F,2,4,L,753.29385714,157.593,570.99742628
6,130E,130,E,3,1,1,1,F,2,1,R,160.64555714,33.608,121.76947788
6,130E,130,E,3,2,2,1,F,58,0,0,160.64555714,33.608,121.76947788
6,130E,130,E,3,3,2,1,F,43,0,0,160.64555714,33.608,121.76947788
6,130E,130,E,3,4,2,1,F,58,0,0,160.64555714,33.608,121.76947788
6,131G,131,G,3,1,1,1,F,2,12,B,562.25945,117.627,502.93927495
6,132E,132,E,3,1,1,3,F,51,0,0,194.62452857,40.716,147.52556901
6,133F,133,F,3,1,1,3,F,51,0,0,340.592925,71.254,279.68696692
6,134E,134,E,3,1,1,1,F,2,14,F,220.48432857,46.126,167.12732084
6,134E,134,E,3,2,1,1,9,3,1,9,220.48432857,46.126,167.12732084
6,135H,135,H,3,1,1,3,R,2,1,F,1543.3903,322.885,1387.1234936
6,136E,136,E,3,1,1,14,F,2,1,B,131.74021429,27.561,99.859201799
6,137G,137,G,3,1,1,14,F,2,1,L,461.09075,96.462,412.44419723
6,138E,138,E,3,1,1,1,F,64,0,0,257.74442857,53.921,195.3705104
6,139H,139,H,3,1,1,18,F,71,0,0,1804.211,377.450,1621.5363448
6,140E,140,E,3,1,1,15,F,2,2,L,390.44747142,81.684,295.95953713
6,140E,140,E,3,2,1,15,R,2,2,L,390.44747142,81.684,295.95953713
6,141G,141,G,3,1,1,1,F,2,4,R,1366.56615,285.892,1222.3890388
6,142C,142,C,3,1,1,4,F,2,1,R,24.656833333,5.158,19.966881638
6,142C,142,C,3,2,1,4,L,2,1,R,24.656833333,5.158,19.966881638
6,143F,143,F,3,1,1,U,F,2,3,B,277.389375,58.031,227.78568566
6,144E,144,E,3,1,1,5,F,2,2,R,105.93162857,22.161,80.296270442
6,144E,144,E,3,2,2,2,F,3,15,R,105.93162857,22.161,80.296270442
6,144E,144,E,3,3,2,2,F,71,0,0,105.93162857,22.161,80.296270442
6,145E,145,E,3,1,1,13,B,2,4,F,105.93162857,22.161,80.296270442
6,146E,146,E,3,1,1,4,F,2,4,R,157.96534286,33.047,119.73787302
6,146E,146,E,3,2,2,4,F,50,0,0,157.96534286,33.047,119.73787302
6,146E,146,E,3,3,2,4,F,59,0,0,157.96534286,33.047,119.73787302
6,147E,147,E,3,1,1,1,F,2,1,F,157.96534286,33.047,119.73787302
6,148E,148,E,3,1,1,15,F,54,0,0,530.21125714,110.923,401.90061334
6,148E,148,E,3,2,1,15,F,56,0,0,530.21125714,110.923,401.90061334
6,148E,148,E,3,3,1,15,F,54,0,0,530.21125714,110.923,401.90061334
6,148E,148,E,3,4,1,15,F,51,0,0,530.21125714,110.923,401.90061334
6,150E,150,E,3,1,1,2,F,88,0,0,103.19337143,21.589,78.220669047
6,150E,150,E,3,2,1,2,T,31,0,N,103.19337143,21.589,78.220669047
7,1E,1,E,3,1,1,5,F,2,13,B,131.55209071,8.100,169.927978
7,2G,2,G,3,1,1,2,L,2,3,F,511.5915,31.500,614.50705068
7,3E,3,E,3,1,1,3,F,68,0,0,263.10418141,16.200,339.85595599
7,3E,3,E,3,2,1,3,L,U,0,0,263.10418141,16.200,339.85595599
7,4G,4,G,3,1,1,2,L,2,3,F,1023.183,63.000,1229.0141014
7,5G,5,G,3,1,1,2,F,2,2,F,341.061,21.000,409.67136712
7,6H,6,H,3,1,1,15,R,2,3,L,470.989,29.000,590.7762581
7,6H,6,H,3,2,1,15,R,2,3,L,470.989,29.000,590.7762581
7,6H,6,H,3,3,2,3,T,31,0,N,470.989,29.000,590.7762581
7,6H,6,H,3,4,2,3,F,68,0,0,470.989,29.000,590.7762581
7,7B,7,B,3,1,1,2,F,2,24,L,48.723,3.000,78.691203048
7,8F,8,F,3,1,1,1,F,2,3,F,331.31636282,20.400,377.85627248
7,9E,9,E,3,1,1,2,F,2,3,B,219.25348451,13.500,283.21329666
7,10F,10,F,3,1,1,3,L,42,0,0,276.09696902,17.000,314.88022707
7,10F,10,F,3,2,1,3,F,68,0,0,276.09696902,17.000,314.88022707
7,11A,11,A,3,1,1,2,L,2,15,F,48.723,3.000,67.80665498
7,11A,11,A,3,2,1,2,L,2,15,F,48.723,3.000,67.80665498
7,11A,11,A,3,3,1,2,B,3,15,L,48.723,3.000,67.80665498
7,12E,12,E,3,1,1,22,F,2,9,L,263.10418141,16.200,339.85595599
7,13E,13,E,3,1,1,3,F,2,2,L,131.55209071,8.100,169.927978
7,14F,14,F,3,1,1,3,R,2,4,F,165.65818141,10.200,188.92813624
7,15F,15,F,3,1,1,4,F,2,4,F,276.09696902,17.000,314.88022707
7,15F,15,F,3,2,2,4,R,U,0,0,276.09696902,17.000,314.88022707
7,16H,16,H,3,1,1,3,F,58,0,0,1177.4725,72.500,1476.9406452
7,16H,16,H,3,2,1,3,U,68,0,0,1177.4725,72.500,1476.9406452
7,17H,17,H,3,1,1,1,F,2,3,B,470.989,29.000,590.7762581
7,18E,18,E,3,1,1,14,L,2,2,R,263.10418141,16.200,339.85595599
7,19H,19,H,3,1,1,3,F,2,2,F,1412.967,87.000,1772.3287743
7,20E,20,E,3,1,1,18,F,2,1,B,87.701393805,5.400,113.28531866
7,20E,20,E,3,2,2,1,R,U,U,9,87.701393805,5.400,113.28531866
7,21E,21,E,3,1,1,1,U,61,0,0,219.25348451,13.500,283.21329666
7,21E,21,E,3,2,1,1,F,44,0,0,219.25348451,13.500,283.21329666
7,22G,22,G,3,1,1,15,F,50,0,0,852.6525,52.500,1024.1784178
7,22G,22,G,3,2,1,15,F,51,0,0,852.6525,52.500,1024.1784178
7,23C,23,C,3,1,1,2,F,2,1,F,40.6025,2.500,57.932512345
7,24F,24,F,3,1,1,2,L,2,5,F,276.09696902,17.000,314.88022707
7,25E,25,E,3,1,1,1,F,2,12,F,175.40278761,10.800,226.57063733
7,26F,26,F,3,1,1,1,F,2,2,R,220.87757522,13.600,251.90418166
7,26F,26,F,3,2,1,1,L,2,2,R,220.87757522,13.600,251.90418166
7,27F,27,F,3,1,1,3,R,51,0,0,165.65818141,10.200,188.92813624
7,28H,28,H,3,1,1,5,R,2,U,9,706.4835,43.500,886.16438714
7,29E,29,E,3,1,1,2,F,2,2,F,219.25348451,13.500,283.21329666
7,30G,30,G,3,1,1,2,F,68,0,0,852.6525,52.500,1024.1784178
7,31E,31,E,3,1,1,2,F,2,2,F,219.25348451,13.500,283.21329666
