PSU,CASEID,CASENO,STRATIF,VERSION,VEHNO,ACCSEQ1,OBJCONT1,DOF1,GAD1,SHL1,SVL1,TDD1,EXTENT1,ACCSEQ2,OBJCONT2,DOF2,GAD2,SHL2,SVL2,TDD2,EXTENT2,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,SDVL,SDVC1,SDVC2,SDVC3,SDVC4,SDVC5,SDVC6,SDVD,DOCCDC,TOWRES,WHEELBAS,NATWGT,PSUWGT,RATWGT
50,25D,25,D,3,2,1,1,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1315,169.5345584,24.240,252.81744367
50,26G,26,G,3,1,1,2,12,F,D,M,W,2,,,,,,,,,59,1,3,4,3,3,0,4,,,,,,,,,0,1,942,3671.85,525.000,4410.5066523
50,26G,26,G,3,2,1,1,6,B,Y,E,W,1,,,,,,,,,75,5,4,4,4,0,0,-15,,,,,,,,,0,0,1330,3671.85,525.000,4410.5066523
50,27C,27,C,3,1,1,77,3,R,Z,A,W,3,2,68,9,L,Z,E,W,2,64,0,6,7,6,1,0,-60,,,,,,,,,0,1,942,33.291428261,4.760,47.50091937
50,28E,28,E,3,1,1,42,9,L,F,E,W,4,2,31,0,L,D,A,O,1,47,0,3,11,7,3,0,61,,,,,,,,,0,1,1139,250.38511462,35.800,323.42653028
50,29C,29,C,3,1,1,51,89,L,P,A,N,4,,,,,,,,,160,0,1,8,8,2,0,-3,,,,,,,,,0,1,1005,49.937142391,7.140,71.251379055
50,30F,30,F,3,1,3,31,0,T,Y,D,O,4,2,63,3,R,B,W,N,1,,,,,,,,,,,,,,,,,1,1,913,507.76433597,72.600,579.08983924
50,31B,31,B,3,1,1,52,12,F,L,E,W,4,,,,,,,,,76,36,19,12,7,3,0,-28,,,,,,,,,0,1,1315,20.982,3.000,33.887462232
50,32G,32,G,3,1,1,2,2,R,Z,A,W,2,2,3,3,R,F,L,S,3,67,0,3,6,7,5,0,-12,,,,,,,,,1,1,937,1573.65,225.000,1890.2171367
50,32G,32,G,3,2,1,1,11,F,R,E,W,1,,,,,,,,,75,0,0,0,0,1,3,19,,,,,,,,,0,0,1330,1573.65,225.000,1890.2171367
50,33C,33,C,3,1,1,2,2,R,Y,E,W,3,2,2,3,R,B,E,W,2,,,,,,,,,,,,,,,,,0,1,984,58.259999456,8.330,83.126608897
50,33C,33,C,3,2,1,1,U,9,9,9,9,U,2,1,U,9,9,9,9,U,,,,,,,,,,,,,,,,,0,1,1189,58.259999456,8.330,83.126608897
50,34F,34,F,3,1,1,2,7,L,F,E,W,2,,,,,,,,,45,0,1,1,3,3,3,69,,,,,,,,,0,0,973,592.39172529,84.700,675.60481245
50,34F,34,F,3,2,1,1,1,R,F,E,W,2,3,45,12,F,C,L,N,1,50,1,4,6,6,3,0,72,63,0,0,0,0,0,0,0,1,1,1127,592.39172529,84.700,675.60481245
50,36F,36,F,3,1,1,2,8,L,Y,E,W,2,,,,,,,,,74,0,3,4,4,0,0,61,,,,,,,,,0,1,1214,423.13694664,60.500,482.57486603
50,36F,36,F,3,2,1,1,12,F,R,E,E,2,,,,,,,,,63,1,1,1,2,14,18,26,,,,,,,,,0,1,942,423.13694664,60.500,482.57486603
50,37D,37,D,3,1,2,58,12,F,D,E,W,3,1,57,12,F,D,A,W,9,64,2,6,15,22,30,29,0,,,,,,,,,0,1,1049,102.60196719,14.670,153.00459862
50,38H,38,H,3,1,1,2,U,9,9,9,9,U,2,2,U,9,9,9,9,U,,,,,,,,,,,,,,,,,0,0,1049,2056.236,294.000,2579.2012337
50,38H,38,H,3,2,1,1,3,R,Y,E,W,2,2,1,3,R,P,E,W,1,49,2,4,6,7,4,3,60,26,0,0,0,1,1,0,-18,0,1,965,2056.236,294.000,2579.2012337
50,39D,39,D,3,1,1,2,2,R,Y,E,W,3,3,31,0,T,D,D,O,3,,,,,,,,,,,,,,,,,1,1,1190,68.401311462,9.780,102.00306575
50,39D,39,D,3,2,1,1,11,F,D,E,W,2,,,,,,,,,62,10,14,15,17,17,19,-3,,,,,,,,,0,1,1108,68.401311462,9.780,102.00306575
50,40F,40,F,3,1,1,2,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1139,338.50955731,48.400,386.05989283
