ACCSEQ,CASEID,CASENO,CLASS2,CLASS1,GADEV1,GADEV2,OBJCONT,RATWGT,PSU,STRATIF,VEHNUM,VERSION
1," 56H",56,0,1,F,0,52,533.51093565,3,H,1,8
1," 57F",57,1,4,L,F,2,124.07974179,3,F,1,8
1," 58F",58,0,21,R,0,63,124.07974179,3,F,1,8
2," 58F",58,0,21,R,N,31,124.07974179,3,F,1,8
3," 58F",58,0,21,T,0,70,124.07974179,3,F,1,8
1," 59D",59,0,4,F,0,70,34.995312916,3,D,1,8
2," 59D",59,0,4,F,0,70,34.995312916,3,D,1,8
1," 60G",60,4,21,B,F,2,694.53396854,3,G,1,8
1," 61K",61,0,1,F,0,52,40.058423778,3,K,1,8
1," 62E",62,1,21,R,F,2,312.4711349,3,E,1,8
1," 63C",63,2,2,F,B,2,33.858871806,3,C,1,8
1," 64D",64,3,1,F,F,2,63.441587114,3,D,1,8
1," 65C",65,0,4,F,0,42,27.073063891,3,C,1,8
2," 65C",65,0,4,N,N,33,27.073063891,3,C,1,8
1," 66D",66,1,3,R,F,2,50.726974931,3,D,1,8
2," 66D",66,0,3,F,0,70,50.726974931,3,D,1,8
1," 67D",67,2,2,F,F,2,29.962331467,3,D,1,8
2," 67D",67,0,2,F,0,70,29.962331467,3,D,1,8
3," 67D",67,0,2,F,0,70,29.962331467,3,D,2,8
1," 68H",68,9,15,B,F,2,669.25559761,3,H,1,8
1," 69F",69,5,2,R,F,2,59.298804237,3,F,1,8
2," 69F",69,19,5,F,F,3,59.298804237,3,F,2,8
1," 70H",70,0,14,F,0,70,229.3052363,3,H,1,8
1," 71C",71,9,14,R,F,2,21.745429909,3,C,1,8
2," 71C",71,0,14,T,N,31,21.745429909,3,C,1,8
1," 72F",72,1,1,L,F,2,235.35201772,3,F,1,8
1," 73C",73,2,9,F,R,2,32.068862803,3,C,1,8
1," 74F",74,0,1,F,0,70,327.51988968,3,F,1,8
1," 75C",75,15,2,L,F,2,21.795497535,3,C,1,8
2," 75C",75,15,2,L,R,2,21.795497535,3,C,1,8
1," 76F",76,2,2,F,B,2,235.89390247,3,F,1,8
1," 77D",77,20,1,F,F,2,41.664869285,3,D,1,8
2," 77D",77,20,1,R,L,2,41.664869285,3,D,1,8
1," 78D",78,9,1,F,F,2,41.664869285,3,D,1,8
1," 79F",79,9,9,F,F,2,73.091155516,3,F,1,8
1," 80H",80,4,1,F,L,2,282.63950517,3,H,1,8
1," 81F",81,4,3,F,L,2,100.76683143,3,F,1,8
2," 81F",81,0,4,F,0,42,100.76683143,3,F,2,8
1," 82G",82,0,2,9,0,56,346.2205491,3,G,1,8
2," 82G",82,2,2,B,F,2,346.2205491,3,G,1,8
1," 83C",83,1,14,F,B,2,35.094847806,3,C,1,8
2," 83C",83,0,14,T,N,31,35.094847806,3,C,1,8
3," 83C",83,0,14,9,0,56,35.094847806,3,C,1,8
1," 84E",84,2,21,F,L,2,266.46008494,3,E,1,8
1," 85D",85,1,2,B,F,2,28.673614312,3,D,1,8
2," 85D",85,0,2,F,0,56,28.673614312,3,D,1,8
3," 85D",85,0,1,U,0,63,28.673614312,3,D,2,8
4," 85D",85,0,1,F,0,58,28.673614312,3,D,2,8
1," 86F",86,14,58,L,F,2,165.62687624,3,F,1,8
2," 86F",86,0,14,F,0,71,165.62687624,3,F,2,8
1," 87E",87,21,1,B,F,2,92.84897805,3,E,1,8
1," 88G",88,0,2,F,0,56,454.75082486,3,G,1,8
1," 89C",89,4,3,L,F,2,40.006957036,3,C,1,8
2," 89C",89,4,3,L,R,2,40.006957036,3,C,1,8
3," 89C",89,0,3,F,0,50,40.006957036,3,C,1,8
4," 89C",89,0,3,F,0,59,40.006957036,3,C,1,8
5," 89C",89,U,4,R,9,U,40.006957036,3,C,2,8
1," 90D",90,9,14,B,F,2,74.961294177,3,D,1,8
1," 91F",91,0,3,F,0,52,142.99033298,3,F,1,8
1," 92H",92,0,4,F,0,42,552.93580559,3,H,1,8
1," 93D",93,31,2,B,F,2,27.424613202,3,D,1,8
2," 93D",93,2,31,B,F,3,27.424613202,3,D,2,8
3," 93D",93,3,2,B,F,4,27.424613202,3,D,3,8
