CASEID,CASENO,FAILLF,FAILLR,FAILRF,FAILRR,FAILTG,GLIMPBL,GLIMPLF,GLIMPLR,GLIMPOTH,GLIMPRF,GLIMPRR,GLIMPRUF,GLIMPWS,GLOCCBL,GLOCCLF,GLOCCLR,GLOCCOTH,GLOCCRF,GLOCCRR,GLOCCRUF,GLOCCWS,GLPREBL,GLPRELF,GLPRELR,GLPREOTH,GLPRERF,GLPRERR,GLPRERUF,GLPREWS,GLTYPBL,GLTYPLF,GLTYPLR,GLTYPOTH,GLTYPRF,GLTYPRR,GLTYPRUF,GLTYPWS,OPENLF,OPENLR,OPENRF,OPENRR,OPENTG,PASINTEG,PSU,STRATIF,VEHNO,VERSION,ADAPTEQ,BOLSTDEF,COLUMTYP,GLOVOPEN,CDRIR1,INLOC1,INCOMP1,INMAG1,CDRIR2,INLOC2,INCOMP2,INMAG2,CDRIR3,INLOC3,INCOMP3,INMAG3,CDRIR4,INLOC4,INCOMP4,INMAG4,CDRIR5,INLOC5,INCOMP5,INMAG5,CDRIR6,INLOC6,INCOMP6,INMAG6,CDRIR7,INLOC7,INCOMP7,INMAG7,CDRIR8,INLOC8,INCOMP8,INMAG8,CDRIR9,INLOC9,INCOMP9,INMAG9,CDRIR10,INLOC10,INCOMP10,INMAG10,ODOMETER,PANELDAM,RATWGT,RDEFLOC,RIMDEF,COLMTELE,COLMTILT,BOLSTYPE
" 20D",20,0,0,0,0,0,1,1,1,1,1,1,0,2,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,0,0,2,D,1,8,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,0,82.897657743,0,0,0,1,0
" 20D",20,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,1,U,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,0,0,2,D,2,8,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,0,82.897657743,0,0,0,3,0
" 21K",21,0,0,0,0,0,1,1,0,0,6,0,0,1,1,8,0,0,1,0,0,1,2,2,0,0,2,0,0,1,8,2,0,0,2,0,0,1,3,0,1,0,0,6,2,K,1,8,0,0,1,1,1,11,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,1,24.00604012,0,0,0,0,0
" 23D",23,0,0,0,0,0,1,6,1,0,6,1,0,2,1,1,1,0,1,1,0,1,1,2,1,0,2,1,0,1,2,2,2,0,2,2,0,1,3,0,1,0,1,6,2,D,1,8,0,0,1,1,1,11,5,2,3,11,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,1,24.00604012,0,0,0,0,0
" 24E",24,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,0,0,2,E,1,8,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,0,123.47034654,0,0,0,1,2
" 25E",25,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,3,1,3,0,0,2,E,1,8,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,0,108.24975863,0,0,0,2,2
" 25E",25,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,3,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,0,1,0,0,0,2,E,2,8,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,1,108.24975863,0,0,0,0,0
" 26F",26,0,0,0,0,0,1,1,1,0,6,6,0,1,1,1,1,0,1,1,0,1,1,2,1,0,2,1,0,1,2,2,2,0,2,2,0,1,1,0,1,0,0,6,2,F,1,8,0,1,2,0,1,13,6,3,1,12,15,3,1,13,15,3,1,13,13,3,1,12,16,3,1,13,16,3,1,13,14,3,1,12,13,3,1,11,15,3,1,11,6,2,111,0,153.90211967,0,0,0,3,2
" 28F",28,0,0,0,0,0,1,1,6,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,3,3,1,1,0,6,2,F,1,8,0,1,2,1,3,21,11,2,3,11,6,2,3,11,11,1,3,11,7,1,3,11,14,1,3,21,7,1,,,,,,,,,,,,,,,,,214,0,311.2658338,0,0,0,5,1
" 29H",29,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,2,2,0,2,2,0,1,2,2,2,0,2,2,0,1,1,1,1,1,0,0,2,H,1,8,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,0,972.82098181,0,0,0,0,0
" 29H",29,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,2,2,0,2,2,0,0,1,2,2,0,2,2,0,0,1,1,0,1,0,0,0,2,H,2,8,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,0,972.82098181,0,0,0,0,0
" 30H",30,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,2,1,0,2,1,0,1,2,2,2,0,2,2,0,1,1,0,1,0,0,0,2,H,1,8,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,0,972.82098181,0,0,0,2,0
" 31K",31,0,0,0,0,0,U,6,U,U,1,1,0,1,1,1,1,1,1,1,0,U,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,3,3,1,1,0,6,2,K,2,8,0,0,1,2,2,22,21,3,2,11,20,2,2,23,21,2,3,21,11,2,2,21,21,2,2,11,5,2,1,11,18,2,2,12,3,2,2,11,6,2,2,11,2,1,227,1,43.690993018,6,8,0,0,0
" 32C",32,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,3,2,2,3,2,2,3,1,1,0,1,0,1,0,2,C,1,8,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0,99.168048627,0,0,0,3,0
" 32C",32,0,0,0,0,0,1,1,1,1,1,1,0,2,1,1,1,1,1,1,0,1,1,3,2,1,2,2,0,1,2,2,2,2,2,2,0,1,3,1,1,1,0,0,2,C,2,8,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,0,99.168048627,5,1,0,2,2
" 33D",33,0,0,0,0,0,6,6,6,0,1,1,0,2,1,1,1,0,1,1,0,1,1,2,1,0,U,1,0,1,2,2,2,0,2,2,0,1,1,0,1,0,3,11,2,D,1,8,0,0,1,1,1,21,13,5,1,22,13,4,1,21,8,4,1,12,13,4,1,23,13,4,1,11,15,3,1,12,15,3,1,12,16,3,1,21,14,3,1,13,15,3,145,1,108.90820221,0,0,0,0,0
" 34F",34,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,2,2,0,2,2,0,0,1,4,4,0,4,4,0,0,1,1,0,1,0,0,0,2,F,1,8,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,1,81.967595127,0,0,0,0,0
" 35G",35,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,2,0,0,2,0,0,1,2,2,0,0,2,0,0,1,1,0,1,0,0,0,2,G,1,8,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,0,156.55916805,0,0,0,3,0
" 36G",36,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,2,2,2,1,2,2,0,1,2,2,3,3,2,3,0,1,1,1,1,1,1,0,2,G,1,8,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,0,156.55916805,0,0,0,2,0
" 37D",37,0,0,0,0,0,6,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,0,2,1,2,1,2,2,2,0,2,2,3,1,1,0,1,0,0,7,2,D,1,8,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,0,24.00604012,0,0,0,5,0
" 37D",37,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,3,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,1,0,2,D,2,8,0,0,1,2,2,13,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,1,24.00604012,9,12,0,0,0
" 38E",38,0,0,0,0,0,1,6,1,1,1,1,0,2,1,1,1,1,1,1,0,3,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,3,1,1,6,2,E,1,8,0,2,1,1,2,21,20,1,2,13,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,1,149.56278294,6,5,0,0,2
" 39G",39,0,0,0,0,0,1,1,0,0,1,0,0,2,1,1,0,0,1,0,0,1,1,2,0,0,2,0,0,1,1,2,0,0,2,0,0,1,1,0,3,0,0,0,2,G,1,8,0,0,1,1,2,13,5,1,3,13,10,1,3,13,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,0,454.48449921,0,0,0,0,0
" 40K",40,0,0,0,0,0,1,6,6,0,1,6,0,U,1,1,1,0,U,1,0,U,1,4,1,0,3,1,0,1,2,2,2,0,2,2,0,1,3,0,1,0,U,6,2,K,1,8,0,0,1,2,3,21,12,3,1,21,25,2,2,21,21,2,3,11,11,1,3,21,17,1,3,21,7,1,3,23,21,1,,,,,,,,,,,,,144,U,43.690993018,0,0,0,0,0
" 40K",40,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,3,2,2,3,1,4,3,0,1,2,2,2,2,2,2,0,1,3,1,1,1,1,0,2,K,2,8,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,0,43.690993018,5,2,0,5,2
" 41D",41,0,0,0,0,0,1,6,1,1,1,1,0,2,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,3,3,1,1,1,6,2,D,1,8,0,0,1,1,3,11,11,2,3,11,7,1,3,21,7,1,3,11,18,1,3,21,12,1,3,11,6,1,3,21,18,1,,,,,,,,,,,,,43,0,57.566484208,0,0,0,0,0
" 41D",41,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,2,2,0,1,2,0,2,1,2,2,0,2,2,0,3,1,1,0,1,0,0,0,2,D,2,8,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,0,57.566484208,0,0,0,0,0
" 42D",42,0,0,0,0,0,1,6,1,0,1,1,0,2,1,1,1,0,1,1,0,1,1,2,1,0,2,1,0,1,2,2,2,0,2,2,0,1,3,0,1,0,0,6,2,D,1,8,0,2,2,1,2,11,10,4,2,11,5,3,2,11,11,3,3,11,18,3,2,11,2,2,2,12,3,2,2,11,15,2,1,11,1,1,2,12,15,1,,,,,112,1,57.796942193,0,0,0,2,2
" 44B",44,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,3,1,3,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,0,0,2,B,1,8,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,0,24.956557522,0,0,0,1,0
" 44B",44,0,0,0,0,0,1,6,4,0,1,1,1,2,1,1,1,0,1,1,1,1,2,2,1,0,3,1,3,1,2,2,2,0,2,2,3,1,3,0,U,0,1,6,2,B,2,8,0,0,1,2,3,11,10,3,3,11,5,3,3,11,11,3,3,11,18,3,3,21,18,3,3,11,6,2,3,11,7,2,3,21,12,2,3,12,1,2,3,11,2,2,202,1,24.956557522,0,0,0,0,0
" 45G",45,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,3,2,2,3,2,2,3,1,1,1,1,1,1,0,2,G,1,8,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,0,417.80763573,0,0,0,2,0
" 46D",46,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,2,2,0,2,2,0,1,2,2,2,0,2,2,0,1,1,0,1,0,0,0,2,D,1,8,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,0,24.00604012,7,2,0,0,0
" 47E",47,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,1,0,2,E,1,8,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,1,144.05524771,0,0,0,0,0
" 47E",47,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,1,0,2,E,2,8,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,0,144.05524771,0,0,0,0,2
" 48F",48,0,0,0,0,0,6,6,6,1,6,6,0,2,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,3,1,3,3,0,11,2,F,1,8,0,0,2,2,2,13,15,4,2,12,15,4,2,13,5,3,2,13,4,3,1,12,13,3,1,12,16,3,1,13,13,3,1,11,13,3,1,11,16,3,1,13,16,3,153,1,204.80792062,0,0,0,1,0
" 50D",50,0,0,0,0,0,1,U,U,U,1,1,1,U,1,1,1,1,1,1,1,U,1,2,4,1,U,4,2,1,2,2,2,2,2,2,2,1,3,3,3,3,1,6,2,D,2,8,0,0,2,2,2,11,1,3,2,11,2,3,2,11,5,3,2,12,3,2,1,11,18,1,U,U,U,U,,,,,,,,,,,,,,,,,U,1,24.00604012,7,3,0,U,0
" 51F",51,0,0,0,0,0,1,6,1,1,1,1,0,2,1,1,1,1,1,1,0,2,1,4,2,1,4,2,0,1,2,2,2,2,2,2,0,1,3,3,1,1,1,0,2,F,1,8,0,0,1,1,2,11,5,4,2,11,10,2,1,11,13,2,2,22,21,1,2,11,2,1,1,11,14,1,3,11,18,1,2,21,20,1,1,21,13,1,1,12,13,1,238,1,237.01740922,0,0,0,0,0
" 52F",52,0,0,0,0,0,1,1,1,1,1,1,0,2,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,0,0,2,F,2,8,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,0,237.01740922,0,0,0,3,2
" 53H",53,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,2,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,1,0,2,H,1,8,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,0,740.76716331,0,0,0,5,0
" 54B",54,0,0,0,0,0,1,1,6,1,6,6,0,2,1,1,1,1,1,1,0,3,1,4,1,2,2,1,0,1,2,2,2,2,2,2,0,1,1,0,1,0,1,6,2,B,1,8,0,0,1,1,2,22,21,4,1,22,25,3,2,23,21,3,2,11,5,2,1,23,25,2,2,13,5,2,1,13,18,2,1,21,25,2,2,21,21,2,,,,,212,1,52.907901946,6,13,0,0,0
" 54B",54,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,3,1,3,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,0,0,2,B,2,8,0,1,2,1,2,11,5,2,2,13,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,1,52.907901946,5,3,0,3,2
" 55E",55,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,4,4,4,4,4,4,0,1,1,1,1,1,1,0,2,E,1,8,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,0,122.58497444,0,0,0,0,0
" 55E",55,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,U,0,0,2,E,2,8,0,0,2,1,3,23,11,1,2,23,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,0,122.58497444,0,0,0,3,0
" 56F",56,0,0,U,0,0,1,1,1,0,6,1,0,2,1,1,1,0,1,1,0,1,1,2,2,0,2,2,0,1,2,2,2,0,2,2,0,1,1,0,2,0,1,98,2,F,1,8,0,0,2,1,1,12,15,3,1,13,15,3,1,13,13,2,1,13,14,2,1,13,17,2,1,13,16,2,1,11,15,2,1,12,13,1,1,12,16,1,,,,,181,0,174.28295125,0,0,0,1,0
" 57F",57,0,0,0,0,0,1,1,1,0,6,1,0,2,1,1,1,0,1,1,0,1,1,2,1,0,2,1,0,1,2,2,2,0,2,2,0,1,1,0,1,0,0,6,2,F,1,8,0,0,2,1,2,21,20,4,2,22,20,4,1,11,13,2,1,12,13,1,1,11,15,1,1,13,13,1,1,11,16,1,,,,,,,,,,,,,104,0,174.28295125,0,0,0,2,0
" 58D",58,0,0,0,0,0,6,6,6,1,1,1,0,2,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,3,3,1,1,0,98,2,D,1,8,0,0,1,1,1,13,15,3,1,11,6,3,1,12,15,2,1,11,16,2,1,11,7,2,1,21,7,2,1,11,13,2,1,11,17,2,1,21,13,1,1,11,15,1,117,0,50.892805054,0,0,0,0,0
" 59E",59,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,2,2,2,1,2,2,2,2,2,2,3,1,1,1,1,1,0,0,2,E,1,8,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,0,113.82239475,5,2,0,2,1
" 60F",60,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,2,0,2,2,0,0,1,2,2,0,2,2,0,0,1,1,0,3,0,0,0,2,F,1,8,0,0,1,1,2,13,5,2,3,11,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,1,161.82491342,0,0,0,0,0
" 62C",62,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,2,0,1,2,0,0,1,2,2,0,2,2,0,0,1,1,0,1,0,0,0,2,C,2,8,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,0,32.788606904,0,0,0,3,0
