PSU,CASENO,RATWGT,CASEID,STRATIF,VERSION,VEHNO,PASINTEG,OPENLF,OPENRF,OPENLR,OPENRR,OPENTG,FAILLF,FAILRF,FAILLR,FAILRR,FAILTG,GLIMPWS,GLIMPLF,GLIMPRF,GLIMPLR,GLIMPRR,GLIMPBL,GLIMPRUF,GLIMPOTH,GLOCCWS,GLOCCLF,GLOCCRF,GLOCCLR,GLOCCRR,GLOCCBL,GLOCCRUF,GLOCCOTH,GLTYPWS,GLTYPLF,GLTYPRF,GLTYPLR,GLTYPRR,GLTYPBL,GLTYPRUF,GLTYPOTH,GLPREWS,GLPRELF,GLPRERF,GLPRELR,GLPRERR,GLPREBL,GLPRERUF,GLPREOTH,INLOC1,INCOMP1,INMAG1,CDRIR1,INLOC2,INCOMP2,INMAG2,CDRIR2,INLOC3,INCOMP3,INMAG3,CDRIR3,INLOC4,INCOMP4,INMAG4,CDRIR4,INLOC5,INCOMP5,INMAG5,CDRIR5,INLOC6,INCOMP6,INMAG6,CDRIR6,INLOC7,INCOMP7,INMAG7,CDRIR7,INLOC8,INCOMP8,INMAG8,CDRIR8,INLOC9,INCOMP9,INMAG9,CDRIR9,INLOC10,INCOMP10,INMAG10,CDRIR10,COLUMTYP,RIMDEF,RDEFLOC,ODOMETER,PANELDAM,BOLSTDEF,GLOVOPEN
49,59,103.95270649," 59F",F,7,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,5,1,2,12,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,8,332,1,8,1
49,60,223.18206797," 60G",G,7,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,53,0,8,0
49,62,10.604829029," 62B",B,7,2,11,1,3,0,0,1,0,0,0,0,0,0,0,6,0,6,6,8,8,0,0,U,0,U,0,0,0,0,0,2,0,2,2,0,0,0,0,2,0,1,2,0,0,13,13,2,3,13,12,2,3,23,7,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,5,134,0,8,0
49,63,11.944063947," 63J",J,7,1,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,8,224,0,8,0
49,63,11.944063947," 63J",J,7,2,6,1,1,0,0,0,0,0,0,0,0,2,6,0,0,0,0,8,8,0,U,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,11,10,3,2,11,17,2,2,11,5,1,1,11,2,1,2,11,24,1,2,,,,,,,,,,,,,,,,,,,,,2,0,0,112,0,8,0
49,64,8.8426937469," 64K",K,7,1,11,3,1,3,1,0,0,0,0,0,0,2,6,0,6,0,6,8,6,0,U,0,0,0,0,0,0,1,2,0,2,0,2,0,2,1,2,0,2,0,1,0,1,21,10,4,3,11,7,4,3,11,10,3,3,12,19,3,3,21,17,2,3,11,17,2,3,21,13,2,3,21,8,2,3,11,13,1,3,11,6,1,3,1,0,0,243,U,8,0
49,64,8.8426937469," 64K",K,7,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,144,0,8,0
49,65,26.557556887," 65D",D,7,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,216,0,8,0
49,65,26.557556887," 65D",D,7,2,6,1,3,0,0,1,0,0,0,0,0,2,6,6,0,0,0,8,8,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,2,2,0,0,0,0,0,11,10,1,3,98,7,1,3,13,10,1,3,11,17,1,3,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,243,0,8,0
49,66,288.0116499," 66F",F,7,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,113,1,8,0
