PSU,CASENO,RATWGT,CASEID,STRATIF,VERSION,ACCSEQ,VEHNUM,CLASS1,GADEV1,OBJCONT,CLASS2,GADEV2
2,97,29.15823474," 97A",A,7,2,1,1,L,42,0,0
2,97,29.15823474," 97A",A,7,3,1,1,9,57,0,0
2,98,413.95885205," 98E",E,7,1,1,2,B,2,2,F
2,99,158.18012886," 99E",E,7,1,1,11,B,2,14,F
2,100,362.87776299,100G,G,7,1,1,18,F,76,0,0
2,101,260.81643674,101F,F,7,1,1,15,F,2,2,B
2,101,260.81643674,101F,F,7,2,1,15,B,3,2,F
2,103,533.91280265,103G,G,7,1,1,9,9,56,0,0
2,104,934.83050022,104H,H,7,1,1,1,B,2,1,F
2,105,126.40839407,105K,K,7,1,1,1,F,51,0,0
2,105,126.40839407,105K,K,7,2,1,1,L,31,0,N
2,106,1242.2805217,106G,G,7,1,1,3,F,50,0,0
2,106,1242.2805217,106G,G,7,2,1,3,F,60,0,0
2,107,49.60352611,107C,C,7,1,1,3,F,2,2,R
2,107,49.60352611,107C,C,7,2,1,3,L,2,2,R
2,108,260.78976621,108E,E,7,1,1,4,L,3,1,F
2,108,260.78976621,108E,E,7,2,2,2,L,3,1,F
2,108,260.78976621,108E,E,7,3,1,4,R,56,0,0
2,109,194.36461036,109D,D,7,1,1,2,T,31,0,N
2,110,2396.0171765,110H,H,7,1,1,2,9,31,0,N
2,111,116.0722511,111J,J,7,1,1,11,F,50,0,0
2,111,116.0722511,111J,J,7,2,1,11,F,42,0,0
2,111,116.0722511,111J,J,7,3,1,11,T,88,0,0
2,111,116.0722511,111J,J,7,4,1,11,R,42,0,0
2,111,116.0722511,111J,J,7,5,1,11,R,42,0,0
2,112,1937.4755297,112H,H,7,1,1,9,9,60,0,0
2,113,118.80048146,113K,K,7,1,1,15,F,88,0,0
2,113,118.80048146,113K,K,7,2,1,15,T,31,0,N
2,114,176.97215355,114C,C,7,1,1,3,L,2,2,F
2,115,145.31518319,115C,C,7,1,1,1,R,56,0,0
2,116,815.5594307,116F,F,7,1,1,2,F,56,0,0
2,116,815.5594307,116F,F,7,2,1,2,L,60,0,0
2,117,141.17131973,117E,E,7,1,1,1,F,2,1,B
2,118,567.04489363,118H,H,7,1,1,1,F,56,0,0
2,119,116.0722511,119C,C,7,1,1,1,9,56,0,0
2,119,116.0722511,119C,C,7,2,1,1,L,44,0,0
2,119,116.0722511,119C,C,7,3,1,1,L,50,0,0
2,119,116.0722511,119C,C,7,4,1,1,T,31,0,N
2,120,981.13379045,120G,G,7,1,1,11,F,56,0,0
2,121,67.593642824,121F,F,7,1,1,1,F,2,3,R
2,121,67.593642824,121F,F,7,2,2,3,F,57,0,0
2,122,262.74522934,122H,H,7,1,1,15,F,56,0,0
2,122,262.74522934,122H,H,7,2,1,15,R,56,0,0
2,123,136.94242691,123K,K,7,1,1,2,F,44,0,0
2,123,136.94242691,123K,K,7,2,1,2,T,31,0,N
2,124,228.72896638,124D,D,7,1,1,15,L,44,0,0
2,124,228.72896638,124D,D,7,2,1,15,L,44,0,0
2,125,498.23058642,125E,E,7,1,1,1,F,2,9,R
2,125,498.23058642,125E,E,7,2,2,9,9,56,0,0
2,125,498.23058642,125E,E,7,3,1,1,9,2,9,9
2,126,514.84010212,126F,F,7,1,1,1,F,51,0,0
2,127,216.14375737,127F,F,7,1,2,1,B,3,2,F
2,127,216.14375737,127F,F,7,2,1,1,B,2,1,F
2,128,479.85402837,128G,G,7,1,1,1,9,50,0,0
2,128,479.85402837,128G,G,7,2,1,1,9,56,0,0
2,129,154.35869454,129D,D,7,1,1,3,F,2,1,B
2,129,154.35869454,129D,D,7,2,2,1,R,3,4,F
2,129,154.35869454,129D,D,7,3,2,1,R,3,4,L
2,130,489.52496516,130F,F,7,1,1,3,F,50,0,0
2,130,489.52496516,130F,F,7,2,1,3,L,44,0,0
2,130,489.52496516,130F,F,7,3,1,3,T,31,0,N
2,131,538.56413338,131D,D,7,1,1,1,9,50,0,0
2,131,538.56413338,131D,D,7,2,1,1,B,60,0,0
2,131,538.56413338,131D,D,7,3,1,1,T,31,0,N
2,132,67.320516673,132K,K,7,1,1,15,F,42,0,0
2,133,126.40839407,133K,K,7,1,1,15,9,51,0,0
2,133,126.40839407,133K,K,7,2,1,15,9,56,0,0
2,133,126.40839407,133K,K,7,3,1,15,9,41,0,0
2,133,126.40839407,133K,K,7,4,1,15,9,41,0,0
2,133,126.40839407,133K,K,7,5,1,15,9,41,0,0
2,133,126.40839407,133K,K,7,6,1,15,9,41,0,0
2,133,126.40839407,133K,K,7,7,1,15,9,41,0,0
2,133,126.40839407,133K,K,7,8,1,15,9,42,0,0
2,133,126.40839407,133K,K,7,9,1,15,9,42,0,0
2,133,126.40839407,133K,K,7,10,1,15,9,42,0,0
2,133,126.40839407,133K,K,7,11,1,15,9,42,0,0
2,134,692.21601207,134G,G,7,1,1,15,F,56,0,0
2,135,62.981787039,135B,B,7,1,1,2,F,2,22,F
2,135,62.981787039,135B,B,7,2,2,22,R,56,0,0
2,136,531.87770896,136F,F,7,1,1,1,F,2,3,L
2,136,531.87770896,136F,F,7,2,2,3,R,56,0,0
2,137,118.80048146,137K,K,7,1,1,2,L,2,1,F
2,137,118.80048146,137K,K,7,2,1,2,L,2,1,L
2,138,144.24431412,138F,F,7,1,1,1,R,42,0,0
2,138,144.24431412,138F,F,7,2,1,1,R,42,0,0
2,138,144.24431412,138F,F,7,3,1,1,U,61,0,0
2,138,144.24431412,138F,F,7,4,1,1,L,31,0,N
2,138,144.24431412,138F,F,7,5,1,1,9,42,0,0
2,139,29.15823474,139B,B,7,1,1,3,R,2,15,F
2,140,1050.767425,140G,G,7,1,1,9,R,2,9,F
2,141,398.06360803,141E,E,7,1,1,4,B,2,1,F
2,141,398.06360803,141E,E,7,2,2,1,B,3,1,F
2,142,1598.9078852,142H,H,7,1,1,15,R,2,3,F
2,143,239.79367553,143E,E,7,1,1,1,R,2,2,F
2,144,550.10571292,144G,G,7,1,1,15,9,76,0,0
2,144,550.10571292,144G,G,7,2,1,15,9,50,0,0
2,144,550.10571292,144G,G,7,3,1,15,9,50,0,0
2,144,550.10571292,144G,G,7,4,1,15,9,31,0,N
2,145,29.15823474,145B,B,7,1,1,11,9,31,0,N
2,146,685.59689779,146E,E,7,1,1,11,F,50,0,0
2,146,685.59689779,146E,E,7,2,1,11,9,41,0,0
2,146,685.59689779,146E,E,7,3,1,11,F,44,0,0
2,146,685.59689779,146E,E,7,4,1,11,R,31,0,N
2,147,68.056037822,147J,J,7,1,1,2,F,2,1,F
2,147,68.056037822,147J,J,7,2,1,2,R,2,1,L
2,147,68.056037822,147J,J,7,3,1,2,F,44,0,0
2,147,68.056037822,147J,J,7,4,2,1,F,44,0,0
2,148,365.5476082,148F,F,7,1,1,2,9,56,0,0
2,501,0,501G,G,7,1,1,1,F,2,20,B
2,501,0,501G,G,7,2,1,1,N,32,0,N
3,1,27.919665629,"  1D",D,7,1,1,12,F,52,0,0
3,2,30.24517609,"  2D",D,7,1,1,3,F,2,9,F
3,3,34.471036516,"  3C",C,7,1,1,1,B,2,4,F
3,4,186.63824606,"  4E",E,7,1,1,5,F,71,0,0
3,5,23.825480908,"  5D",D,7,1,1,5,F,52,0,0
3,6,629.47775304,"  6H",H,7,1,1,2,L,56,0,0
3,7,30.073386198,"  7D",D,7,1,1,14,F,56,0,0
3,7,30.073386198,"  7D",D,7,2,1,14,L,31,0,N
3,8,132.65597173,"  8F",F,7,1,1,1,F,52,0,0
3,9,52.147147185,"  9E",E,7,1,1,3,F,56,0,0
3,10,70.981042362," 10F",F,7,1,1,1,F,2,9,B
3,11,21.172993546," 11F",F,7,1,1,U,9,2,2,L
3,11,21.172993546," 11F",F,7,2,1,U,9,2,2,L
3,11,21.172993546," 11F",F,7,3,2,2,T,31,0,N
3,12,21.172993546," 12F",F,7,1,1,9,F,2,9,R
3,12,21.172993546," 12F",F,7,2,1,9,R,2,9,L
3,13,17.720592818," 13D",D,7,1,1,9,L,2,19,F
3,14,78.166869685," 14F",F,7,1,1,19,F,2,9,B
3,14,78.166869685," 14F",F,7,2,2,9,F,3,9,B
3,15,48.520199244," 15F",F,7,1,1,13,B,2,9,F
3,16,48.520199244," 16F",F,7,1,1,9,F,2,9,L
3,16,48.520199244," 16F",F,7,2,2,9,R,3,21,L
3,17,33.309453048," 17E",E,7,1,1,9,L,2,19,F
3,18,45.339770735," 18F",F,7,1,1,3,F,2,3,R
3,18,45.339770735," 18F",F,7,2,1,3,F,57,0,0
3,18,45.339770735," 18F",F,7,3,1,3,F,42,0,0
3,19,23.231582239," 19C",C,7,1,1,13,B,2,5,F
3,19,23.231582239," 19C",C,7,2,2,5,B,3,2,F
3,19,23.231582239," 19C",C,7,3,3,2,B,4,1,F
3,20,38.814360564," 20D",D,7,1,1,1,F,52,0,0
3,21,24.304876678," 21C",C,7,1,1,9,F,71,0,0
3,21,24.304876678," 21C",C,7,2,1,9,F,71,0,0
3,21,24.304876678," 21C",C,7,3,1,9,F,59,0,0
3,22,131.59510164," 22E",E,7,1,2,3,B,3,9,F
3,22,131.59510164," 22E",E,7,2,1,4,B,2,3,F
3,22,131.59510164," 22E",E,7,3,1,4,F,56,0,0
3,23,22.02456919," 23C",C,7,1,1,4,R,2,9,F
3,24,36.797733406," 24D",D,7,1,1,5,R,2,U,L
3,25,44.40281351," 25F",F,7,1,1,9,F,2,9,L
3,26,44.40281351," 26F",F,7,1,1,9,L,2,2,F
3,27,53.189704891," 27D",D,7,1,1,3,F,56,0,0
3,27,53.189704891," 27D",D,7,2,1,3,U,63,0,0
3,27,53.189704891," 27D",D,7,3,1,3,T,31,0,N
3,28,234.62379466," 28F",F,7,1,1,3,B,2,18,F
3,29,68.427740602," 29F",F,7,1,1,3,F,2,3,F
3,30,68.427740602," 30F",F,7,1,1,2,L,2,4,F
3,30,68.427740602," 30F",F,7,2,1,2,R,52,0,0
3,30,68.427740602," 30F",F,7,3,1,2,R,71,0,0
3,31,66.070421771," 31E",E,7,1,1,2,F,2,1,B
3,31,66.070421771," 31E",E,7,2,2,1,F,3,5,B
3,32,89.932962008," 32F",F,7,1,1,5,F,2,4,L
3,33,42.45664478," 33D",D,7,1,1,2,F,71,0,0
3,34,187.27945808," 34F",F,7,1,1,24,L,2,2,R
3,34,187.27945808," 34F",F,7,2,2,2,L,56,0,0
3,35,55.926267508," 35F",F,7,1,1,4,F,56,0,0
3,35,55.926267508," 35F",F,7,2,1,4,B,56,0,0
3,36,55.926267508," 36F",F,7,1,1,3,B,2,9,F
3,37,13.975620659," 37C",C,7,1,1,14,F,52,0,0
