PSU,CASENO,RATWGT,AOPSVEH,CASEID,STRATIF,VERSION,VEHNO,MODELYR,MAKE,MODEL,BODYTYPE,VIN,TOWPAR,TRAVELSP,DRINKING,ALCTEST,SPLIMIT,MANEUVER,ACCTYPE,DRPRES,OCUPANTS,OCCFORMS,CURBWGT,CARGOWGT,TOWHITCH,DOCTRAJ,CONDTREE,ROLLOVER,FOVERIDE,ROVERIDE,ANGTHIS,ANGOTHER,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVCONFID,INSPTYPE,VINLNGTH,VINJSER,VINJURED,DRIVE,VTREAT,OTVEHWGT,OTBDYTYP,VAIS,DRUGS,EVALCLAS,SPECTEST,OBSNARC,SPECNARC,OBSDEPR,SPECDEPR,OBSSTIM,SPECSTIM,OBSHLUC,SPECHLUC,OBSCNAB,SPECCNAB,OBSPCP,SPECPCP,OBSINHL,SPECINHL,OBSOTH,SPECOTH,DRZIP,DRRACE,VEHUSE,ROLINTYP,ROLINLOC,ROLLOBJ,TRIPLOC,ROLINDIR,PREMOVE,PREEVENT,PRESTAB,CONSEQ
73,84,23.573199452,1," 84A",A,7,1,91,13,1,4,1LNCM81W4M,1,U,1,22,16,3,6,1,1,1,183,0,0,1,1,0,0,0,998,998,2,20,-19,-3,459,4,1,17,0,0,1,2,998,98,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,60466,U,0,0,0,0,0,0,1,12,U,U
73,85,211.40841074,1," 85E",E,7,1,88,12,13,5,1FAPP9598J,1,U,0,C,40,10,89,1,1,1,100,0,0,0,0,0,0,0,0,85,6,U,U,U,U,0,1,17,0,1,2,U,136,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46327,U,0,0,0,0,0,0,1,17,1,1
73,85,211.40841074,0," 85E",E,7,2,93,12,471,30,1FTCR10AXP,1,U,0,C,40,8,88,1,2,2,136,0,0,0,0,0,0,0,85,0,6,U,U,U,U,0,2,17,0,2,8,4,100,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46324,1,0,0,0,0,0,0,1,66,1,1
73,86,496.49387718,0," 86F",F,7,1,66,12,481,31,F10AK88000,1,U,0,C,48,6,1,1,1,1,227,9,0,0,1,0,0,0,998,998,1,7,-4,-6,87,3,1,11,0,1,8,4,998,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46410,1,0,0,0,0,0,0,10,3,1,4
73,87,675.80089077,0," 87G",G,7,1,88,12,471,30,1FTCR15T8J,1,U,0,C,72,1,98,1,1,1,147,0,0,1,0,1,0,0,315,0,1,18,13,11,347,1,1,17,0,1,8,4,134,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46342,1,0,7,1,2,2,1,10,15,0,0
73,87,675.80089077,1," 87G",G,7,2,93,12,17,4,1FACP52U0P,1,U,0,C,72,U,98,1,1,1,134,0,0,0,0,0,0,0,0,315,1,19,-19,0,105,1,1,17,0,0,2,0,147,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46347,U,0,0,0,0,0,0,5,61,U,U
73,88,42.083864631,0," 88K",K,7,1,79,20,9,2,1Q87G9L600,1,U,0,C,89,U,7,1,3,3,160,2,0,0,0,0,0,0,998,998,1,51,-50,-9,1935,1,1,13,0,3,1,3,998,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60438,1,0,0,0,0,0,0,1,9,U,U
73,89,63.484016174,0," 89C",C,7,1,78,12,4,2,9999999999,1,U,0,C,72,7,20,1,2,2,183,0,0,0,0,0,U,0,10,0,3,40,-39,7,1637,4,0,U,0,2,1,4,N,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46394,3,0,0,0,0,0,0,1,50,1,1
73,89,63.484016174,0," 89C",C,7,2,83,12,6,2,1FABP42F1D,1,0,0,C,72,1,22,1,1,1,167,0,0,0,0,0,0,U,0,10,3,44,44,0,1249,4,1,17,0,1,1,4,183,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46321,1,0,0,0,0,0,0,4,52,0,0
73,89,63.484016174,1," 89C",C,7,3,92,22,31,3,KL2TN2469N,1,U,0,C,72,7,98,1,1,1,98,0,0,0,0,0,0,0,190,340,6,U,U,U,U,0,1,17,0,1,2,4,167,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46327,3,0,0,0,0,0,0,1,62,1,1
73,90,808.36894754,0," 90F",F,7,1,84,18,15,4,9999999999,1,U,0,21,40,U,2,1,1,1,117,U,0,0,1,0,0,0,998,998,6,U,U,U,U,0,0,U,0,1,2,4,N,N,1,0,0,7,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,46323,U,0,0,0,0,0,0,1,6,U,U
73,91,2332.6019772,0," 91H",H,7,1,88,23,441,20,1GDDM15ZXJ,1,U,0,C,72,3,20,1,2,2,140,0,0,0,0,0,U,0,90,90,6,U,U,U,U,0,2,17,0,0,8,0,144,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46077,1,0,0,0,0,0,0,1,50,2,1
73,91,2332.6019772,0," 91H",H,7,2,93,20,20,2,9999999999,0,0,0,C,72,1,21,1,2,0,144,U,0,0,0,0,U,U,90,90,6,U,U,U,U,0,0,U,N,N,2,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46321,U,0,0,0,0,0,0,4,52,0,0
73,91,2332.6019772,0," 91H",H,7,3,87,49,38,9,9999999999,0,0,0,C,72,1,98,1,1,0,U,U,0,0,0,0,U,U,90,90,6,U,U,U,U,0,0,U,N,N,2,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53142,U,0,0,0,0,0,0,4,52,0,0
73,91,2332.6019772,0," 91H",H,7,4,94,14,15,4,9999999999,0,0,0,C,72,1,98,1,1,0,117,U,0,0,0,0,0,U,90,90,6,U,U,U,U,0,0,U,N,N,U,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4901,U,0,0,0,0,0,0,4,52,0,0
73,92,35.710450519,," 92B",B,7,1,88,86,881,63,9999999999,1,U,7,U,72,U,88,,,,,,,,,,,,,,,,,,,,,U,N,N,8,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46323,U,0,,,,,,1,66,U,U
73,92,35.710450519,0," 92B",B,7,2,89,37,32,4,1HGCA5526K,1,U,0,0,72,U,89,1,1,1,113,0,0,0,0,0,0,0,0,90,4,U,U,U,U,0,2,17,1,1,2,1,N,63,5,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,46307,1,0,0,0,0,0,0,1,17,U,U
73,93,51.636873402,1," 93J",J,7,1,91,13,1,4,9999999999,1,U,0,C,89,U,48,1,3,3,183,U,0,0,0,U,0,0,130,90,4,U,U,U,U,0,0,U,1,3,1,1,N,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60644,2,0,U,U,U,U,U,1,1,U,U
73,93,51.636873402,," 93J",J,7,2,91,84,899,68,9999999999,0,U,0,C,89,U,48,,,,,,,,,,,,,,,,,,,,,U,N,N,8,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78840,U,0,,,,,,1,60,U,U
73,94,46.063435284,0," 94K",K,7,1,86,12,4,2,1FABP4633G,1,U,1,14,56,3,69,1,2,2,140,0,0,0,0,0,0,0,90,225,1,19,-18,6,390,4,1,17,0,2,1,3,100,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46307,1,0,0,0,0,0,0,1,62,2,1
73,94,46.063435284,0," 94K",K,7,2,88,20,32,4,1Y1SK5144J,1,U,0,C,56,1,68,1,1,1,100,0,0,0,0,0,0,0,225,90,1,28,-18,-21,391,4,1,17,0,1,2,3,140,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46410,U,0,0,0,0,0,0,10,15,0,0
73,95,46.063435284,0," 95K",K,7,1,85,7,8,3,9999999999,1,U,0,C,48,3,24,1,1,1,109,0,0,0,0,0,U,0,90,90,3,24,-24,0,298,4,0,U,0,1,2,3,N,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46320,2,0,0,0,0,0,0,1,51,2,1
73,95,46.063435284,1," 95K",K,7,2,87,21,2,4,1G3HY5438H,1,U,0,C,48,1,25,1,3,3,151,0,0,0,0,0,0,U,90,90,3,17,17,0,1006,4,1,17,0,3,1,4,109,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46402,2,0,0,0,0,0,0,1,52,0,0
