PSU,CASENO,RATWGT,CASEID,STRATIF,VERSION,VEHFORMS,MONTH,YEAR,TIME,EVENTS,ATREAT,AAIS,AINJSER,AINJURED,ALCINV,DAYWEEK,DRGINV,MANCOLL,PSUSTRAT,ADMINSS,PEDSTUDY,FIRESTDY
2,83,132.17322535," 83F",F,7,1,6,94,1610,2,U,7,0,2,2,5,2,0,3,0,0,0
2,84,293.43366378," 84G",G,7,3,6,94,1020,2,0,0,0,0,2,6,2,4,3,0,0,0
2,85,166.93598362," 85E",E,7,1,6,94,1215,2,4,1,0,1,2,1,2,0,3,0,0,0
2,86,172.50112939," 86F",F,7,1,6,94,1315,3,3,2,0,2,2,5,2,0,3,0,0,0
2,87,172.50112939," 87F",F,7,2,6,94,245,1,4,1,0,1,2,4,2,5,3,0,0,0
2,88,670.53419387," 88H",H,7,1,5,94,600,1,0,0,0,0,2,6,2,0,3,0,0,0
2,89,58.522404662," 89K",K,7,1,6,94,753,1,3,2,0,2,2,6,2,0,3,0,0,0
2,90,86.917948253," 90E",E,7,2,6,94,530,1,4,1,0,1,2,7,2,4,3,0,0,0
2,91,199.39666792," 91G",G,7,1,6,94,1835,1,0,0,0,0,2,3,2,0,3,0,0,0
2,92,349.12458718," 92H",H,7,1,6,94,2035,1,0,0,0,0,2,7,2,0,3,0,0,0
2,93,100.695158," 93C",C,7,2,6,94,1457,3,4,1,0,1,2,4,2,0,3,0,0,0
2,94,105.9443458," 94E",E,7,1,6,94,U,1,U,7,0,1,2,3,2,0,3,0,0,0
2,95,109.47621302," 95F",F,7,1,6,94,1855,1,4,1,0,1,2,6,2,0,3,0,0,0
2,96,425.54819498," 96H",H,7,1,6,94,1915,1,0,0,0,0,2,3,2,0,3,0,0,0
2,97,29.15823474," 97A",A,7,1,4,94,915,3,1,1,1,1,2,3,1,0,3,0,0,0
2,98,413.95885205," 98E",E,7,2,7,94,1529,1,4,1,0,2,2,3,2,1,3,0,0,0
2,99,158.18012886," 99E",E,7,2,6,94,1732,1,4,1,0,2,1,6,2,1,3,0,0,0
2,100,362.87776299,100G,G,7,1,6,94,330,1,0,0,0,0,2,4,2,0,3,0,0,0
2,101,260.81643674,101F,F,7,3,7,94,1505,2,U,7,0,1,2,5,2,1,3,0,0,0
2,103,533.91280265,103G,G,7,1,7,94,2022,1,0,0,0,0,2,2,2,0,3,0,0,0
2,104,934.83050022,104H,H,7,2,7,94,1335,1,0,0,0,0,2,6,2,1,3,0,0,0
2,105,126.40839407,105K,K,7,1,7,94,1835,2,3,3,1,1,1,4,2,0,3,0,0,0
2,106,1242.2805217,106G,G,7,1,7,94,1435,2,0,0,0,0,2,6,2,0,3,0,0,0
2,107,49.60352611,107C,C,7,2,8,94,1115,2,4,1,0,2,2,5,2,4,3,0,0,0
2,108,260.78976621,108E,E,7,3,8,94,1757,3,4,2,0,2,2,3,2,6,3,0,0,0
2,109,194.36461036,109D,D,7,1,7,94,140,1,4,1,0,5,1,6,2,0,3,0,0,0
2,110,2396.0171765,110H,H,7,1,7,94,1409,1,0,0,0,0,2,3,2,0,3,0,0,0
2,111,116.0722511,111J,J,7,1,8,94,810,5,3,3,1,3,2,1,2,0,3,0,0,0
2,112,1937.4755297,112H,H,7,1,8,94,1600,1,0,0,0,0,2,7,2,0,3,0,0,0
2,113,118.80048146,113K,K,7,1,9,94,247,2,3,2,0,2,1,7,2,0,3,0,0,0
2,114,176.97215355,114C,C,7,2,8,94,1946,1,3,3,1,3,2,4,2,4,3,0,0,0
2,115,145.31518319,115C,C,7,1,9,94,2035,1,4,1,0,2,2,4,2,0,3,0,0,0
2,116,815.5594307,116F,F,7,1,9,94,2215,2,4,1,0,2,2,7,2,0,3,0,0,0
2,117,141.17131973,117E,E,7,2,9,94,1625,1,4,1,0,2,2,6,2,1,3,0,0,0
