PSU,CASENO,RATWGT,CASEID,STRATIF,VERSION,VEHNO,ACCSEQ1,OBJCONT1,DOF1,GAD1,SHL1,SVL1,TDD1,EXTENT1,ACCSEQ2,OBJCONT2,DOF2,GAD2,SHL2,SVL2,TDD2,EXTENT2,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,SDVL,SDVC1,SDVC2,SDVC3,SDVC4,SDVC5,SDVC6,SDVD,DOCCDC,TOWRES,WHEELBAS,ALTVEH,FIRE,FIREORIG,FUELTNK1,FUELTNK2,FUELLOC1,FUELLOC2,FUELCAP1,FUELCAP2,FUELDAM1,FUELDAM2,FUELEAK1,FUELEAK2,FUELTYP1,FUELTYP2,FUELGT2
2,43,107.1436164," 43J",J,7,1,1,2,12,F,Z,E,W,3,,,,,,,,,152,0,42,50,54,56,65,28,,,,,,,,,0,1,252,0,0,0,1,0,4,0,3,0,1,0,U,0,1,0,0
2,43,107.1436164," 43J",J,7,2,1,1,12,F,D,E,W,3,,,,,,,,,142,21,42,42,42,42,44,0,,,,,,,,,0,1,250,0,0,0,1,0,4,0,2,0,1,0,U,0,1,0,0
2,45,59.191216523," 45B",B,7,1,1,2,1,F,Z,A,W,4,,,,,,,,,154,0,5,20,35,54,82,25,,,,,,,,,0,1,247,0,0,0,1,0,1,0,3,0,1,0,U,0,1,0,0
2,45,59.191216523," 45B",B,7,2,1,1,71,F,D,E,W,4,,,,,,,,,179,25,28,48,61,68,88,0,,,,,,,,,0,1,338,0,0,0,1,0,5,0,2,0,1,0,U,0,1,0,0
2,46,462.2796418," 46F",F,7,2,1,1,12,F,D,L,W,1,,,,,,,,,154,3,4,5,7,7,1,-6,,,,,,,,,0,0,255,0,0,0,1,0,1,0,2,0,1,0,1,0,1,0,0
2,47,62.2590602," 47D",D,7,1,1,2,10,F,Y,E,W,2,,,,,,,,,157,28,28,28,26,19,14,-50,,,,,,,,,0,1,262,0,0,0,1,0,4,0,3,0,1,0,U,0,1,0,0
2,48,191.07520165," 48E",E,7,1,1,2,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,0,250,0,0,0,1,0,4,0,2,0,1,0,1,0,1,0,0
2,48,191.07520165," 48E",E,7,2,1,1,12,F,L,E,E,1,,,,,,,,,176,5,2,0,0,0,0,-71,,,,,,,,,0,0,350,0,0,0,1,0,5,0,4,0,1,0,1,0,1,0,0
2,49,197.44507665," 49F",F,7,1,1,76,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,U,266,0,0,0,1,0,4,0,2,0,1,0,1,0,1,0,0
2,51,107.97908126," 51F",F,7,2,1,3,6,B,Z,E,W,2,2,1,12,F,D,E,W,1,153,0,0,3,11,19,30,39,153,2,0,0,0,0,1,0,0,1,246,0,0,0,1,0,1,0,3,0,1,0,1,0,1,0,0
2,52,107.97908126," 52F",F,7,1,2,44,32,F,D,E,W,5,1,50,U,9,9,9,9,U,150,0,13,35,60,80,119,0,,,,,,,,,0,1,260,0,0,0,1,0,4,0,2,0,1,0,U,0,1,0,0
2,54,419.72865028," 54H",H,7,1,1,52,U,9,9,9,9,U,2,88,U,9,9,9,9,U,,,,,,,,,,,,,,,,,0,U,334,0,0,0,1,0,5,0,4,0,1,0,U,0,2,0,0
2,55,116.0722511," 55C",C,7,1,3,31,80,T,Z,D,O,3,2,61,12,F,L,W,N,3,,,,,,,,,,,,,,,,,0,1,303,0,0,0,1,0,4,0,4,0,1,0,1,0,1,0,0
2,57,418.62587397," 57G",G,7,1,1,2,4,R,F,E,W,2,2,2,2,R,Z,E,W,1,105,0,2,12,8,0,0,115,144,1,4,7,0,0,0,-136,0,1,250,0,0,0,2,0,5,0,2,0,1,0,1,0,1,0,0
2,59,22.27138149," 59F",F,7,1,4,51,3,R,Y,A,N,5,3,50,U,9,9,9,9,U,,,,,,,,,,,,,,,,,0,1,255,0,0,0,1,0,1,0,3,0,1,0,1,0,1,0,0
2,61,62.981787039," 61A",A,7,1,1,2,12,F,Y,E,W,5,2,31,U,9,9,9,9,U,146,110,76,58,39,22,11,-40,,,,,,,,,0,1,258,0,0,0,1,0,6,0,3,0,1,0,U,0,1,0,0
2,61,62.981787039," 61A",A,7,2,1,1,11,F,Y,E,W,4,3,3,U,9,9,9,9,U,168,106,91,82,49,26,9,-45,,,,,,,,,0,1,275,0,0,0,1,0,1,0,1,0,6,0,U,0,1,0,0
2,62,158.8800561," 62G",G,7,1,1,2,12,F,D,E,W,1,,,,,,,,,140,16,11,9,9,10,12,0,,,,,,,,,0,1,239,0,0,0,1,0,1,0,2,0,1,0,1,0,1,0,0
2,62,158.8800561," 62G",G,7,2,1,1,6,B,D,E,W,1,,,,,,,,,156,3,3,2,2,3,3,0,,,,,,,,,0,0,278,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2,63,278.18385621," 63H",H,7,1,1,51,U,9,9,9,9,U,2,44,4,R,Z,E,W,1,,,,,,,,,,,,,,,,,0,1,243,0,0,0,1,0,1,0,2,0,1,0,U,0,1,0,0
2,65,68.230269292," 65B",B,7,1,1,44,1,F,R,E,W,6,2,31,0,T,D,D,O,3,,,,,,,,,,,,,,,,,0,1,263,0,0,0,1,0,1,0,3,0,1,0,1,0,1,0,0
2,66,116.0722511," 66C",C,7,1,3,31,0,T,Y,D,O,3,2,44,U,9,9,9,9,U,,,,,,,,,,,,,,,,,0,1,269,0,0,0,1,0,4,0,3,0,1,0,1,0,1,0,0
2,67,127.76349182," 67F",F,7,1,1,2,3,R,F,E,W,2,2,2,3,R,B,E,W,1,125,0,2,5,11,28,23,95,154,5,6,6,3,3,0,-137,0,1,243,0,0,0,1,0,1,0,3,0,1,0,1,0,1,0,0
2,71,76.69946355," 71D",D,7,1,1,61,12,F,D,E,W,1,,,,,,,,,166,3,6,11,12,14,18,0,,,,,,,,,0,1,290,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2,72,235.39329725," 72E",E,7,1,1,42,12,F,R,E,E,9,6,42,U,9,9,9,9,U,,,,,,,,,,,,,,,,,0,1,338,0,0,0,1,0,5,0,4,0,1,0,1,0,1,0,0
2,74,124.39600006," 74E",E,7,1,1,2,6,B,Z,E,W,2,,,,,,,,,146,3,4,9,12,16,21,26,,,,,,,,,0,1,257,0,0,0,1,0,4,0,3,0,1,0,1,0,1,0,0
2,74,124.39600006," 74E",E,7,2,1,1,12,F,D,E,W,1,,,,,,,,,164,18,11,5,1,0,2,-21,,,,,,,,,0,1,266,0,0,0,1,0,4,0,2,0,1,0,1,0,1,0,0
2,75,128.54299017," 75F",F,7,1,2,60,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,1,290,0,0,0,1,0,4,0,4,0,1,0,1,0,1,0,0
2,76,285.37429164," 76G",G,7,1,1,45,12,R,F,E,S,2,,,,,,,,,,,,,,,,,,,,,,,,,0,1,273,0,0,0,1,0,4,0,2,0,1,0,1,0,1,0,0
2,77,116.0722511," 77J",J,7,1,1,31,0,T,D,D,O,3,,,,,,,,,,,,,,,,,,,,,,,,,0,1,262,0,0,0,1,0,4,0,2,0,1,0,1,0,1,0,0
2,78,126.40839407," 78K",K,7,1,1,31,0,T,D,D,O,5,,,,,,,,,,,,,,,,,,,,,,,,,0,1,298,0,0,0,1,0,5,0,4,0,1,0,1,0,1,0,0
2,80,250.18664436," 80G",G,7,1,1,2,3,R,F,E,W,2,,,,,,,,,115,0,3,5,9,16,1,183,,,,,,,,,0,1,333,0,0,0,1,0,5,0,4,0,1,0,1,0,1,0,0
2,80,250.18664436," 80G",G,7,2,1,1,12,F,Z,E,W,1,,,,,,,,,154,0,0,0,1,1,3,51,,,,,,,,,0,1,275,0,0,0,1,0,1,0,3,0,1,0,1,0,1,0,0
2,81,62.981787039," 81B",B,7,1,2,2,6,B,D,E,W,6,,,,,,,,,160,93,128,130,123,130,126,0,,,,,,,,,0,1,315,0,0,0,2,0,2,0,2,0,1,0,1,0,1,0,0
2,81,62.981787039," 81B",B,7,3,1,2,12,F,Y,E,W,6,,,,,,,,,148,53,40,29,15,9,2,-46,,,,,,,,,0,1,238,0,0,0,1,0,1,0,3,0,1,0,1,0,1,0,0
2,82,127.90911839," 82E",E,7,2,1,1,12,F,D,E,W,3,,,,,,,,,168,66,60,55,48,39,37,0,,,,,,,,,0,1,309,0,0,0,2,0,1,0,1,0,1,0,U,0,1,0,0
2,83,132.17322535," 83F",F,7,1,1,56,11,F,D,E,W,1,2,50,2,R,B,E,N,1,133,20,13,8,8,9,10,0,,,,,,,,,0,1,245,0,0,0,1,0,1,0,2,0,1,0,1,0,1,0,0
2,84,293.43366378," 84G",G,7,1,1,3,12,F,Z,E,W,1,,,,,,,,,148,0,0,0,2,3,14,34,,,,,,,,,0,1,258,0,0,0,1,0,6,0,3,0,1,0,1,0,1,0,0
2,84,293.43366378," 84G",G,7,2,2,3,9,L,F,W,N,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,290,0,0,0,1,0,1,0,2,0,1,0,1,0,1,0,0
2,85,166.93598362," 85E",E,7,1,1,51,12,F,C,E,N,1,2,45,9,L,F,E,N,1,145,0,2,8,14,8,0,20,,,,,,,,,0,1,252,0,0,0,1,0,4,0,3,0,1,0,1,0,1,0,0
2,89,58.522404662," 89K",K,7,1,1,51,12,F,Z,E,W,2,,,,,,,,,140,0,7,19,32,52,11,25,,,,,,,,,0,1,257,0,0,0,1,0,1,0,3,0,1,0,1,0,1,0,0
2,90,86.917948253," 90E",E,7,2,1,1,12,F,D,E,W,2,,,,,,,,,158,0,7,23,35,38,41,0,,,,,,,,,0,1,275,0,0,0,1,0,5,0,4,0,1,0,1,0,1,0,0
2,92,349.12458718," 92H",H,7,1,1,76,12,F,D,E,W,1,,,,,,,,,154,3,5,7,6,4,1,-33,,,,,,,,,0,1,269,0,0,0,1,0,4,0,3,0,1,0,1,0,1,0,0
