PSU,CASEID,CASENO,STRATIF,VERSION,ACCSEQ,VEHNUM,CLASS1,GADEV1,OBJCONT,CLASS2,GADEV2,RATWGT
2," 83J",83,J,6,1,1,2,F,42,0,0,88.428753952
2," 83J",83,J,6,2,1,2,T,31,0,N,88.428753952
2," 84C",84,C,6,1,1,4,F,51,0,0,104.67848224
2," 84C",84,C,6,2,1,4,T,31,0,N,104.67848224
2," 85F",85,F,6,1,1,1,R,2,15,F,288.4300251
2," 86H",86,H,6,1,1,12,9,2,9,F,706.98711103
2," 87A",87,A,6,1,1,9,9,2,1,F,29.78172331
2," 87A",87,A,6,2,2,1,F,50,0,0,29.78172331
2," 87A",87,A,6,3,2,1,F,51,0,0,29.78172331
2," 88E",88,E,6,1,1,9,F,56,0,0,85.200050641
2," 88E",88,E,6,2,1,9,F,44,0,0,85.200050641
2," 89F",89,F,6,1,1,2,F,2,4,B,169.30007282
2," 90H",90,H,6,1,1,2,U,88,0,0,414.98096233
2," 90H",90,H,6,2,1,2,U,88,0,0,414.98096233
2," 90H",90,H,6,3,1,2,F,51,0,0,414.98096233
2," 91C",91,C,6,1,1,3,F,71,0,0,88.428753952
2," 92D",92,D,6,1,1,1,F,42,0,0,86.666117364
2," 92D",92,D,6,2,1,1,F,43,0,0,86.666117364
2," 92D",92,D,6,3,1,1,F,42,0,0,86.666117364
2," 92D",92,D,6,4,1,1,L,42,0,0,86.666117364
2," 93F",93,F,6,1,1,3,B,2,1,F,384.45608818
2," 94H",94,H,6,1,1,2,R,50,0,0,942.36201312
2," 94H",94,H,6,2,1,2,R,56,0,0,942.36201312
2," 95D",95,D,6,1,1,1,T,31,0,N,67.5807991
2," 96E",96,E,6,1,1,2,F,56,0,0,57.275006828
2," 97F",97,F,6,1,1,3,F,44,0,0,113.81052891
2," 97F",97,F,6,2,1,3,R,42,0,0,113.81052891
2," 97F",97,F,6,3,1,3,R,42,0,0,113.81052891
2," 97F",97,F,6,4,1,3,R,31,0,N,113.81052891
2," 98G",98,G,6,1,1,2,F,2,3,L,143.31178757
2," 99B",99,B,6,1,1,13,F,2,1,F,29.78172331
2,100F,100,F,6,1,1,5,F,56,0,0,160.48742183
2,101G,101,G,6,1,1,9,F,56,0,0,202.08797484
2,102H,102,H,6,1,1,2,9,89,0,0,393.37977616
2,102H,102,H,6,2,1,2,9,56,0,0,393.37977616
2,103B,103,B,6,1,1,2,F,41,0,0,29.78172331
2,103B,103,B,6,2,1,2,F,41,0,0,29.78172331
2,103B,103,B,6,3,1,2,F,42,0,0,29.78172331
2,103B,103,B,6,4,1,2,F,42,0,0,29.78172331
2,103B,103,B,6,5,1,2,F,41,0,0,29.78172331
2,103B,103,B,6,6,1,2,L,42,0,0,29.78172331
2,103B,103,B,6,7,1,2,L,41,0,0,29.78172331
2,103B,103,B,6,8,1,2,L,42,0,0,29.78172331
2,103B,103,B,6,9,1,2,L,31,0,N,29.78172331
2,104D,104,D,6,1,1,15,F,42,0,0,66.202067364
2,105E,105,E,6,1,1,1,F,51,0,0,267.60657173
2,105E,105,E,6,2,1,1,F,56,0,0,267.60657173
2,105E,105,E,6,3,1,1,F,41,0,0,267.60657173
2,106G,106,G,6,1,1,2,R,2,25,F,669.59705956
2,107K,107,K,6,1,1,9,F,50,0,0,67.5807991
2,108D,108,D,6,1,1,4,R,2,15,F,39.697461989
2,108D,108,D,6,2,1,4,L,51,0,0,39.697461989
2,109D,109,D,6,1,1,3,F,51,0,0,39.697461989
2,110G,110,G,6,1,1,2,F,2,2,L,401.51773016
2,111A,111,A,6,1,1,9,R,2,15,F,82.495373568
2,111A,111,A,6,2,1,9,L,50,0,0,82.495373568
2,111A,111,A,6,3,1,9,B,3,9,L,82.495373568
2,112B,112,B,6,1,2,3,R,56,0,0,82.495373568
2,112B,112,B,6,2,1,2,F,2,3,R,82.495373568
2,113C,113,C,6,1,1,9,9,88,0,0,99.657442168
2,113C,113,C,6,2,1,9,9,31,0,N,99.657442168
2,114E,114,E,6,1,1,9,9,41,0,0,500.28576
2,114E,114,E,6,2,1,9,9,42,0,0,500.28576
2,114E,114,E,6,3,1,9,9,31,0,N,500.28576
2,115E,115,E,6,1,1,9,F,60,0,0,122.00765292
2,115E,115,E,6,2,1,9,R,44,0,0,122.00765292
2,116F,116,F,6,1,1,2,R,2,14,F,242.44004985
2,116F,116,F,6,2,2,14,R,63,0,0,242.44004985
2,116F,116,F,6,3,2,14,F,63,0,0,242.44004985
2,116F,116,F,6,4,2,14,F,63,0,0,242.44004985
2,116F,116,F,6,5,2,14,F,63,0,0,242.44004985
2,116F,116,F,6,6,2,14,F,63,0,0,242.44004985
2,116F,116,F,6,7,2,14,R,88,0,0,242.44004985
2,116F,116,F,6,8,2,14,F,51,0,0,242.44004985
2,117G,117,G,6,1,1,9,F,2,9,L,305.28385426
2,118H,118,H,6,1,1,3,F,2,1,F,594.25848741
2,119E,119,E,6,1,1,1,F,50,0,0,104.11817173
2,119E,119,E,6,2,1,1,L,56,0,0,104.11817173
2,119E,119,E,6,3,1,1,L,60,0,0,104.11817173
2,119E,119,E,6,4,1,1,L,60,0,0,104.11817173
2,120G,120,G,6,1,1,9,F,56,0,0,260.52133619
2,121G,121,G,6,1,1,3,R,50,0,0,260.52133619
2,121G,121,G,6,2,1,3,R,42,0,0,260.52133619
2,121G,121,G,6,3,1,3,L,31,0,N,260.52133619
2,122H,122,H,6,1,1,5,F,50,0,0,507.1248054
2,122H,122,H,6,2,1,5,F,56,0,0,507.1248054
2,123K,123,K,6,1,1,13,F,68,0,0,73.212532358
2,124K,124,K,6,1,1,15,F,42,0,0,67.5807991
2,125F,125,F,6,1,1,1,F,2,1,F,239.75101851
2,126H,126,H,6,1,1,1,F,2,1,F,587.66725096
2,127D,127,D,6,1,1,1,L,42,0,0,63.513436191
2,128C,128,C,6,1,1,12,L,41,0,0,42.988299286
2,128C,128,C,6,2,1,12,F,50,0,0,42.988299286
2,128C,128,C,6,3,1,12,T,31,0,N,42.988299286
2,129E,129,E,6,1,1,5,F,50,0,0,215.8035919
2,129E,129,E,6,2,1,5,L,50,0,0,215.8035919
2,129E,129,E,6,3,1,5,L,60,0,0,215.8035919
