PSU,CASEID,CASENO,STRATIF,RECNO,VERSION,VEHNO,OCCFORMS,VEHROLE,TOWAWAY,MODELYR,MAKE,MODEL,BODYTYPE,TOWHITCH,CABCONF,SEATCAP,DROMEDRY,AXLESP,AXLEST1,AXLEST2,AXLEST3,BRAKETY,GVWR,VEHSEQ1,VEHSEQ2,VEHSEQ3,VEHSEQ4,OBJCONT1,OBJCONT2,OBJCONT3,OBJCONT4,DOF1,DOF2,DOF3,DOF4,GAD1,GAD2,GAD3,GAD4,SHL1,SHL2,SHL3,SHL4,SVL1,SVL2,SVL3,SVL4,TDD1,TDD2,TDD3,TDD4,EXTENT1,EXTENT2,EXTENT3,EXTENT4,ACCSEQ1,ACCSEQ2,ACCSEQ3,ACCSEQ4,VIN,REGISTRA,SPECUSE,ODOMETER,PCINTEG,PCINTRU,MAGINTRU,FIRE,IMPTYPE,OTHROLE,ROLLOVER,JACKNIFE,SAFETYB,HAZCARGO,CURBWGT,CARGOWGT,SOURCWGT,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,TRAVELSP,VEHRF1,VEHRF2,VEHRF3,DRIVE,VAIS,OTVEHWGT,SHORT,VINJSER,VINJURED,VINLNGTH,VTREAT,PSUWGT,NATWGT,RATWGT,WHEELSHT,WHEELLNG
85,037M,37,M,3,5,2,2,2,1,71,30,32,2,0,0,4,0,0,0,0,0,0,0,1,,,,1,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,1112756177,1,0,U,U,U,U,0,4,1,0,0,0,0,18,U,U,3,U,U,U,U,,,,,,,,,U,0,0,0,1,7,U,0,0,1,10,U,5.93,82.46,73.56,94.5,95.3
85,038T,38,T,3,5,1,2,1,2,73,12,6,6,0,0,6,0,0,0,0,0,0,0,1,,,,2,,,,11,,,,F,,,,Z,,,,E,,,,W,,,,01,,,,1,,,,3J74S20633,2,0,53,1,1,0,0,1,2,0,0,0,0,43,0,0,1,10,-9,3,160,185,0,0,0,2,4,8,33,U,3,0,0,1,0,25,0,0,0,11,6,5.93,82.46,70.75,121.0,U
85,038T,38,T,3,5,2,1,3,2,71,12,8,2,0,0,4,0,0,0,0,0,0,0,1,3,2,,1,51,49,,2,12,11,,R,F,F,,Y,Z,R,,E,E,W,,W,W,N,,02,02,03,,1,3,2,,1K91T24445,1,0,31,1,3,1,0,3,1,0,0,0,0,25,0,0,1,17,-8,-15,139,246,0,0,11,17,0,0,,U,0,0,0,1,1,43,0,0,1,11,5,5.93,82.46,70.75,103.0,109.9
85,039V,39,V,3,5,1,1,1,2,81,7,8,3,0,0,5,0,0,0,0,0,0,0,1,,,,2,,,,1,,,,F,,,,R,,,,E,,,,E,,,,02,,,,1,,,,1B3BL24BOB,1,0,10,1,1,0,0,1,1,0,0,0,0,22,0,0,1,26,-24,-11,219,154,0,1,1,7,29,29,,U,0,0,0,1,1,22,0,0,1,17,6,41.50,577.06,510.78,U,U
85,039V,39,V,3,5,2,2,1,2,75,49,32,2,0,0,4,0,0,0,0,0,0,0,1,,,,1,,,,11,,,,F,,,,L,,,,E,,,,W,,,,02,,,,1,,,,TE31002952,1,0,104,1,1,0,0,1,1,0,0,0,0,22,0,0,1,25,-23,11,429,157,25,31,25,18,11,3,,U,0,0,0,1,1,22,0,0,2,10,4,41.50,577.06,510.78,93.3,U
85,040D,40,D,3,5,1,1,1,1,U,U,79,50,0,4,30,0,0,0,0,0,0,0,1,,,,71,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,9999999999,U,U,U,U,U,U,0,1,7,0,0,0,0,U,U,U,4,U,U,U,U,,,,,,,,,U,0,0,0,8,U,998,0,0,0,0,U,11.33,157.54,166.90,U,U
85,041V,41,V,3,5,1,1,1,2,79,20,4,3,0,0,4,0,0,0,0,0,0,0,1,2,,,2,2,,,11,10,,,F,L,,,L,B,,,E,M,,,E,W,,,01,01,,,1,2,,,1B0809Y201,1,0,17,1,1,0,0,1,2,0,0,0,0,20,0,0,1,15,-14,4,107,155,18,5,1,0,0,0,,U,0,0,0,1,1,28,0,0,1,13,4,14.17,197.03,174.40,94.3,97.3
85,041V,41,V,3,5,2,1,2,2,75,20,12,3,0,0,4,0,0,0,0,0,0,0,1,2,,,1,1,,,3,3,,,R,R,,,F,B,,,E,E,,,W,W,,,02,02,,,1,2,,,1R07B52153,1,0,72,1,1,0,0,3,1,0,0,0,0,28,0,0,1,11,-3,-10,100,154,0,1,1,5,20,27,,U,0,0,0,1,1,20,0,0,1,13,4,14.17,197.03,174.40,97.0,U
85,042W,42,W,3,5,1,1,1,2,75,30,36,3,0,0,4,0,0,0,0,0,0,0,1,,,,2,,,,1,,,,F,,,,D,,,,E,,,,W,,,,01,,,,1,,,,1753390081,1,0,88,1,1,0,0,1,2,0,0,0,0,18,0,0,5,U,U,U,U,,,,,,,,,U,0,0,0,2,1,30,0,0,1,10,6,28.34,394.07,487.99,94.5,U
85,042W,42,W,3,5,2,1,2,2,77,12,3,2,0,0,19,0,0,0,0,0,0,0,1,2,,,1,40,,,U,U,,,9,9,,,9,9,,,9,9,,,9,9,,,99,99,,,1,2,,,7R03Z13386,1,0,U,U,U,U,0,2,1,0,0,0,0,30,0,0,5,U,U,U,U,,,,,,,,,U,0,0,0,1,0,18,0,0,0,11,6,28.34,394.07,487.99,96.2,U
85,043M,43,M,3,5,1,2,1,1,76,84,82,72,0,2,55,0,2,8,8,8,1,5,1,,,,2,,,,2,,,,R,,,,F,,,,W,,,,N,,,,01,,,,1,,,,D1035FCA13,1,0,75,1,1,0,0,3,2,0,0,0,0,84,U,U,3,U,U,U,U,,,,,,,,,U,0,0,0,8,0,31,0,0,0,13,6,5.79,80.51,71.82,U,U
85,043M,43,M,3,5,2,3,2,1,75,7,1,2,0,0,6,0,0,0,0,0,0,0,1,,,,1,,,,8,,,,L,,,,F,,,,M,,,,S,,,,01,,,,1,,,,LH23C5B190,1,0,83,1,1,0,0,2,2,0,0,0,0,31,0,0,3,U,U,U,U,,,,,,,,,U,0,0,0,1,0,84,0,0,0,13,6,5.79,80.51,71.82,111.0,U
85,044W,44,W,3,5,1,1,1,3,75,14,10,4,0,0,6,0,0,0,0,0,0,0,1,2,3,,31,40,39,,U,U,U,,9,9,9,,9,9,9,,9,9,9,,9,9,9,,99,99,99,,1,2,3,,5H04H52420,1,0,U,U,U,U,0,3,6,0,0,0,0,43,U,U,5,U,U,U,U,,,,,,,,,U,0,0,0,1,U,998,0,0,0,11,U,20.25,281.58,348.69,114.0,118.0
85,045M,45,M,3,5,1,1,1,1,67,23,83,71,0,1,40,0,2,8,8,8,2,4,1,,,,2,,,,1,,,,F,,,,D,,,,L,,,,W,,,,01,,,,1,,,,9999999999,1,0,203,1,1,0,0,1,2,0,0,0,0,94,3,2,3,U,U,U,U,,,,,,,,,U,0,0,0,8,0,23,0,0,0,0,6,6.29,87.46,78.02,U,U
