PSU,CASEID,CASENO,STRATIF,RECNO,VERSION,VEHNO,OCUPANTS,DRPRES,MONDRIVE,MILEVEH,MILETOT,TYPEOP,BMCSREG,DRCLASS,DRTRAIN,FREQDRIV,PRIORLAT,PRIORMID,PRIOREAR,AVOIDMAN,ACC12MO,VIOLSP,VIOLDWI,VIOLRECK,VIOLSUSP,VIOLROW,VIOLCLOS,VIOLSIGN,VIOLOTH,VIOLUNK,DRINKING,ALCTEST,LSOURCE,LCOMPL,LSTATUS,LTYPCOMP,LREST,LRESTADD,PREVSPD,PREVOTH,PREVDWI,PREVSUS,PREVACC,LANES,MEDIANT,MEDIANW,ACCESS,TRAFFLOW,HPMS,SHOULDLT,SHOULDRT,ALIGNMNT,GRADE,SURTYPE,SURCOND,TRAFCONT,TRCTLFCT,SPLIMIT,DRIRF1,DRIRF2,DRIRF3,ENVRF1,ENVRF2,ENVRF3,PSUWGT,NATWGT,RATWGT
51,225M,225,M,4,5,2,1,1,61,70,20,0,0,0,8,2,31,22,21,0,0,0,0,0,0,0,0,0,0,0,0,C,U,U,U,U,U,U,U,U,U,U,U,6,1,5,3,1,,0,0,1,1,2,1,50,3,35,29,0,0,0,0,0,13.19,197.47,172.20
51,226T,226,T,4,5,1,3,1,U,U,U,0,0,0,U,U,2,0,0,0,U,0,0,0,0,1,0,0,1,0,1,C,0,0,1,1,0,0,U,U,U,U,U,2,0,0,3,0,,4,6,1,1,2,1,21,3,30,29,0,0,0,0,0,13.19,197.47,195.43
51,226T,226,T,4,5,2,2,1,U,U,U,0,0,0,U,U,2,0,0,U,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,2,0,0,0,0,2,0,0,3,0,,6,4,1,1,2,1,0,0,30,0,0,0,0,0,0,13.19,197.47,195.43
51,227W,227,W,4,5,1,1,1,61,80,50,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,C,1,1,2,4,1,0,0,0,0,0,0,5,0,0,3,0,,0,0,1,1,2,2,1,3,35,29,0,0,0,0,0,46.17,691.21,600.28
51,227W,227,W,4,5,2,1,1,61,6,180,0,0,0,8,1,22,21,16,1,0,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,2,0,0,0,2,3,0,0,3,0,,6,0,1,1,2,2,1,3,30,0,0,0,0,0,0,46.17,691.21,600.28
51,228Z,228,Z,4,5,1,1,1,U,U,U,0,0,0,U,U,U,U,U,0,U,0,0,0,0,0,0,0,1,0,0,C,1,1,2,4,1,0,0,0,0,0,0,5,1,2,3,1,,0,0,1,1,2,2,1,3,45,0,0,0,0,0,0,535.00,8009.49,7142.93
51,228Z,228,Z,4,5,2,2,1,U,U,U,0,0,0,U,U,1,0,0,0,U,0,0,0,0,0,0,0,0,0,0,C,2,U,U,U,U,U,U,U,U,U,U,5,1,2,3,1,,0,0,1,1,2,2,1,3,45,0,0,0,0,0,0,535.00,8009.49,7142.93
51,229F,229,F,4,5,1,1,1,U,U,U,0,0,0,U,U,1,0,0,U,U,0,0,0,0,0,0,0,1,0,0,C,1,0,2,4,0,0,0,0,0,0,0,4,0,0,3,0,,0,2,1,1,2,1,28,3,30,33,0,0,0,0,0,7.46,111.68,123.54
51,229F,229,F,4,5,2,2,1,U,U,U,0,0,0,U,U,2,0,0,0,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,1,0,0,0,1,4,0,0,3,0,,0,0,1,1,2,1,28,3,30,0,0,0,0,0,0,7.46,111.68,123.54
51,230S,230,S,4,5,1,1,1,U,U,U,0,0,0,U,U,14,15,14,0,U,0,0,0,0,0,0,0,0,0,0,D,1,U,2,4,7,0,0,0,0,0,3,4,0,0,3,0,,1,1,1,3,2,1,28,3,35,25,35,0,0,0,0,8.52,127.55,81.50
