H01,H02,H02A,H02B,H03,H05,H07,H08,H09,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V32
77,268I,268,I,3,3,1,22.17,872.53,1,1,2,79,2,0,54,2,1,0,39,12,F,L,E,E,09,40,0,R,Z,A,O,01,F60CCEA375,1,0,25,1,4,2,0,1,6,1,0,0,52,15,2,1,96,96,96,U,0,0,1,0
77,269J,269,J,3,3,1,88.67,3490.12,1,1,1,62,2,0,53,2,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
77,269J,269,J,3,3,2,88.67,3490.12,1,2,1,75,9,37,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
77,270N,270,N,3,3,1,177.33,6980.24,1,1,1,77,3,12,3,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
77,270N,270,N,3,3,2,177.33,6980.24,1,2,1,77,3,18,3,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,
77,271I,271,I,3,3,1,37.58,1479.41,1,1,2,73,9,22,2,0,0,0,2,11,F,Y,E,W,02,,,,,,,,3Z64A63857,1,0,117,1,1,0,0,1,2,0,0,0,47,0,2,2,16,-14,8,261,0,0,0,0
77,271I,271,I,3,3,2,37.58,1479.41,2,2,3,79,2,0,51,0,0,0,1,2,R,Y,E,W,03,,,,,,,,E14HHFE200,1,0,16,1,3,3,0,3,1,0,0,0,39,0,0,2,18,-9,-16,281,0,0,1,0
77,272K,272,K,3,3,1,12.03,473.41,4,1,2,80,25,5,43,0,0,0,44,12,F,L,E,E,02,44,12,L,D,E,S,01,J0M93AG728,1,0,10,1,1,0,0,1,6,0,0,0,27,0,0,1,96,96,96,U,1,1,3,1
77,273N,273,N,3,3,1,300.67,11835.27,1,1,1,72,1,35,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
77,273N,273,N,3,3,2,300.67,11835.27,1,2,1,77,2,24,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
77,274J,274,J,3,3,1,97.67,3844.39,1,1,1,78,2,55,3,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
77,274J,274,J,3,3,2,97.67,3844.39,1,1,1,80,1,0,50,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
77,275L,275,L,3,3,1,7.81,307.55,1,1,2,80,16,19,2,0,0,0,2,12,F,Y,E,W,01,,,,,,,,RA42382594,1,0,3,1,1,0,0,1,2,0,0,0,25,0,0,2,19,-19,0,88,0,0,1,0
77,275L,275,L,3,3,2,7.81,307.55,1,2,1,75,1,6,2,0,0,0,1,7,L,F,E,N,02,,,,,,,,1H57H5R470,1,0,95,1,1,0,0,2,1,0,0,0,40,0,0,2,12,10,6,277,0,0,0,0
77,276M,276,M,3,3,1,39.07,1537.75,1,1,2,77,12,8,2,0,0,0,31,12,F,Z,E,W,04,,,,,,,,SS22N7R248,1,0,54,1,1,0,0,1,6,0,0,0,42,0,0,1,96,96,96,U,0,0,1,0
77,277I,277,I,3,3,1,27.63,1087.40,1,1,2,75,2,22,3,0,0,0,2,1,F,Y,E,W,01,,,,,,,,5P64A12059,1,0,76,1,1,0,0,1,1,0,0,0,45,0,0,2,11,-9,-5,236,0,0,1,0
77,277I,277,I,3,3,2,27.63,1087.40,1,1,2,58,1,0,50,0,0,0,1,11,F,L,M,E,09,,,,,,,,3A58S12545,1,0,197,1,4,2,0,1,1,0,0,0,35,0,0,2,14,-12,7,88,0,0,1,0
77,278J,278,J,3,3,1,110.50,4349.61,1,1,1,80,2,0,56,1,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
77,278J,278,J,3,3,2,110.50,4349.61,1,1,1,73,1,6,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
77,279M,279,M,3,3,1,44.20,1739.84,1,1,2,72,10,2,2,0,0,0,2,1,F,Z,E,W,02,U,12,R,Z,E,S,01,6D47R20173,1,0,107,1,1,0,0,1,1,0,0,0,48,0,0,2,17,-16,-4,258,0,0,0,0
77,279M,279,M,3,3,2,44.20,1739.84,1,1,2,75,7,68,2,0,0,0,1,11,F,D,E,W,02,U,U,9,9,9,9,99,6M21K55108,1,0,120,1,1,0,0,1,1,0,0,0,23,0,0,2,35,-34,9,552,0,0,1,0
77,280J,280,J,3,3,1,36.25,1426.91,1,1,1,79,1,20,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
77,280J,280,J,3,3,2,36.25,1426.91,1,2,1,63,1,0,50,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
