PSU,CASENO,RATWGT,CASEID,STRATIF,VERSION,VEHNO,ACCSEQ1,OBJCONT1,DOF1,GAD1,SHL1,SVL1,TDD1,EXTENT1,ACCSEQ2,OBJCONT2,DOF2,GAD2,SHL2,SVL2,TDD2,EXTENT2,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,SDVL,SDVC1,SDVC2,SDVC3,SDVC4,SDVC5,SDVC6,SDVD,DOCCDC,TOWRES,WHEELBAS,ALTVEH,FIRE,FIREORIG,FUELTANK,PSUSTRAT
2,44,311.29616884,44H,H,5,2,1,1,11,F,Z,E,W,1,,,,,,,,,72,0,0,0,0,0,1,17,,,,,,,,,0,0,1580,1,0,0,1,3
2,45,48.264625259,45A,A,5,1,2,31,0,T,D,D,O,5,1,54,12,F,R,E,S,1,,,,,,,,,,,,,,,,,0,1,942,0,0,0,1,3
2,46,172.48659371,46E,E,5,2,1,1,12,F,D,E,W,2,,,,,,,,,57,10,11,11,9,7,4,0,,,,,,,,,0,1,990,0,0,0,1,3
2,47,207.92541258,47F,F,5,1,3,51,12,R,F,E,S,1,1,60,12,F,R,L,S,1,,,,,,,,,,,,,,,,,0,1,1081,0,0,0,1,3
2,49,57.133765798,49A,A,5,1,1,2,12,F,D,E,W,3,,,,,,,,,74,4,5,8,13,21,28,13,,,,,,,,,0,1,1315,0,0,0,1,3
2,49,57.133765798,49A,A,5,2,1,1,2,R,Y,A,W,3,,,,,,,,,,,,,,,,,,,,,,,,,0,1,934,0,0,0,1,3
2,51,441.73265771,51G,G,5,1,1,2,12,F,Y,E,W,1,2,2,9,L,B,E,W,1,57,5,5,3,2,1,1,-18,47,0,2,3,0,1,0,-62,0,1,939,0,0,0,1,3
2,51,441.73265771,51G,G,5,2,1,1,84,R,F,E,W,3,2,1,3,R,B,E,W,1,50,0,0,2,6,12,11,70,41,1,3,2,1,1,0,-76,0,1,1012,0,0,0,1,3
2,53,44.551961778,53B,B,5,1,1,2,12,F,Y,A,W,7,,,,,,,,,65,41,34,29,13,0,0,-18,,,,,,,,,0,1,1055,0,0,0,1,3
2,54,420.17619522,54E,E,5,2,1,1,12,F,D,E,W,1,,,,,,,,,60,0,3,3,4,5,3,0,,,,,,,,,0,1,1071,0,0,0,1,3
2,55,174.86980065,55G,G,5,1,2,31,0,L,D,A,O,3,1,50,U,9,9,9,9,U,,,,,,,,,,,,,,,,,0,1,1091,0,0,0,2,3
2,56,355.08618143,56H,H,5,1,1,2,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1159,0,0,0,1,3
2,56,355.08618143,56H,H,5,2,1,1,12,F,R,E,S,7,,,,,,,,,62,0,0,0,0,0,1,30,,,,,,,,,0,0,1049,0,0,0,1,3
2,58,232.40760602,58G,G,5,1,1,2,12,F,D,E,W,1,,,,,,,,,54,2,1,0,0,0,0,0,,,,,,,,,0,0,991,0,0,0,1,3
2,58,232.40760602,58G,G,5,2,1,1,6,B,D,E,W,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1005,0,0,0,1,3
2,59,111.96731616,59F,F,5,1,1,44,12,F,Y,E,W,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,973,0,0,0,1,3
2,60,111.96731616,60F,F,5,1,1,2,12,F,C,M,N,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1005,0,0,0,1,3
2,60,111.96731616,60F,F,5,2,1,1,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,U,1055,0,0,0,1,3
2,61,201.6157379,61G,G,5,1,1,56,12,F,D,L,W,1,,,,,,,,,58,1,1,0,0,0,0,0,,,,,,,,,0,1,1005,0,0,0,1,3
2,62,409.39580317,62H,H,5,1,2,88,0,F,L,E,E,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,965,0,0,0,1,3
2,63,20.62590823,63B,B,5,1,12,31,0,T,D,D,O,2,1,56,U,9,9,9,9,U,,,,,,,,,,,,,,,,,0,0,1034,0,0,0,1,3
2,64,67.428985326,64K,K,5,1,1,2,3,R,P,A,W,5,,,,,,,,,120,0,1,14,22,7,0,-9,,,,,,,,,0,1,937,0,0,0,1,3
2,64,67.428985326,64K,K,5,2,1,1,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1108,0,0,0,1,3
2,65,33.216248929,65K,K,5,1,1,60,12,F,D,E,W,1,,,,,,,,,56,5,6,6,6,6,5,0,,,,,,,,,0,1,973,0,0,0,1,3
2,66,1218.3698369,66G,G,5,1,1,56,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1024,0,0,0,1,3
2,68,79.432728938,68E,E,5,1,3,51,0,F,R,E,N,4,1,63,72,F,D,E,W,1,,,,,,,,,57,4,3,4,5,8,8,0,0,1,1005,0,0,0,1,3
2,69,80.240542637,69F,F,5,1,1,68,U,9,9,9,9,U,2,31,U,9,9,9,9,U,,,,,,,,,,,,,,,,,0,1,983,0,0,0,U,3
2,70,293.39045113,70H,H,5,1,1,2,11,F,Z,E,W,1,,,,,,,,,58,0,0,1,4,0,0,26,,,,,,,,,0,1,1012,0,0,0,1,3
2,70,293.39045113,70H,H,5,2,1,1,12,F,R,E,E,1,,,,,,,,,58,0,0,1,4,0,0,13,,,,,,,,,0,0,1229,0,0,0,1,3
2,71,33.216248929,71K,K,5,1,1,2,2,R,Y,E,W,2,,,,,,,,,99,0,0,1,1,4,4,56,,,,,,,,,0,1,1108,0,0,0,1,3
2,71,33.216248929,71K,K,5,2,1,1,11,F,D,E,W,1,,,,,,,,,58,3,5,4,5,4,2,0,,,,,,,,,0,1,942,0,0,0,1,3
2,72,67.428985326,72K,K,5,1,1,42,12,F,Y,E,W,2,,,,,,,,,66,16,22,22,14,5,0,-17,,,,,,,,,0,1,1127,0,0,0,1,3
2,73,82.127312417,73C,C,5,1,1,2,10,L,F,E,W,2,,,,,,,,,58,1,1,2,3,6,4,74,,,,,,,,,0,1,1010,0,0,0,1,3
2,73,82.127312417,73C,C,5,2,1,1,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,U,939,0,0,0,1,3
2,74,579.90193536,74E,E,5,1,1,2,11,F,D,E,W,3,,,,,,,,,57,0,2,6,10,15,22,0,,,,,,,,,0,1,957,0,0,0,1,3
2,74,579.90193536,74E,E,5,2,1,1,2,R,Y,E,W,3,,,,,,,,,99,0,2,3,9,4,1,25,,,,,,,,,0,1,1055,0,0,0,1,3
2,75,33.216248929,75D,D,5,1,1,51,12,F,R,E,E,2,,,,,,,,,60,0,0,3,5,7,16,26,,,,,,,,,0,1,942,0,0,0,1,3
2,76,156.56339947,76F,F,5,1,1,56,12,F,R,E,E,9,2,56,12,F,C,E,N,2,,,,,,,,,59,0,6,19,10,6,4,2,0,1,1012,0,0,0,1,3
2,78,572.45632808,78H,H,5,1,1,42,0,T,Y,D,W,3,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1055,0,0,0,1,3
