PSUWGT,NATWGT,PSU,CASEID,CASENO,STRATIF,VERSION,VEHNO,MODELYR,MAKE,MODEL,BODYTYPE,VIN,TOWPAR,TRAVELSP,DRINKDRG,ALCTEST,SPLIMIT,MANEUVER,ACCTYPE,DRPRES,OCUPANTS,OCCFORMS,CURBWGT,CARGOWGT,TOWHITCH,DOCTRAJ,CONDTREE,ROLLOVER,FOVERIDE,ROVERIDE,ANGTHIS,ANGOTHER,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVCONFID,INSPTYPE,VINLNGTH,VINJSER,VINJURED,DRIVE,VTREAT,OTVEHWGT,OTBDYTYP,VAIS
10,107.01,41,9C,9,C,1,1,84,48,31,2,JF1AW22B5E,1,30,0,C,55,1,52,1,2,2,21,U,0,1,0,0,0,0,290,180,6,U,U,U,U,0,0,17,0,2,U,U,N,N,7
10,107.01,41,9C,9,C,1,2,87,52,32,4,9999999999,1,30,0,C,55,U,52,1,5,5,24,U,0,0,0,0,0,0,180,290,6,U,U,U,U,0,0,U,0,3,2,3,N,N,2
46,492.246,41,10E,10,E,1,1,85,7,14,1,1B3BV55G9F,1,5,1,C,U,U,68,1,1,1,25,U,0,0,0,0,0,0,132,0,6,U,U,U,U,0,0,17,0,1,2,4,N,N,1
46,492.246,41,10E,10,E,1,2,77,20,1,2,1C37D7D439,1,30,0,C,U,U,69,1,1,1,37,U,0,0,0,0,0,0,0,132,6,U,U,U,U,0,0,17,0,1,1,4,N,N,1
16,171.216,41,11D,11,D,1,1,82,21,17,4,1G3AJ19R0C,1,25,0,C,30,1,1,1,1,1,28,U,0,1,1,0,0,0,998,998,6,U,U,U,U,0,1,17,1,1,2,3,998,98,3
10,107.01,41,12C,12,C,1,1,73,1,7,3,A3C037E700,0,5,0,C,30,U,88,1,2,0,29,U,0,0,0,0,0,0,0,270,6,U,U,U,U,0,0,13,N,N,1,N,N,N,N
10,107.01,41,12C,12,C,1,2,87,49,477,30,JT4RN63RXH,1,40,0,C,30,U,89,1,1,1,U,U,0,0,0,2,0,0,270,0,5,U,U,U,U,0,0,17,0,1,8,3,N,N,2
54,577.854,41,13F,13,F,1,1,66,9,2,2,RH23671800,1,5,0,C,30,U,89,1,1,1,34,U,0,0,0,0,0,0,0,90,6,U,U,U,U,0,0,12,1,1,1,4,N,N,4
54,577.854,41,13F,13,F,1,2,77,21,2,2,3N37K7M300,1,25,0,C,30,U,88,1,1,1,37,U,0,0,0,0,0,0,90,0,6,U,U,U,U,0,0,13,0,0,1,0,N,N,0
4.5,48.1545,41,14A,14,A,1,1,87,13,1,4,1LNBM81F9H,1,55,0,0,55,U,52,1,1,1,41,U,0,0,0,0,0,0,78,0,6,U,U,U,U,0,0,17,1,1,1,1,N,N,4
