PSU,CASEID,CASENO,STRATIF,VERSION,ACCSEQ,VEHNUM,CLASS1,GAD1,OBJCONT,CLASS2,GAD2,NATWGT,PSUWGT
2,38F,38,F,1,1,1,3,F,44,0,0,372.704,15.2
2,38F,38,F,1,2,1,3,F,41,0,0,372.704,15.2
2,38F,38,F,1,3,1,3,F,51,0,0,372.704,15.2
2,39D,39,D,1,1,1,1,F,58,0,0,61.3,2.5
2,39D,39,D,1,2,1,1,L,58,0,0,61.3,2.5
2,40D,40,D,1,1,1,1,N,31,0,N,61.3,2.5
2,41E,41,E,1,1,1,1,N,31,0,N,220.68,9
2,42G,42,G,1,1,1,9,R,2,9,F,1054.36,43
2,43B,43,B,1,1,1,2,F,42,0,0,24.52,1
2,43B,43,B,1,2,1,2,N,31,0,N,24.52,1
2,43B,43,B,1,3,1,2,T,42,0,0,24.52,1
2,44B,44,B,1,1,1,1,N,31,0,N,24.52,1
2,44B,44,B,1,2,1,1,T,42,0,0,24.52,1
2,45C,45,C,1,1,1,1,R,42,0,0,36.78,1.5
2,45C,45,C,1,2,1,1,F,42,0,0,36.78,1.5
2,46C,46,C,1,1,1,4,R,2,3,F,36.78,1.5
2,46C,46,C,1,2,1,4,L,63,0,0,36.78,1.5
2,47B,47,B,1,1,1,3,F,63,0,0,24.52,1
2,47B,47,B,1,2,1,3,R,63,0,0,24.52,1
2,47B,47,B,1,3,1,3,N,31,0,N,24.52,1
2,47B,47,B,1,4,1,3,9,56,0,0,24.52,1
2,48C,48,C,1,1,1,15,F,2,1,L,36.78,1.5
2,48C,48,C,1,2,1,15,F,3,12,L,36.78,1.5
2,48C,48,C,1,3,2,1,B,42,0,0,36.78,1.5
2,49E,49,E,1,1,1,3,F,2,2,F,220.68,9
2,50A,50,A,1,1,1,2,U,56,0,0,24.52,1
2,50A,50,A,1,2,1,2,N,31,0,N,24.52,1
2,51C,51,C,1,1,1,2,F,2,1,L,36.78,1.5
2,51C,51,C,1,2,1,2,N,31,0,N,36.78,1.5
2,52G,52,G,1,1,1,3,L,56,0,0,1054.36,43
2,52G,52,G,1,2,1,3,F,60,0,0,1054.36,43
2,52G,52,G,1,3,1,3,L,60,0,0,1054.36,43
2,53D,53,D,1,1,1,1,F,51,0,0,61.3,2.5
2,53D,53,D,1,2,1,1,F,42,0,0,61.3,2.5
2,54E,54,E,1,1,1,19,9,76,0,0,220.68,9
2,54E,54,E,1,2,1,19,N,31,0,N,220.68,9
2,54E,54,E,1,3,1,19,9,56,0,0,220.68,9
2,55F,55,F,1,1,1,9,F,2,9,B,372.704,15.2
2,56H,56,H,1,1,1,3,R,2,5,F,1544.76,63
2,57E,57,E,1,1,1,3,F,2,1,B,220.68,9
2,58G,58,G,1,1,1,13,F,50,0,0,1054.36,43
2,58G,58,G,1,2,1,13,L,52,0,0,1054.36,43
2,58G,58,G,1,3,1,13,F,68,0,0,1054.36,43
2,58G,58,G,1,4,1,13,F,42,0,0,1054.36,43
2,58G,58,G,1,5,1,13,F,42,0,0,1054.36,43
2,59F,59,F,1,1,1,3,F,2,1,F,372.704,15.2
2,59F,59,F,1,2,2,1,R,71,0,0,372.704,15.2
2,60B,60,B,1,1,1,1,F,2,1,R,24.52,1
2,60B,60,B,1,2,2,1,9,50,0,0,24.52,1
2,60B,60,B,1,3,1,1,F,60,0,0,24.52,1
2,60B,60,B,1,4,2,1,N,31,0,N,24.52,1
2,61D,61,D,1,1,1,15,F,2,13,F,61.3,2.5
2,61D,61,D,1,2,2,13,R,56,0,0,61.3,2.5
2,63C,63,C,1,1,1,4,F,2,1,F,36.78,1.5
2,63C,63,C,1,2,1,4,F,56,0,0,36.78,1.5
2,64C,64,C,1,1,1,12,9,2,9,F,36.78,1.5
2,64C,64,C,1,2,1,12,N,31,0,N,36.78,1.5
2,65G,65,G,1,1,1,1,F,76,0,0,1054.36,43
