ACCSEQDV,ACCTYPE,ALCTEST,ANGTHIS,ANGOTHER,AOPSVEH,WEATHER,BAGDEPFV,BAGDEPOV,BAREQSP,BODYTYPE,CARGOWGT,CASEID,CASENO,CONDTREE,CURBWGT,DVEST,DOCTRAJ,DRIVDIST,DRINKING,DRIVE,DRPRES,DRRACE,DRZIP,DVBASIS,DVCONFID,DVLAT,DVLONG,DVTOTAL,ENERGY,FOVERIDE,IMPACTSP,INSPTYPE,LANES,LGTCOND,MAKE,MANEUVER,MODEL,MODELYR,RATWGT,OCCFORMS,OCUPANTS,PREEVENT,PREMOVE,PREILOC,PREISTAB,PSU,ALIGNMNT,SURCOND,PROFILE,SURTYPE,RELINTER,ROLINDIR,ROLINLOC,ROLINTYP,ROLLOBJ,ROLLOVER,ROVERIDE,SPECOTH,SPLIMIT,STRATIF,TOWHITCH,TOWPAR,TRAFCONT,TRCTLFCT,TRAVELSP,TRAFFLOW,TRIPLOC,VEHNO,VEHUSE,VERSION,VIN,VINLNGTH,DRUGS,VINO,MCYCLDS,VEHWGT,VINMAKE,VINAMOD,SERTR,VINBT,ROOF1,ROOF2,ROOF3,ANTILOCK,FRTWHLDR,FOURWHDR,RESTYPE,CARBUR,FUELCODE,WGTCDTR,VEHTYPE,WHLDRWHL,DAYRUNLT,VINMODYR,OTVEHWGT,OTBDYTYP,VINJSER,VINJURED,VTREAT,VAIS
1,82,C,261,340,1,0,0,0,15,6,1," 15E",15,0,122,0,0,1,0,2,1,1,12572,1,1,16,3,16,417,0,998,3,2,5,20,1,16,94,72.852064182,1,1,15,11,2,1,2,1,1,1,2,1,0,0,0,0,0,0,0,89,E,0,1,2,2,U,3,0,2,0,9,1G1JC84T1R,17,0,4,,2623,CHEV,CAV,,SW,1,,,2,Y,N,P,F,G,,P,,N,94,122,4,0,1,4,1
U,92,C,180,0,0,0,0,0,U,31,U," 16F",16,0,227,6,1,1,0,8,1,U,12192,4,0,U,U,U,U,0,U,2,2,2,12,1,481,84,162.80233624,0,2,10,13,2,1,2,3,1,1,2,3,0,0,0,0,0,0,0,64,F,1,0,5,2,0,0,0,1,0,9,1FTHX2616E,17,0,4,,,FORD,COF,F25,PS,,,,,,,,,D,2,T,44,,84,998,98,N,N,N,N
1,93,C,0,180,0,0,0,0,29,2,7," 16F",16,0,144,0,1,1,0,1,1,1,12477,4,0,U,U,U,U,0,U,3,2,2,18,2,10,84,162.80233624,2,2,62,14,1,1,2,2,1,1,2,3,0,0,0,0,0,0,0,64,F,0,1,5,2,U,0,0,2,0,9,1G4AM47A2E,17,0,4,,3210,BUIC,RLM,,CP,,,,,,,,2,G,,P,,,84,227,31,0,2,4,1
1,13,C,998,998,0,0,0,0,13,6,0," 17H",17,0,133,0,0,1,0,2,1,1,12486,9,0,U,U,U,U,0,U,3,2,2,35,1,42,86,548.8623676,1,1,87,1,1,1,2,1,1,4,2,0,0,0,0,0,0,0,0,89,H,0,1,6,2,U,0,0,1,0,9,JN8HM05Y0G,17,0,5,,,NISS,ST4,CM4,SW,,,,,,,A,,G,1,T,44,,86,998,98,0,0,0,0
U,2,C,998,998,1,0,0,0,U,4,0," 18C",18,0,U,U,0,1,0,2,1,1,12528,0,0,U,U,U,U,0,U,0,2,2,35,U,43,93,48.393146937,1,1,5,14,4,3,2,3,3,1,2,0,0,0,0,0,0,0,0,64,C,0,1,0,0,U,0,0,1,0,9,1N4EB31P2P,17,0,4,,2268,NISS,SEX,,4D,1,,,1,Y,N,P,F,G,,P,,N,93,N,N,0,1,4,1
1,66,C,350,275,1,0,0,0,37,2,1," 19E",19,0,136,0,0,1,0,2,1,1,12406,1,1,-32,12,34,1241,0,998,3,2,2,20,98,19,88,143.02717085,1,1,5,14,2,4,2,3,3,4,2,0,0,0,0,0,0,0,0,89,E,0,1,0,0,U,0,0,1,0,9,1G1LV14W4J,17,0,4,,2495,CHEV,BER,,CP,1,2,,1,Y,N,P,F,G,,P,,N,88,132,6,0,1,6,1
1,66,C,275,350,1,0,6,0,32,6,0," 19E",19,0,132,0,0,1,0,U,1,U,12480,1,1,0,-35,35,544,0,998,3,2,2,48,9,34,96,143.02717085,1,1,62,14,1,1,2,2,3,2,2,0,0,0,0,0,0,0,0,89,E,0,1,0,0,U,0,0,2,0,9,4S3BK4258T,17,0,4,,,SUBA,,,,,,,,,,,,,,T,,,96,136,2,0,1,4,1
1,69,C,275,65,1,0,1,0,10,4,0," 20E",20,0,153,0,0,1,0,1,1,U,11050,1,4,5,-8,9,75,0,998,3,4,3,22,7,2,92,121.04538684,1,1,62,1,3,1,2,1,2,4,2,2,0,0,0,0,0,0,0,48,E,0,1,1,U,U,0,0,1,0,9,1G2HX53L9N,17,0,4,,3362,PONT,BVS,,4D,1,3,,7,Y,N,M,F,G,,P,,N,92,104,2,0,0,0,0
1,68,C,65,275,1,0,6,0,13,2,1," 20E",20,0,104,0,0,2,0,2,1,1,12561,1,4,2,-13,13,75,0,998,3,5,3,24,1,2,95,121.04538684,2,2,15,11,2,1,2,3,2,2,2,2,0,0,0,0,0,0,0,48,E,0,1,1,U,U,0,0,2,0,9,1G8ZF1284S,17,0,4,,2210,STRN,SC1,,CP,1,,,5,Y,N,E,F,G,,P,,N,95,153,4,0,2,4,1
1,83,C,353,225,0,0,0,0,U,31,2," 21F",21,0,203,U,1,1,0,8,1,1,12477,11,0,U,U,U,U,0,U,2,2,1,23,8,481,88,270.49984087,0,1,67,14,2,2,2,2,1,1,2,2,0,0,0,0,0,0,0,89,F,0,0,0,0,U,0,0,1,0,9,2GTFK24K3J,17,0,4,,,GMC,GM4,GK2,PK,1,,,3,,,A,,G,2,T,44,N,88,107,4,N,N,N,N
