ACCSEQ,CASEID,CASENO,CLASS2,CLASS1,GADEV1,GADEV2,OBJCONT,RATWGT,PSU,STRATIF,VEHNUM,VERSION
2," 23D",23,0,31,9,0,56,24.910664047,2,D,2,9
1," 24F",24,1,9,9,L,2,276.80734701,2,F,1,9
2," 24F",24,1,9,R,L,2,276.80734701,2,F,1,9
3," 24F",24,2,1,F,L,3,276.80734701,2,F,2,9
4," 24F",24,0,2,R,0,63,276.80734701,2,F,3,9
1," 25F",25,0,3,R,0,57,276.80734701,2,F,1,9
2," 25F",25,0,3,R,0,88,276.80734701,2,F,1,9
3," 25F",25,0,3,R,0,42,276.80734701,2,F,1,9
1," 26E",26,0,14,L,0,42,102.72238099,2,E,1,9
1," 27E",27,14,31,L,F,2,102.72238099,2,E,1,9
2," 27E",27,0,14,F,0,51,102.72238099,2,E,2,9
3," 27E",27,0,14,F,0,51,102.72238099,2,E,2,9
4," 27E",27,0,31,N,N,33,102.72238099,2,E,1,9
1," 28F",28,0,2,F,0,43,229.55346287,2,F,1,9
2," 28F",28,0,2,F,0,59,229.55346287,2,F,1,9
1," 29G",29,0,30,F,0,52,335.78717196,2,G,1,9
1," 30H",30,0,3,F,0,43,773.90324998,2,H,1,9
2," 30H",30,0,3,F,0,88,773.90324998,2,H,1,9
3," 30H",30,0,3,F,0,59,773.90324998,2,H,1,9
1," 31E",31,31,30,B,F,2,65.217478415,2,E,1,9
1," 32F",32,0,5,F,0,51,145.74134541,2,F,1,9
2," 32F",32,0,5,F,0,44,145.74134541,2,F,1,9
3," 32F",32,0,5,F,0,43,145.74134541,2,F,1,9
4," 32F",32,0,5,F,0,53,145.74134541,2,F,1,9
1," 33F",33,1,1,B,F,2,145.74134541,2,F,1,9
1," 34G",34,39,1,F,F,2,213.18813317,2,G,1,9
1," 35K",35,5,60,F,F,2,47.38139661,2,K,1,9
1," 36F",36,0,14,L,N,31,517.87517139,2,F,1,9
2," 36F",36,0,14,F,0,69,517.87517139,2,F,1,9
1," 37H",37,0,2,R,0,56,1745.9343597,2,H,1,9
2," 37H",37,0,2,R,0,56,1745.9343597,2,H,1,9
3," 37H",37,0,2,L,0,51,1745.9343597,2,H,1,9
4," 37H",37,0,2,F,0,41,1745.9343597,2,H,1,9
5," 37H",37,0,2,U,0,88,1745.9343597,2,H,1,9
1," 38K",38,14,3,F,F,2,23.809747041,2,K,1,9
1," 39D",39,9,3,F,9,2,103.84864843,2,D,1,9
2," 39D",39,9,3,R,L,2,103.84864843,2,D,1,9
1," 40E",40,5,2,R,F,2,516.3859123,2,E,1,9
2," 40E",40,0,2,F,0,56,516.3859123,2,E,1,9
1," 41H",41,39,4,R,F,2,3890.4154275,2,H,1,9
1," 42E",42,2,68,L,F,2,62.415164889,2,E,1,9
1," 43F",43,2,14,F,L,2,139.47902197,2,F,1,9
1," 44F",44,45,1,F,B,2,139.47902197,2,F,1,9
2," 44F",44,0,1,T,N,31,139.47902197,2,F,1,9
3," 44F",44,0,45,F,0,44,139.47902197,2,F,2,9
1," 45H",45,0,2,T,N,31,470.23149667,2,H,1,9
1," 46D",46,0,14,T,N,31,48.549446449,2,D,1,9
2," 46D",46,0,14,R,0,51,48.549446449,2,D,1,9
1," 47E",47,0,3,T,N,31,89.868132459,2,E,1,9
2," 47E",47,0,3,T,0,42,89.868132459,2,E,1,9
3," 47E",47,0,3,T,0,57,89.868132459,2,E,1,9
1," 48F",48,0,3,F,0,51,200.82810394,2,F,1,9
1," 49G",49,0,20,F,0,76,293.76817161,2,G,1,9
1," 50D",50,0,2,U,0,60,24.396706758,2,D,1,9
2," 50D",50,0,2,F,0,68,24.396706758,2,D,1,9
3," 50D",50,0,2,U,0,68,24.396706758,2,D,1,9
4," 50D",50,0,2,U,0,44,24.396706758,2,D,1,9
5," 50D",50,0,2,T,N,31,24.396706758,2,D,1,9
1," 51E",51,1,1,F,B,2,43.761380916,2,E,1,9
1," 52F",52,14,14,B,F,2,97.793454863,2,F,1,9
2," 52F",52,29,14,F,L,3,97.793454863,2,F,1,9
1," 53H",53,0,1,L,0,56,329.69518995,2,H,1,9
1," 54C",54,4,3,F,F,3,48.393146937,2,C,2,9
2," 54C",54,3,1,L,L,2,48.393146937,2,C,1,9
3," 54C",54,0,4,F,0,64,48.393146937,2,C,3,9
1," 55F",55,39,4,B,F,2,186.69495264,2,F,1,9
1," 56F",56,31,3,B,F,3,186.69495264,2,F,2,9
2," 56F",56,31,14,B,F,3,186.69495264,2,F,1,9
1," 57G",57,31,14,F,F,2,273.09442159,2,G,1,9
2," 57G",57,0,14,U,0,60,273.09442159,2,G,1,9
1," 58E",58,0,4,F,0,57,66.236501515,2,E,1,9
2," 58E",58,0,4,F,0,42,66.236501515,2,E,1,9
3," 58E",58,0,4,T,0,42,66.236501515,2,E,1,9
4," 58E",58,0,4,F,0,42,66.236501515,2,E,1,9
5," 58E",58,0,4,N,N,33,66.236501515,2,E,1,9
1," 59G",59,0,2,F,0,57,52.662544802,2,G,1,9
2," 59G",59,0,2,F,0,59,52.662544802,2,G,1,9
3," 59G",59,0,2,F,0,70,52.662544802,2,G,1,9
4," 59G",59,0,2,F,0,70,52.662544802,2,G,1,9
1," 60H",60,0,2,R,0,51,121.37364967,2,H,1,9
2," 60H",60,0,2,9,0,41,121.37364967,2,H,1,9
3," 60H",60,0,2,9,0,41,121.37364967,2,H,1,9
1," 61H",61,0,39,9,0,52,121.37364967,2,H,1,9
1," 62C",62,2,1,F,L,2,22.826956102,2,C,1,9
2," 62C",62,15,1,F,L,3,22.826956102,2,C,1,9
3," 62C",62,0,1,F,0,56,22.826956102,2,C,1,9
4," 62C",62,0,15,R,0,68,22.826956102,2,C,3,9
5," 62C",62,0,15,T,N,31,22.826956102,2,C,3,9
6," 62C",62,0,15,T,0,43,22.826956102,2,C,3,9
7," 62C",62,0,15,T,0,50,22.826956102,2,C,3,9
8," 62C",62,0,15,L,0,51,22.826956102,2,C,3,9
1," 63F",63,0,20,9,0,50,154.56101016,2,F,1,9
2," 63F",63,0,20,9,0,60,154.56101016,2,F,1,9
3," 63F",63,0,20,9,0,58,154.56101016,2,F,1,9
4," 63F",63,0,20,9,N,31,154.56101016,2,F,1,9
5," 63F",63,0,20,9,0,42,154.56101016,2,F,1,9
1," 64H",64,39,1,F,L,2,521.07803816,2,H,1,9
1," 65H",65,2,2,F,L,2,521.07803816,2,H,1,9
1," 66C",66,14,31,F,F,2,22.826956102,2,C,1,9
2," 66C",66,0,31,B,0,44,22.826956102,2,C,1,9
1," 67F",67,1,21,F,F,2,85.991731332,2,F,1,9
1," 68F",68,5,60,F,R,2,85.991731332,2,F,1,9
1," 69H",69,0,1,F,0,56,289.90754274,2,H,1,9
2," 69H",69,0,1,R,0,56,289.90754274,2,H,1,9
3," 69H",69,0,1,R,0,56,289.90754274,2,H,1,9
1," 70D",70,0,9,F,0,52,73.326741832,2,D,1,9
1," 71D",71,0,14,R,0,50,73.326741832,2,D,1,9
2," 71D",71,0,14,R,0,50,73.326741832,2,D,1,9
3," 71D",71,0,14,L,N,31,73.326741832,2,D,1,9
1," 72C",72,0,20,F,0,63,56.154312011,2,C,1,9
2," 72C",72,0,20,F,0,63,56.154312011,2,C,1,9
3," 72C",72,0,20,F,0,63,56.154312011,2,C,1,9
1," 73D",73,0,1,U,0,44,44.4020063,2,D,1,9
2," 73D",73,0,1,F,0,42,44.4020063,2,D,1,9
1," 74F",74,0,2,F,0,51,403.01168915,2,F,1,9
1," 76D",76,30,1,R,F,2,24.396706758,2,D,1,9
2," 76D",76,0,1,L,0,U,24.396706758,2,D,1,9
1," 77F",77,0,1,F,0,60,175.97761412,2,F,1,9
2," 77F",77,0,1,R,0,42,175.97761412,2,F,1,9
1," 80K",80,0,1,F,0,51,43.333739614,2,K,1,9
2," 80K",80,0,1,T,0,51,43.333739614,2,K,1,9
1," 81E",81,4,1,R,F,2,177.45559417,2,E,1,9
1," 82E",82,3,2,L,F,2,116.64175129,2,E,1,9
1," 83H",83,0,29,9,N,31,820.1860935,2,H,1,9
2," 83H",83,0,29,9,0,56,820.1860935,2,H,1,9
1," 84D",84,1,1,B,F,3,80.75309937,2,D,2,9
2," 84D",84,1,9,B,F,2,80.75309937,2,D,1,9
1," 85E",85,19,2,R,F,2,351.87491543,2,E,1,9
1," 86F",86,9,30,B,F,2,552.6568206,2,F,1,9
1," 87H",87,0,9,9,0,88,1863.1951975,2,H,1,9
2," 87H",87,0,9,9,0,88,1863.1951975,2,H,1,9
3," 87H",87,0,9,9,0,41,1863.1951975,2,H,1,9
4," 87H",87,0,9,9,0,88,1863.1951975,2,H,1,9
5," 87H",87,0,9,9,0,88,1863.1951975,2,H,1,9
6," 87H",87,0,9,9,0,41,1863.1951975,2,H,1,9
7," 87H",87,0,9,9,0,68,1863.1951975,2,H,1,9
1," 88C",88,3,2,L,F,2,22.826956102,2,C,1,9
2," 88C",88,3,2,L,R,2,22.826956102,2,C,1,9
1," 89E",89,5,2,B,F,2,315.16928743,2,E,1,9
1," 92C",92,0,3,T,N,31,22.826956102,2,C,1,9
1," 93D",93,2,4,F,L,2,64.270684284,2,D,1,9
1," 94K",94,0,3,9,0,88,23.809747041,2,K,1,9
2," 94K",94,0,3,F,0,42,23.809747041,2,K,1,9
3," 94K",94,0,3,N,N,33,23.809747041,2,K,1,9
1," 95F",95,2,14,F,F,2,544.03595977,2,F,1,9
1," 96K",96,0,2,F,0,42,23.809747041,2,K,1,9
1," 97F",97,3,39,B,F,2,1285.5384299,2,F,1,9
1," 98E",98,5,20,R,F,2,192.00266884,2,E,1,9
2," 98E",98,5,20,R,L,2,192.00266884,2,E,1,9
3," 98E",98,0,20,F,0,58,192.00266884,2,E,1,9
4," 98E",98,0,20,F,0,57,192.00266884,2,E,1,9
1," 99F",99,0,3,F,0,59,400.46338437,2,F,1,9
2," 99F",99,0,3,F,0,70,400.46338437,2,F,1,9
3," 99F",99,0,3,F,0,59,400.46338437,2,F,1,9
1,100B,100,21,14,F,F,2,53.811655982,2,B,1,9
1,101K,101,0,3,F,0,42,37.494795981,2,K,1,9
1,102C,102,4,3,R,F,3,75.557224698,2,C,1,9
2,102C,102,1,3,R,F,2,75.557224698,2,C,1,9
3,102C,102,1,3,R,L,2,75.557224698,2,C,1,9
1,103H,103,9,30,B,F,2,1948.9244771,2,H,1,9
1,104K,104,0,1,F,0,51,23.809747041,2,K,1,9
1,105D,105,3,3,F,L,2,255.60917605,2,D,1,9
2,105D,105,60,3,B,F,3,255.60917605,2,D,2,9
1,106C,106,0,3,F,0,56,22.826956102,2,C,1,9
2,106C,106,0,3,F,0,50,22.826956102,2,C,1,9
3,106C,106,0,3,F,0,64,22.826956102,2,C,1,9
4,106C,106,0,3,F,0,56,22.826956102,2,C,1,9
1,107G,107,0,2,F,0,42,971.56050275,2,G,1,9
2,107G,107,0,2,F,0,50,971.56050275,2,G,1,9
3,107G,107,0,2,F,0,50,971.56050275,2,G,1,9
4,107G,107,0,2,F,0,43,971.56050275,2,G,1,9
1,108K,108,0,3,F,0,44,23.809747041,2,K,1,9
2,108K,108,0,3,U,0,44,23.809747041,2,K,1,9
3,108K,108,0,3,R,N,31,23.809747041,2,K,1,9
1,109F,109,3,2,F,L,2,722.41729399,2,F,1,9
1,110K,110,49,1,L,F,2,23.809747041,2,K,1,9
1,111E,111,0,2,F,0,72,493.55032095,2,E,1,9
1,112K,112,0,1,F,0,42,23.809747041,2,K,1,9
1,113C,113,14,14,F,F,2,31.777731689,2,C,1,9
2,113C,113,9,14,F,F,3,31.777731689,2,C,1,9
1,114K,114,0,3,L,0,41,27.137556019,2,K,1,9
1,115K,115,0,1,R,0,42,27.137556019,2,K,1,9
1,116K,116,1,3,F,F,2,23.809747041,2,K,1,9
2,116K,116,0,1,B,0,44,23.809747041,2,K,2,9
1,117D,117,3,1,F,F,2,89.272429369,2,D,1,9
1,118C,118,0,1,L,0,51,22.826956102,2,C,1,9
2,118C,118,0,1,L,0,50,22.826956102,2,C,1,9
3,118C,118,0,1,L,0,42,22.826956102,2,C,1,9
1,119H,119,0,2,T,N,31,2069.9325435,2,H,1,9
1,120E,120,0,2,R,0,56,197.3837347,2,E,1,9
2,120E,120,0,2,F,0,56,197.3837347,2,E,1,9
1,121G,121,4,1,F,R,2,752.76111198,2,G,1,9
1,122J,122,0,1,F,0,42,32.131794083,2,J,1,9
1,123K,123,0,30,F,0,42,44.686926904,2,K,1,9
2,123K,123,0,30,B,0,44,44.686926904,2,K,1,9
1,124D,124,14,2,F,F,2,82.577973035,2,D,1,9
2,124D,124,14,2,R,L,2,82.577973035,2,D,1,9
1,125F,125,9,2,L,F,2,917.60659588,2,F,1,9
1,136J,136,0,2,F,0,42,75.557224698,2,J,1,9
1,137G,137,0,20,F,0,76,1208.1057435,2,G,1,9
1,138F,138,16,45,F,F,2,386.25794074,2,F,1,9
1,139H,139,0,2,F,0,56,1302.207651,2,H,1,9
2,139H,139,0,2,B,0,56,1302.207651,2,H,1,9
1,140H,140,9,1,9,9,2,11250.459925,2,H,1,9
2,140H,140,9,1,R,L,2,11250.459925,2,H,1,9
3,140H,140,0,9,R,0,56,11250.459925,2,H,2,9
1,141K,141,21,14,F,F,2,24.424038514,2,K,1,9
1,142J,142,2,31,F,F,2,84.154141704,2,J,1,9
1,143K,143,0,30,F,0,88,117.03641475,2,K,1,9
2,143K,143,0,30,F,0,58,117.03641475,2,K,1,9
3,143K,143,0,30,R,N,31,117.03641475,2,K,1,9
1,144E,144,0,1,L,0,42,296.42654112,2,E,1,9
2,144E,144,0,1,R,0,U,296.42654112,2,E,1,9
1,145G,145,0,5,F,0,41,1130.4800421,2,G,1,9
2,145G,145,0,5,F,0,44,1130.4800421,2,G,1,9
1,146K,146,0,30,U,0,56,23.809747041,2,K,1,9
2,146K,146,0,30,R,0,42,23.809747041,2,K,1,9
1,147C,147,9,3,L,R,2,27.774535788,2,C,1,9
2,147C,147,0,3,R,0,56,27.774535788,2,C,1,9
3,147C,147,0,3,R,0,U,27.774535788,2,C,1,9
1,148B,148,60,3,R,F,2,46.148765911,2,B,1,9
1,149J,149,0,2,9,0,51,23.121138499,2,J,1,9
2,149J,149,0,2,F,0,51,23.121138499,2,J,1,9
3,149J,149,0,2,F,0,51,23.121138499,2,J,1,9
4,149J,149,0,2,F,0,52,23.121138499,2,J,1,9
1,"  1F",1,45,4,R,F,2,83.052653118,3,F,1,9
2,"  1F",1,45,4,R,L,2,83.052653118,3,F,1,9
3,"  1F",1,0,4,F,0,50,83.052653118,3,F,1,9
4,"  1F",1,0,4,F,0,57,83.052653118,3,F,1,9
5,"  1F",1,0,45,F,0,57,83.052653118,3,F,2,9
1,"  2H",2,3,3,F,R,2,175.85397542,3,H,1,9
1,"  3E",3,2,2,F,B,2,26.622875473,3,E,1,9
2,"  3E",3,0,2,F,0,56,26.622875473,3,E,1,9
1,"  4H",4,0,2,F,0,56,180.32714103,3,H,1,9
2,"  4H",4,3,2,B,F,2,180.32714103,3,H,1,9
1,"  5D",5,0,3,F,0,56,60.954272703,3,D,1,9
1,"  6K",6,0,1,F,0,55,11.702575205,3,K,1,9
1,"  7D",7,21,3,F,R,2,13.351505761,3,D,1,9
2,"  7D",7,21,3,R,L,2,13.351505761,3,D,1,9
1,"  8F",8,4,21,L,F,2,120.45682053,3,F,1,9
1,"  9C",9,3,5,F,R,2,12.589899064,3,C,1,9
2,"  9C",9,3,5,F,R,2,12.589899064,3,C,1,9
3,"  9C",9,0,3,F,0,52,12.589899064,3,C,2,9
1," 10F",10,68,3,B,9,2,262.64866203,3,F,1,9
2," 10F",10,0,3,F,0,70,262.64866203,3,F,1,9
1," 11E",11,5,2,L,F,2,34.634174269,3,E,1,9
2," 11E",11,0,2,F,0,52,34.634174269,3,E,1,9
1," 12F",12,5,3,B,F,3,113.81442021,3,F,2,9
2," 12F",12,3,50,B,F,2,113.81442021,3,F,1,9
1," 13D",13,1,30,B,F,2,17.461803165,3,D,1,9
1," 14F",14,5,9,F,R,2,157.53978073,3,F,1,9
1," 15H",15,U,3,B,F,3,324.71617356,3,H,2,9
2," 15H",15,3,9,B,F,2,324.71617356,3,H,1,9
3," 15H",15,0,3,F,0,70,324.71617356,3,H,2,9
1," 16E",16,21,14,R,F,2,32.033916956,3,E,1,9
2," 16E",16,21,14,R,L,2,32.033916956,3,E,1,9
1," 17G",17,1,2,F,L,2,172.19019817,3,G,1,9
1," 18F",18,4,21,F,L,2,121.51103905,3,F,1,9
1," 19G",19,0,2,L,0,70,198.7566474,3,G,1,9
1," 20D",20,5,21,F,R,2,30.835218341,3,D,1,9
2," 20D",20,0,5,F,0,70,30.835218341,3,D,2,9
1," 21D",21,0,2,F,0,42,30.835218341,3,D,1,9
1," 22F",22,21,58,F,L,2,96.14802385,3,F,1,9
1," 23G",23,3,3,R,F,2,157.27014618,3,G,1,9
2," 23G",23,0,3,9,0,70,157.27014618,3,G,1,9
3," 23G",23,0,3,9,0,70,157.27014618,3,G,1,9
1," 24E",24,1,1,R,F,2,49.635465974,3,E,1,9
1," 25F",25,9,3,F,R,2,163.11149035,3,F,1,9
1," 26E",26,3,5,B,F,3,42.114143377,3,E,1,9
2," 26E",26,3,5,F,B,2,42.114143377,3,E,1,9
3," 26E",26,0,3,U,0,63,42.114143377,3,E,3,9
1," 27H",27,0,3,F,0,70,285.25555324,3,H,1,9
2," 27H",27,0,3,R,0,70,285.25555324,3,H,1,9
3," 27H",27,0,3,9,0,70,285.25555324,3,H,1,9
1," 28E",28,2,20,F,R,2,59.030226974,3,E,1,9
2," 28E",28,2,20,L,R,2,59.030226974,3,E,1,9
1," 29F",29,1,78,F,F,2,193.98444455,3,F,1,9
1," 30D",30,1,3,L,F,2,25.536791659,3,D,1,9
2," 30D",30,0,3,F,0,68,25.536791659,3,D,1,9
3," 30D",30,0,3,F,0,68,25.536791659,3,D,1,9
1," 31F",31,4,3,F,F,2,230.39204601,3,F,1,9
1," 32D",32,5,3,F,B,2,16.051384622,3,D,1,9
2," 32D",32,5,3,F,B,2,16.051384622,3,D,1,9
1," 33F",33,1,5,L,F,2,144.81503369,3,F,1,9
2," 33F",33,1,5,L,R,2,144.81503369,3,F,1,9
1," 34E",34,1,4,F,L,2,57.369821702,3,E,1,9
1," 35G",35,20,1,B,F,2,308.37693003,3,G,1,9
1," 36K",36,4,1,L,F,2,10.463359414,3,K,1,9
1," 38K",38,5,5,F,R,2,10.095301545,3,K,1,9
2," 38K",38,0,5,L,0,70,10.095301545,3,K,2,9
1," 39E",39,0,20,F,0,70,106.57671515,3,E,1,9
1," 41F",41,4,1,F,F,2,270.72825869,3,F,1,9
1," 42D",42,3,2,F,L,2,26.70209863,3,D,1,9
1," 43F",43,4,2,F,F,2,128.84527027,3,F,1,9
1," 44H",44,3,21,L,F,2,265.57192697,3,H,1,9
1," 45D",45,0,28,F,0,70,24.328578752,3,D,1,9
1," 46F",46,58,5,R,F,3,219.49159119,3,F,1,9
2," 46F",46,4,5,F,F,2,219.49159119,3,F,1,9
3," 46F",46,0,5,R,0,45,219.49159119,3,F,1,9
1," 47D",47,0,2,F,0,56,14.311107676,3,D,1,9
2," 47D",47,0,2,9,N,31,14.311107676,3,D,1,9
1," 48E",48,3,1,F,B,2,42.096420452,3,E,1,9
1," 49F",49,5,4,F,L,2,129.11431562,3,F,1,9
1," 50E",50,1,5,L,F,2,50.542557458,3,E,1,9
2," 50E",50,1,5,9,R,2,50.542557458,3,E,1,9
1," 51F",51,2,1,F,R,2,155.01953957,3,F,1,9
1," 52E",52,21,2,B,F,2,63.797156524,3,E,1,9
1," 53F",53,21,2,F,R,2,195.67284141,3,F,1,9
2," 53F",53,5,21,L,F,3,195.67284141,3,F,2,9
1," 54E",54,3,4,F,R,2,71.968498695,3,E,1,9
2," 54E",54,0,3,F,0,52,71.968498695,3,E,2,9
1," 55F",55,9,1,R,F,2,220.73523961,3,F,1,9
1," 56D",56,2,4,B,F,2,20.328284864,3,D,1,9
1," 57F",57,3,21,B,F,2,183.4010789,3,F,1,9
1," 58F",58,1,5,R,F,2,186.7366922,3,F,1,9
1," 59G",59,2,1,R,F,2,381.80850869,3,G,1,9
1," 60E",60,3,2,R,F,2,506.74673802,3,E,1,9
2," 60E",60,3,2,R,L,2,506.74673802,3,E,1,9
1," 61K",61,4,5,F,L,2,16.537365844,3,K,1,9
2," 61K",61,4,5,R,L,2,16.537365844,3,K,1,9
3," 61K",61,0,4,F,0,70,16.537365844,3,K,2,9
1," 62F",62,3,31,F,R,2,135.34353914,3,F,1,9
2," 62F",62,0,3,F,0,52,135.34353914,3,F,2,9
1," 63H",63,21,3,F,L,2,278.96595985,3,H,1,9
1," 64E",64,0,14,F,0,58,48.850823785,3,E,1,9
1," 65F",65,9,3,F,R,2,149.83080777,3,F,1,9
1," 66E",66,3,3,F,R,2,72.688156829,3,E,1,9
2," 66E",66,0,3,L,0,70,72.688156829,3,E,2,9
1," 67H",67,2,14,B,F,2,459.52227635,3,H,1,9
1," 68F",68,2,3,F,B,2,123.70595496,3,F,1,9
1," 69G",69,3,14,B,F,2,252.93361269,3,G,1,9
1," 70E",70,14,1,F,L,2,30.993635011,3,E,1,9
2," 70E",70,0,14,T,N,31,30.993635011,3,E,2,9
3," 70E",70,0,14,9,0,70,30.993635011,3,E,2,9
1," 71F",71,5,3,L,R,2,95.060860997,3,F,1,9
2," 71F",71,0,3,R,0,56,95.060860997,3,F,1,9
3," 71F",71,0,3,R,0,56,95.060860997,3,F,1,9
4," 71F",71,0,3,F,0,54,95.060860997,3,F,1,9
1," 72F",72,2,1,F,R,2,160.8424497,3,F,1,9
1," 73G",73,3,19,B,F,2,328.86421587,3,G,1,9
1," 74D",74,0,20,F,0,56,26.173534011,3,D,1,9
1," 75F",75,5,3,B,F,2,236.13671336,3,F,1,9
2," 75F",75,1,5,B,F,3,236.13671336,3,F,2,9
1," 76J",76,3,5,F,L,2,30.266439104,3,J,1,9
2," 76J",76,0,3,F,0,63,30.266439104,3,J,2,9
3," 76J",76,0,3,F,0,68,30.266439104,3,J,2,9
4," 76J",76,0,3,F,0,68,30.266439104,3,J,2,9
5," 76J",76,0,3,F,0,68,30.266439104,3,J,2,9
1," 77C",77,5,20,F,R,2,17.487568887,3,C,1,9
1," 78K",78,0,3,F,0,56,15.563589882,3,K,1,9
2," 78K",78,0,3,F,0,56,15.563589882,3,K,1,9
1," 79E",79,2,60,F,L,2,115.67698917,3,E,1,9
1," 80K",80,1,1,R,L,2,10.621098501,3,K,1,9
2," 80K",80,0,1,F,0,42,10.621098501,3,K,1,9
3," 80K",80,0,1,F,0,42,10.621098501,3,K,1,9
4," 80K",80,0,1,F,0,42,10.621098501,3,K,2,9
5," 80K",80,0,1,U,0,88,10.621098501,3,K,2,9
6," 80K",80,0,1,F,0,57,10.621098501,3,K,2,9
1," 81E",81,1,1,F,F,2,279.9577553,3,E,1,9
2," 81E",81,1,1,B,F,3,279.9577553,3,E,2,9
1," 82E",82,4,3,R,F,2,78.974424336,3,E,1,9
1," 83H",83,5,3,R,F,2,499.26300002,3,H,1,9
2," 83H",83,5,3,R,L,2,499.26300002,3,H,1,9
1," 84C",84,0,21,F,0,52,19.653986922,3,C,1,9
1," 85F",85,28,3,R,F,2,1148.0522091,3,F,1,9
2," 85F",85,28,3,R,L,2,1148.0522091,3,F,1,9
1," 86D",86,9,2,F,B,2,21.147149222,3,D,1,9
2," 86D",86,0,2,T,N,31,21.147149222,3,D,1,9
1," 87F",87,0,2,F,0,70,190.78884465,3,F,1,9
1," 88E",88,14,2,B,F,2,73.713938199,3,E,1,9
1," 89F",89,5,2,F,B,2,226.08869305,3,F,1,9
1," 91C",91,0,2,F,0,70,19.707706757,3,C,1,9
2," 91C",91,0,2,F,0,70,19.707706757,3,C,1,9
3," 91C",91,0,2,F,0,70,19.707706757,3,C,1,9
4," 91C",91,0,2,F,0,70,19.707706757,3,C,1,9
1," 94D",94,2,3,F,F,2,20.485302333,3,D,1,9
1," 96F",96,5,24,F,R,2,106.24546065,3,F,1,9
2," 96F",96,0,5,F,0,58,106.24546065,3,F,2,9
3," 96F",96,0,5,F,0,51,106.24546065,3,F,2,9
1," 97H",97,4,3,F,R,2,218.9898912,3,H,1,9
1," 98K",98,2,2,F,L,2,10.463359414,3,K,1,9
2," 98K",98,2,2,R,L,2,10.463359414,3,K,1,9
3," 98K",98,0,2,F,0,52,10.463359414,3,K,2,9
4," 98K",98,0,2,F,0,70,10.463359414,3,K,1,9
1," 99F",99,2,2,F,F,2,373.14394111,3,F,1,9
2," 99F",99,2,2,F,F,3,373.14394111,3,F,1,9
1,100C,100,5,5,L,F,2,15.495564072,3,C,1,9
1,101E,101,2,1,L,F,2,155.52134511,3,E,1,9
2,101E,101,0,2,F,0,57,155.52134511,3,E,2,9
1,102D,102,2,2,F,L,2,41.01259771,3,D,1,9
1,103F,103,2,2,F,F,2,370.01422987,3,F,1,9
1,104K,104,0,1,F,0,56,10.673678196,3,K,1,9
1,105D,105,2,20,F,L,2,39.796625219,3,D,1,9
1,106D,106,0,2,F,0,51,56.584713896,3,D,1,9
2,106D,106,0,2,F,0,62,56.584713896,3,D,1,9
3,106D,106,0,2,U,0,63,56.584713896,3,D,1,9
1,107E,107,9,4,R,F,2,12.459752768,3,E,1,9
