PSU,CASEID,CASENO,STRATIF,RECNO,VERSION,VEHNO,OCUPANTS,DRPRES,MONDRIVE,MILEVEH,MILETOT,TYPEOP,BMCSREG,DRCLASS,DRTRAIN,FREQDRIV,PRIORLAT,PRIORMID,PRIOREAR,AVOIDMAN,ACC12MO,VIOLSP,VIOLDWI,VIOLRECK,VIOLSUSP,VIOLROW,VIOLCLOS,VIOLSIGN,VIOLOTH,VIOLUNK,DRINKING,ALCTEST,LSOURCE,LCOMPL,LSTATUS,LTYPCOMP,LREST,LRESTADD,PREVSPD,PREVOTH,PREVDWI,PREVSUS,PREVACC,LANES,MEDIANT,MEDIANW,ACCESS,TRAFFLOW,SHOULDLT,SHOULDRT,ALIGNMNT,GRADE,SURTYPE,SURCOND,TRAFCONT,TRCTLFCT,SPLIMIT,DRIRF1,DRIRF2,DRIRF3,ENVRF1,ENVRF2,ENVRF3,PSUWGT,NATWGT,RATWGT
1,023M,23,M,4,6,1,1,1,U,U,U,U,U,U,U,U,U,U,U,U,U,0,0,0,0,0,0,0,0,0,0,C,1,3,2,4,1,0,0,0,0,0,1,4,2,U,1,2,0,0,1,1,2,1,0,0,55,0,0,0,0,0,0,78.000,100.932,109.936
1,023M,23,M,4,6,2,1,1,61,500,230,0,0,0,2,1,2,0,0,0,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,2,0,0,4,1,0,1,U,4,2,U,1,2,0,0,1,1,2,1,0,0,55,0,0,0,0,0,0,78.000,100.932,109.936
1,024T,24,T,4,6,1,1,1,U,U,U,0,0,0,U,U,1,U,U,U,U,0,0,0,0,0,0,0,0,0,0,C,1,3,2,2,1,0,1,0,0,0,U,4,0,0,3,0,0,0,1,1,2,2,1,3,30,0,0,0,0,0,0,78.000,100.932,108.073
1,024T,24,T,4,6,2,2,1,U,U,U,0,0,0,U,U,1,0,0,U,U,0,0,0,0,0,0,1,0,0,0,C,1,U,U,U,U,U,U,U,U,U,U,2,3,4,3,1,U,0,1,1,2,2,1,3,30,0,0,0,0,0,0,78.000,100.932,108.073
1,024T,24,T,4,6,3,3,1,U,U,U,0,0,0,U,U,21,16,2,U,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,1,0,0,0,U,4,0,0,3,0,0,0,1,1,2,2,1,3,30,0,0,0,0,0,0,78.000,100.932,108.073
1,025L,25,L,4,6,1,2,1,1,1,1,0,0,0,2,U,17,2,0,2,U,0,0,0,0,0,1,0,0,0,0,C,1,0,2,2,0,0,0,0,0,0,U,4,0,0,3,0,0,0,1,1,2,2,2,3,30,0,0,0,0,0,0,63.000,81.522,103.667
1,025L,25,L,4,6,2,3,1,61,470,220,0,0,0,0,1,21,16,2,0,U,0,0,0,0,0,0,0,0,0,0,C,1,1,2,2,1,0,0,0,0,0,U,4,0,0,3,0,0,0,1,1,2,2,2,3,30,0,0,0,0,0,0,63.000,81.522,103.667
1,026V,26,V,4,6,1,2,1,U,U,U,0,0,0,U,U,60,2,U,U,U,0,0,0,0,0,0,0,1,0,0,C,1,0,2,4,0,0,0,0,0,0,U,2,0,0,3,0,0,0,1,1,2,1,0,0,30,0,0,0,0,0,0,126.000,163.044,157.442
1,027Q,27,Q,4,6,1,1,1,61,U,U,0,0,0,0,U,22,21,16,U,0,0,0,0,0,0,0,1,0,0,0,C,1,3,2,2,1,0,0,0,0,0,U,2,0,0,3,0,0,0,1,1,2,2,1,3,20,0,0,0,0,0,0,222.000,287.268,239.652
1,027Q,27,Q,4,6,2,1,1,U,U,U,0,0,0,U,U,1,0,0,U,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,2,0,0,0,0,0,0,U,2,0,0,3,0,0,0,1,1,2,2,1,3,20,0,0,0,0,0,0,222.000,287.268,239.652
