PSU,CASEID,CASENO,STRATIF,RECNO,VERSION,VEHNO,OCCFORMS,VEHROLE,TOWAWAY,MODELYR,MAKE,MODEL,BODYTYPE,TOWHITCH,CABCONF,SEATCAP,DROMEDRY,AXLESP,AXLEST1,AXLEST2,AXLEST3,BRAKETY,GVWR,VEHSEQ1,VEHSEQ2,VEHSEQ3,VEHSEQ4,OBJCONT1,OBJCONT2,OBJCONT3,OBJCONT4,DOF1,DOF2,DOF3,DOF4,GAD1,GAD2,GAD3,GAD4,SHL1,SHL2,SHL3,SHL4,SVL1,SVL2,SVL3,SVL4,TDD1,TDD2,TDD3,TDD4,EXTENT1,EXTENT2,EXTENT3,EXTENT4,ACCSEQ1,ACCSEQ2,ACCSEQ3,ACCSEQ4,VIN,REGISTRA,SPECUSE,ODOMETER,PCINTEG,PCINTRU,MAGINTRU,FIRE,IMPTYPE,OTHROLE,ROLLOVER,JACKNIFE,SAFETYB,HAZCARGO,CURBWGT,CARGOWGT,SOURCWGT,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,TRAVELSP,VEHRF1,VEHRF2,VEHRF3,DRIVE,VAIS,OTVEHWGT,OTBDYTYP,SHORT,VINJSER,VINJURED,VINLNGTH,VTREAT,PSUWGT,NATWGT,RATWGT,WHEELSHT,WHEELLNG
59,174T,174,T,3,6,1,1,1,2,83,20,16,3,0,0,5,0,0,0,0,0,0,0,1,,,,70,,,,12,,,,F,,,,Y,,,,H,,,,W,,,,07,,,,1,,,,1G1AE77P0D,1,0,12,7,7,3,0,1,6,0,0,0,0,24,0,0,7,U,U,U,U,,,,,,,,,U,0,0,0,1,7,998,98,0,0,1,17,3,2.143,95.102,96.083,U,U
59,175W,175,W,3,6,1,1,1,2,76,12,4,2,0,0,19,0,0,0,0,0,0,0,1,,,,2,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,6Y87A10556,1,0,U,U,U,U,0,1,2,0,0,0,0,50,0,0,8,U,U,U,U,,,,,,,,,U,U,U,U,1,0,49,6,0,0,0,11,6,7.500,332.857,307.974,120.4,U
59,175W,175,W,3,6,2,5,3,2,73,20,2,6,0,0,19,0,0,0,0,0,0,0,1,2,,,1,40,,,U,U,,,9,9,,,9,9,,,9,9,,,9,9,,,99,99,,,1,2,,,1L35R3S187,1,0,U,U,U,U,0,2,1,0,0,0,0,49,0,0,8,U,U,U,U,,,,,,,,,U,U,U,U,1,1,50,2,0,0,2,13,4,7.500,332.857,307.974,121.5,125.0
59,176Q,176,Q,3,6,1,1,1,2,79,20,73,50,0,4,30,0,0,0,0,0,0,0,1,,,,2,,,,1,,,,F,,,,Z,,,,E,,,,W,,,,01,,,,1,,,,CCD149A194,1,0,17,1,1,0,0,1,1,0,0,0,0,36,0,0,1,20,-17,-10,510,180,20,0,,,,,0,15,0,0,0,8,0,32,2,0,0,0,13,6,11.250,499.286,599.124,U,U
59,176Q,176,Q,3,6,2,3,1,2,82,21,1,2,0,0,6,0,0,0,0,0,0,0,1,,,,1,,,,11,,,,F,,,,D,,,,E,,,,W,,,,01,,,,1,,,,2G3AR47A1C,1,0,64,1,1,0,0,1,1,0,0,0,0,32,0,0,1,20,-19,7,292,163,U,U,U,U,U,U,0,45,0,0,0,1,3,36,50,0,1,3,17,3,11.250,499.286,599.124,U,U
59,177W,177,W,3,6,1,1,1,2,83,7,11,2,0,0,6,0,0,0,0,0,0,0,2,1,3,4,33,52,32,52,4,11,U,U,B,F,9,9,D,D,9,9,E,E,9,9,W,W,9,9,02,01,99,99,2,1,3,4,1B3BD21C7D,2,0,7,1,1,0,0,4,6,0,0,0,0,23,0,0,1,24,12,-21,720,163,5,6,14,20,24,14,0,45,0,0,0,1,0,998,98,0,0,0,17,6,22.500,998.572,923.923,U,U
59,178P,178,P,3,6,1,2,1,2,79,12,73,50,0,4,30,0,0,0,0,0,0,0,3,4,1,2,47,44,66,47,12,11,0,12,F,F,T,F,R,R,D,R,W,E,D,W,N,W,O,N,03,01,04,09,3,4,1,2,F14SRFA000,2,0,42,2,7,3,0,1,6,2,0,0,0,39,0,0,6,U,U,U,U,,,,,,,,,U,U,U,U,8,3,998,98,0,1,2,11,3,8.250,366.143,322.794,U,U
59,179G,179,G,3,6,1,2,0,1,74,37,66,20,0,0,2,0,0,0,0,0,0,0,1,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,CB75023046,1,0,U,0,0,0,0,3,6,0,0,0,0,5,0,0,6,U,U,U,U,,,,,,,,,U,0,0,0,8,1,998,98,0,0,2,12,4,3.917,173.826,162.842,U,U
59,180T,180,T,3,6,1,2,1,1,82,18,17,4,0,0,5,0,0,0,0,0,0,0,2,1,3,,36,41,41,,1,12,1,,R,F,R,,P,R,B,,E,L,L,,S,N,S,,01,01,01,,2,1,3,,1G4AL19R7C,1,0,16,1,3,1,0,3,6,0,0,0,0,27,0,0,6,U,U,U,U,,,,,,,,,55,0,0,0,1,2,998,98,0,0,1,17,3,3.357,148.993,150.529,U,U
59,181T,181,T,3,6,1,1,1,1,72,18,2,4,0,0,6,0,0,0,0,0,0,0,1,,,,2,,,,12,,,,F,,,,Y,,,,E,,,,W,,,,01,,,,1,,,,4P39T2X122,1,0,57,1,1,0,0,1,2,0,0,0,0,46,0,0,1,14,-14,1,142,198,5,3,1,0,0,0,0,U,0,0,0,1,0,23,3,0,0,0,13,6,7.000,310.667,313.870,124.0,U
59,181T,181,T,3,6,2,3,2,2,77,49,32,3,0,0,4,0,0,0,0,0,0,0,1,,,,1,,,,4,,,,R,,,,D,,,,E,,,,W,,,,03,,,,1,,,,TE51605606,1,0,72,3,3,3,0,3,1,0,0,0,0,23,0,0,1,26,9,-24,343,391,5,7,17,27,3,0,0,U,0,0,0,1,1,46,4,0,0,3,10,3,7.000,310.667,313.870,93.3,U
59,182Z,182,Z,3,6,1,1,1,1,80,6,9,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,0,N,98,1,0,0,N,6,104.000,4615.621,4687.215,N,N
59,182Z,182,Z,3,6,2,1,2,1,77,14,5,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,0,N,98,1,0,0,N,6,104.000,4615.621,4687.215,N,N
