PSUWGT,NATWGT,RATWGT,PSU,AOPSVEH,CASEID,CASENO,STRATIF,VERSION,VEHNO,MODELYR,MAKE,MODEL,BODYTYPE,VIN,TOWPAR,TRAVELSP,DRINKING,ALCTEST,SPLIMIT,MANEUVER,ACCTYPE,DRPRES,OCUPANTS,OCCFORMS,CURBWGT,CARGOWGT,TOWHITCH,DOCTRAJ,CONDTREE,ROLLOVER,FOVERIDE,ROVERIDE,ANGTHIS,ANGOTHER,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVCONFID,INSPTYPE,VINLNGTH,VINJSER,VINJURED,DRIVE,VTREAT,OTVEHWGT,OTBDYTYP,VAIS,DRUGS,OBSTEST,SPECTEST,OBSNARC,SPECNARC,OBSDEPR,SPECDEPR,OBSSTIM,SPECSTIM,OBSHLUC,SPECHLUC,OBSCNAB,SPECCNAB,OBSPCP,SPECPCP,OBSINHL,SPECINHL,OBSOTH,SPECOTH
10.622,260.4637,399.17290428,2,0,23E,23,E,4,2,88,37,31,3,JHMED8457J,1,U,0,C,55,1,28,1,1,1,19,0,0,0,0,0,4,0,0,0,6,U,U,U,U,0,1,17,0,1,U,4,32,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.179,911.62295,1155.0026559,2,0,24G,24,G,4,1,87,9,8,5,1P3BM18C4H,1,0,0,C,45,1,21,1,1,1,22,0,0,0,0,0,0,1,0,0,1,11,11,0,129,1,1,17,0,1,2,0,31,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.179,911.62295,1155.0026559,2,0,24G,24,G,4,2,89,14,17,4,1MEBM50U7K,1,U,0,C,45,9,20,1,1,1,31,0,0,0,0,0,4,0,0,0,1,8,-8,0,61,1,1,17,0,0,2,0,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.847,192.4207,243.79204093,2,1,25G,25,G,4,1,91,49,40,4,JT2SV22J1M,1,U,0,C,55,98,8,1,2,2,32,0,0,0,0,0,0,0,998,998,5,U,U,U,U,0,1,17,0,0,2,0,998,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.847,192.4207,243.79204093,2,0,26G,26,G,4,1,89,12,3,2,1FABP40A6K,1,U,0,C,55,9,7,1,1,1,28,0,0,0,0,0,0,0,998,998,5,U,U,U,U,0,1,17,0,0,1,0,998,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.847,192.4207,243.79204093,2,0,27G,27,G,4,1,87,20,32,4,9999999999,1,U,0,C,55,7,7,1,1,1,22,2,0,0,0,0,0,0,998,998,5,U,U,U,U,0,0,U,0,0,2,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.695,384.8414,490.14223909,2,0,28H,28,H,4,1,72,18,3,4,4V39T2Y200,1,U,0,C,45,1,83,1,1,1,47,0,0,0,0,0,0,0,0,230,1,7,-7,0,130,1,1,13,0,0,1,0,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.695,384.8414,490.14223909,2,0,28H,28,H,4,2,86,48,31,4,JF2AC53B2G,1,U,0,C,45,1,82,1,1,1,26,0,0,0,0,0,0,0,230,0,1,13,-12,4,140,1,1,17,0,0,U,0,47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.160,52.9632,85.949786496,2,1,29C,29,C,4,1,91,20,16,2,1G1JF14T9M,1,U,0,C,55,U,7,1,1,1,24,U,0,1,0,3,0,0,997,997,5,U,U,U,U,0,1,17,0,1,2,3,998,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.340,57.3768,93.112268704,2,0,30C,30,C,4,1,89,34,35,4,WBAHC2302K,1,U,0,C,55,1,1,1,2,2,34,1,0,0,1,0,0,0,998,998,1,25,-22,13,824,1,1,17,2,2,1,3,998,98,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.616,333.87045,551.80900093,2,0,31F,31,F,4,1,85,14,4,2,1MEBP923XF,1,U,0,C,30,1,2,1,2,2,31,0,0,0,1,0,0,0,998,998,1,11,0,11,150,1,1,17,0,2,1,4,998,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.232,667.7409,846.01041793,2,0,32G,32,G,4,1,90,42,U,4,9999999999,1,U,0,C,55,U,2,1,1,1,U,U,0,0,0,0,0,0,998,998,5,U,U,U,U,0,0,U,0,0,U,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.770,67.9204,132.33775337,2,0,33D,33,D,4,1,80,12,473,31,F10ECGH000,1,U,0,C,55,U,68,1,2,2,36,U,0,0,0,0,0,0,90,0,5,U,U,U,U,0,1,11,0,0,8,0,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.770,67.9204,132.33775337,2,0,33D,33,D,4,2,83,49,477,30,JT4RN34R7D,1,U,0,C,55,U,69,1,2,2,25,U,0,0,0,4,0,0,0,90,5,U,U,U,U,0,1,17,0,2,8,3,36,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.852,143.48870476,219.90320728,2,1,34E,34,E,4,1,89,21,18,4,1G3NT54D5K,1,U,0,C,55,7,3,1,2,2,26,0,0,0,0,3,0,0,997,997,5,U,U,U,U,0,1,17,0,1,2,4,998,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.852,143.48870476,219.90320728,2,1,35E,35,E,4,1,89,14,15,4,1MEPM37X6K,1,U,0,C,55,U,8,1,1,1,26,0,0,1,1,0,0,0,998,998,5,U,U,U,U,0,1,17,0,1,U,4,998,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.482,502.21046666,636.28764809,2,1,36G,36,G,4,1,90,41,37,4,JM1GD2228L,1,U,0,C,30,1,88,1,1,1,26,0,0,0,0,0,0,0,90,0,6,U,U,U,U,0,2,17,0,0,2,0,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.482,502.21046666,636.28764809,2,0,36G,36,G,4,2,84,30,36,5,1VWEG0170E,0,U,0,C,30,U,89,1,4,0,21,0,0,0,0,0,0,0,0,90,6,U,U,U,U,0,1,17,N,N,2,N,26,4,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.030,49.7756,96.983985319,2,0,37D,37,D,4,1,84,22,5,2,9999999999,1,U,0,C,55,U,6,1,1,1,25,U,0,0,0,U,0,0,997,997,5,U,U,U,U,0,0,U,1,1,1,3,N,N,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.240,128.4848,162.78691233,2,1,38G,38,G,4,1,89,49,40,4,4T1SV24E2K,1,U,0,C,55,1,7,1,2,2,27,0,0,0,0,0,0,0,998,998,6,U,U,U,U,0,2,17,0,0,2,0,998,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.000,24.52,37.578056416,2,0,39E,39,E,4,1,88,20,19,4,1G1LT51W7J,1,U,0,C,55,1,2,1,1,1,28,0,0,0,1,0,0,0,998,998,5,U,U,U,U,0,1,17,0,1,2,4,998,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.770,166.0004,211.42166032,2,0,40H,40,H,4,1,86,12,477,30,1FTCR11T3G,1,U,0,C,55,1,28,1,1,1,30,3,0,0,0,0,U,0,180,172,4,U,U,U,U,0,2,17,0,0,8,0,U,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.770,166.0004,211.42166032,2,0,40H,40,H,4,2,85,20,474,21,2GCGG35M5F,0,U,0,C,55,1,30,1,1,0,U,U,0,0,0,0,0,U,172,180,6,U,U,U,U,0,0,17,N,N,8,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.160,52.9632,85.949786496,2,0,41C,41,C,4,1,88,37,32,4,2HGCA5520J,1,U,0,C,55,1,1,1,1,1,26,0,0,0,0,4,0,0,997,997,5,U,U,U,U,0,1,17,0,1,2,4,998,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.320,204.0064,312.64942938,2,1,42E,42,E,4,1,89,35,43,3,JN1GB24P0K,1,U,0,C,55,1,3,1,1,1,23,0,0,0,0,0,0,0,998,998,6,U,U,U,U,0,2,17,0,1,2,4,998,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
