H01,H02,H02A,H02B,H03,H05,H06,H07,H08,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
7,323K,323,K,3,2,1,4.61,582.03,1,1,2,80,131,1,2,1,2,1,F,Z,E,W,3,2,3,R,Z,H,W,3,1,13,FH41CAG,2,1,1,1,8,3,1,1,1,2,2,35,0,1,U,U,U,U,U
7,323K,323,K,3,2,2,4.61,582.03,1,1,2,78,113,10,1,1,1,11,F,Y,E,W,3,1,9,L,B,E,W,1,2,13,1Z87L8S,2,1,U,U,2,2,3,1,2,2,2,36,0,1,U,U,U,U,U
7,324M,324,M,3,2,1,23.07,2910.14,2,4,2,79,871,9,1,1,46,0,T,D,H,O,2,A,A,8,8,8,8,A,2,10,KE30999,2,1,20,1,7,1,1,A,1,2,2,21,0,1,U,U,U,U,U
7,325I,325,I,3,2,1,13.54,1708.45,1,1,2,73,121,12,11,1,44,U,9,9,9,9,U,A,A,8,8,8,8,A,2,11,F25BLR1,2,1,U,U,U,U,1,8,2,2,2,39,U,U,U,U,U,U,U
7,326M,326,M,3,2,1,21.67,2733.51,2,1,2,73,134,2,2,1,34,10,L,F,E,E,3,46,11,F,D,L,W,1,2,13,PH41K3F,2,1,89,1,1,A,1,9,2,2,2,40,0,1,8,-4,7,68,U
7,501I,501,I,3,2,1,1.00,126.17,1,1,2,70,141,1,3,1,2,11,F,D,M,W,5,A,A,8,8,8,8,A,2,13,A0A180H,2,1,44,1,1,A,1,4,2,2,2,34,U,U,U,U,U,U,U
7,501I,501,I,3,2,2,1.00,126.17,1,2,1,74,121,34,15,1,1,A,8,8,8,8,A,A,A,8,8,8,8,A,A,11,F61ECT0,2,1,31,1,1,A,1,6,2,2,2,56,0,1,U,U,U,U,U
7,502I,502,I,3,2,1,1.00,126.17,1,1,2,72,141,18,1,1,2,2,F,D,E,W,2,A,A,8,8,8,8,A,2,13,A2F465E,2,1,71,1,1,A,1,4,2,2,2,26,0,1,U,U,U,U,U
7,502I,502,I,3,2,2,1.00,126.17,1,2,1,71,116,34,15,1,1,A,8,8,8,8,A,A,A,8,8,8,8,A,A,12,CE503Y1,2,1,68,1,1,A,1,5,2,2,2,U,0,1,U,U,U,U,U
7,503G,503,G,3,2,1,1.00,126.17,2,1,2,74,113,8,1,1,2,12,F,L,A,E,9,A,A,8,8,8,8,A,2,13,1X2704K,2,1,U,5,2,3,1,4,2,2,2,33,0,1,U,U,U,U,U
