PSU,CASE_ID,CASE_NO,STRATIF,REC_NO,VERSION,VEH_NO,PSUWGT,NATWT,OCUPANTS,DR_PRES,DRIV_EXP,MILEAGE,TYPE_OP,BMCS_REG,DR_CLASS,RD_FREQ,DR_TRAIN,SP_VIOL,DWI_VIOL,RD_VIOL,W_SUSPEN,OTH_VIOL,UNK_VIOL,DDRINKNG,DTEST_RS,L_SOURCE,L_STATUS,L_RESTRI,ADD_REST,PREV_SPD,PREV_OTH,PREV_DWI,PREV_SUS,PREV_ACC,D_LANES,D_MEDIAN,D_ACCESS,D_DIRECT,D_SHOU_L,D_SHOU_R,D_ALIGNM,D_GRADE,D_PAVE_T,D_SUR_CO,D_TRA_CO,D_SP_LIM
1,035M,35,M,4,4,2,218.06,705.21,2,1,61,30,0,0,0,3,8,0,0,0,0,0,0,0,C,1,3,0,0,0,0,0,0,0,2,1,3,2,0,0,1,1,2,1,0,30
1,036C,36,C,4,4,1,795.93,2574.04,6,1,U,U,0,0,0,U,U,0,0,0,0,1,0,0,C,1,3,0,0,0,0,0,0,0,5,1,3,2,0,0,1,1,2,1,0,30
1,037C,37,C,4,4,1,310.74,1004.93,1,1,61,150,0,0,0,2,0,0,0,0,0,1,0,0,C,1,3,0,0,1,0,0,0,0,2,1,3,2,0,0,1,1,2,1,0,30
1,038M,38,M,4,4,1,310.74,1004.93,1,1,U,U,0,0,0,U,U,0,0,0,0,0,0,0,C,1,3,0,0,1,0,0,1,0,2,1,3,2,0,0,1,1,2,1,0,30
1,038M,38,M,4,4,2,310.74,1004.93,1,1,U,U,0,0,0,U,2,0,0,0,0,1,0,0,C,1,3,1,0,0,0,0,0,0,2,1,3,2,0,0,1,1,2,1,0,U
1,039J,39,J,4,4,1,4224.99,13663.62,1,1,61,1,0,0,0,1,8,0,0,0,0,0,0,0,C,1,3,0,0,0,0,0,0,0,4,1,3,2,0,0,1,1,2,1,2,30
1,039J,39,J,4,4,2,4224.99,13663.62,2,1,24,260,0,0,0,2,0,0,0,0,0,0,0,0,C,1,3,0,0,0,0,0,0,0,4,1,3,2,0,0,1,1,2,1,2,30
1,040N,40,N,4,4,1,2943.86,9520.44,1,1,U,U,0,0,0,5,U,0,0,0,0,1,0,0,C,1,3,0,0,1,0,0,0,1,2,1,3,2,0,0,1,1,2,1,2,30
1,040N,40,N,4,4,2,2943.86,9520.44,2,1,61,45,0,0,0,3,0,0,0,0,0,0,0,0,C,1,3,0,0,0,0,0,0,0,2,1,3,2,0,0,1,1,2,1,2,30
1,041L,41,L,4,4,1,87.23,282.10,1,1,U,U,0,0,0,U,U,0,0,0,0,1,0,0,C,1,U,U,U,U,U,U,U,U,2,1,3,2,0,0,1,1,2,1,0,30
