PSU,CASE_ID,CASE_NO,STRATIF,REC_NO,VERSION,VEH_NO,PSUWGT,NATWT,OCCFORMS,VEH_ROLE,TOWAWAY,MOD_YEAR,MAKE,MODEL,BODY_TYP,TOW_VEH,GVWR,CAB_CONF,TRAC_DRO,BODY_CON,AXLES_P,AXLES_T1,AXLES_T2,AXLES_T3,BRAKE_TY,OBJ_CNPR,CLOCK_PR,INCRE_PR,DFORCEPR,DEFLOCPR,LONGITPR,VERTICPR,DISTRIPR,EXTENTPR,OBJ_CNSE,CLOCK_SE,INCRE_SE,DFORCESE,DEFLOCSE,LONGITSE,VERTICSE,DISTRISE,EXTENTSE,MORE_CDC,VIN,REGISTRA,SPEC_USE,ODOMETER,PC_INTEG,PC_INTRU,MAG_INTR,FIRE,IMP_TYPE,OTH_ROLE,ROLLOVER,J_KNIFE,SAFETY_B,HAZCARGO,CURB_WT,CARGO_WT,WT_SOURC,DV_SOURC,DV_TOTAL,DV_LONG,DV_LAT,ENERGY,DV_L,DV_C1,DV_C2,DV_C3,DV_C4,DV_C5,DV_C6,DV_D,VDEATHS,VINJ_SER,VINJURY
52,088M,88,M,3,4,1,8.20,1120.21,3,1,2,71,12,6,2,0,0,0,0,0,0,0,0,0,0,49,6,0,6,B,Y,L,W,02,,,,,,,,,,0,1U62H15218,1,0,137,1,1,0,0,4,6,0,0,0,0,41,0,0,1,21,21,0,366,183,22,30,24,10,6,0,0,0,0,1
52,089J,89,J,3,4,1,2.67,364.75,3,1,1,80,20,73,50,0,0,U,U,U,U,U,U,U,U,0,,,,,,,,,0,,,,,,,,,0,9999999999,U,U,U,1,1,0,0,0,0,0,0,0,U,U,U,U,0,U,U,U,U,U,U,U,U,U,U,U,U,0,0,0
52,089J,89,J,3,4,2,2.67,364.75,1,2,1,79,20,12,2,0,0,U,U,U,U,U,U,U,U,0,,,,,,,,,0,,,,,,,,,0,9999999999,U,U,U,1,1,0,0,0,0,0,0,0,U,U,U,U,0,U,U,U,U,U,U,U,U,U,U,U,U,0,0,0
52,090J,90,J,3,4,1,2.67,364.75,1,1,4,78,20,73,50,0,0,U,U,U,U,U,U,U,U,0,,,,,,,,,0,,,,,,,,,0,9999999999,U,U,U,1,1,0,0,0,0,0,0,0,U,U,U,U,0,U,U,U,U,U,U,U,U,U,U,U,U,0,0,1
52,091L,91,L,3,4,1,1.00,136.61,1,1,2,75,20,1,2,0,0,0,0,0,0,0,0,0,0,49,0,0,0,U,D,Z,W,01,38,12,0,12,F,R,L,W,01,0,1D37H5B412,1,0,71,1,1,0,0,5,6,0,0,0,0,39,0,0,0,96,96,96,9996,,,,,,,,,0,0,1
52,092M,92,M,3,4,1,1.07,146.17,1,1,2,80,49,3,4,0,0,0,0,0,0,0,0,0,0,2,10,0,10,L,Z,M,W,03,46,0,0,0,T,D,D,O,03,0,RA42618893,1,0,40,1,7,1,0,2,3,1,0,0,0,25,0,0,1,22,-14,17,271,150,1,5,19,28,20,1,-131,0,0,1
52,092M,92,M,3,4,2,1.07,146.17,0,2,1,64,9,2,2,0,0,0,0,0,0,0,0,0,0,1,6,0,6,B,R,E,W,01,,,,,,,,,,0,3241273787,1,0,58,1,1,0,0,4,2,0,0,0,0,33,0,0,1,18,18,0,432,183,0,0,0,1,3,15,0,0,0,0
52,093I,93,I,3,4,1,5.94,811.47,2,0,2,81,49,72,50,0,0,0,0,0,0,0,0,0,0,46,0,0,0,T,D,D,O,03,,,,,,,,,,0,JT4RN44E9B,0,0,4,1,7,2,0,5,6,1,0,0,0,26,0,0,0,96,96,96,9996,,,,,,,,,0,0,2
52,094L,94,L,3,4,1,3.00,409.83,1,1,2,72,30,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,1,F,Z,E,W,02,37,6,0,6,B,Y,L,U,01,0,1122022363,1,0,116,2,2,2,0,1,1,0,0,0,0,18,2,2,1,43,-40,-15,261,137,0,0,0,17,31,33,0,0,0,1
52,094L,94,L,3,4,2,3.00,409.83,2,1,2,79,14,5,2,0,0,0,0,0,0,0,0,0,0,1,11,0,11,F,Z,E,W,03,,,,,,,,,,0,9H93F74542,1,0,17,1,1,0,0,1,1,0,0,0,0,42,0,0,1,20,-19,8,990,180,0,3,19,35,61,82,0,0,0,2
52,095M,95,M,3,4,1,9.50,1297.80,1,1,1,U,U,U,9,0,0,0,0,0,0,0,0,0,0,2,U,U,U,9,9,9,9,99,,,,,,,,,,0,9999999999,U,U,U,U,U,U,0,1,3,0,0,0,U,U,U,U,0,U,U,U,U,,,,,,,,,0,0,0
52,095M,95,M,3,4,2,9.50,1297.80,1,2,2,68,21,1,2,0,0,0,0,0,0,0,0,0,0,1,U,U,U,9,9,9,9,99,,,,,,,,,,0,9999999999,1,0,U,U,U,U,0,4,1,0,0,0,0,33,0,0,0,U,U,U,U,,,,,,,,,0,0,0
52,097I,97,I,3,4,1,1.46,199.45,1,1,2,80,20,12,2,0,0,0,0,0,0,0,0,0,0,2,U,U,U,9,9,9,9,99,,,,,,,,,,0,1M27VA7242,1,0,U,U,U,U,0,1,2,0,0,0,0,28,0,0,0,U,U,U,U,,,,,,,,,0,0,0
52,097I,97,I,3,4,2,1.46,199.45,2,1,1,78,20,73,50,0,0,0,0,0,0,0,0,0,0,1,U,U,U,9,9,9,9,99,,,,,,,,,,0,CCL148F477,1,0,55,1,1,0,0,2,1,0,0,0,0,39,0,0,0,U,U,U,U,,,,,,,,,0,0,0
52,098L,98,L,3,4,1,1.00,136.61,4,1,2,78,6,7,2,0,0,0,0,0,0,0,0,0,0,2,11,60,71,F,D,E,W,02,,,,,,,,,,0,FP22G8G285,2,0,63,1,1,0,0,1,2,0,0,0,0,37,0,0,1,34,-29,17,889,175,24,24,27,30,34,42,0,0,0,4
52,098L,98,L,3,4,2,1.00,136.61,1,2,2,74,7,1,3,0,0,0,0,0,0,0,0,0,0,1,2,60,62,R,Y,E,W,04,46,0,0,0,T,P,D,O,03,0,LP41G4R228,1,0,46,2,3,3,0,3,1,1,0,0,0,32,0,0,1,40,-20,-35,1408,345,7,28,52,31,33,7,13,0,0,1
